energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.50775388,5.23578602,0.06246660,0.07547397,1.92670375,0.43459759,0.07661576,2.23364461,0.65637459,1.01660255
-5.50175088,5.11968911,0.06361039,0.07593724,1.92941819,0.41941856,0.07672658,2.18954955,0.65107887,0.98519071
-5.49574787,5.02272024,0.06509344,0.07716249,1.93729130,0.40558633,0.07685278,2.15139525,0.64893103,0.95912514
-5.48974487,4.94361202,0.06687437,0.07913691,1.95007400,0.39304194,0.07695357,2.11880729,0.64981355,0.93795808
-5.48374187,4.88101024,0.06891074,0.08183428,1.96754136,0.38171494,0.07699264,2.09139695,0.65356705,0.92122582
-5.47773887,4.83352624,0.07116026,0.08521500,1.98949659,0.37152893,0.07693930,2.06877997,0.65999538,0.90846266
-5.47173587,4.79977988,0.07358176,0.08922640,2.01576914,0.36240659,0.07676932,2.05059102,0.66887082,0.89921250
-5.46573287,4.77843269,0.07613603,0.09380330,2.04620740,0.35427416,0.07646562,2.03649370,0.67993915,0.89303793
-5.45972986,4.76821140,0.07878650,0.09886900,2.08066697,0.34706509,0.07601853,2.02618610,0.69292470,0.88952679
-5.45372686,4.76792253,0.08149968,0.10433659,2.11899615,0.34072298,0.07542587,2.01940257,0.70753543,0.88829644
-5.44772386,4.77645952,0.08424543,0.11011070,2.16101970,0.33520367,0.07469275,2.01591204,0.72346801,0.88899596
-5.44172086,4.79280379,0.08699701,0.11608958,2.20652294,0.33047652,0.07383116,2.01551401,0.74041304,0.89130660
-5.43571786,4.81602163,0.08973099,0.12216764,2.25523724,0.32652499,0.07285939,2.01803273,0.75806042,0.89494083
-5.42971486,4.84525854,0.09242693,0.12823815,2.30682863,0.32334648,0.07180128,2.02331075,0.77610489,0.89964035
-5.42371186,4.87973256,0.09506700,0.13419632,2.36089023,0.32095164,0.07068543,2.03120246,0.79425174,0.90517355
-5.41770885,4.91872784,0.09763541,0.13994241,2.41693944,0.31936314,0.06954427,2.04156821,0.81222252,0.91133253
-5.41170585,4.96158926,0.10011787,0.14538484,2.47442002,0.31861397,0.06841320,2.05426965,0.82976069,0.91793012
-5.40570285,5.00771840,0.10250096,0.15044322,2.53270900,0.31874540,0.06732968,2.06916638,0.84663706,0.92479699
-5.39969985,5.05657104,0.10477153,0.15505106,2.59112800,0.31980461,0.06633235,2.08611399,0.86265461,0.93177906
-5.39369685,5.10765556,0.10691616,0.15915802,2.64895806,0.32184207,0.06546026,2.10496333,0.87765257,0.93873523
-5.38769385,5.16053176,0.10892066,0.16273170,2.70545698,0.32490862,0.06475206,2.12556083,0.89150955,0.94553543
-5.38169085,5.21480912,0.11076978,0.16575864,2.75987798,0.32905240,0.06424535,2.14774919,0.90414524,0.95205909
-5.37568784,5.27014382,0.11244693,0.16824465,2.81148850,0.33431561,0.06397601,2.17136834,0.91552070,0.95819376
