energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
1.17958979,1.68797184,0.37960211,0.00000000,1.58646193,0.96595112,0.04128339,0.18412946
1.18559280,1.64700032,0.37222010,0.00000000,1.57326045,0.93868608,0.03810957,0.18028618
1.19159580,1.61121009,0.36526270,0.00000000,1.56227438,0.91479528,0.03520628,0.17684612
1.19759880,1.58093347,0.35876686,0.00000000,1.55366010,0.89451816,0.03259567,0.17382951
1.20360180,1.55639560,0.35276852,0.00000000,1.54750695,0.87802894,0.03029530,0.17124101
1.20960480,1.53772582,0.34730510,0.00000000,1.54384854,0.86544224,0.02831826,0.16907159
1.21560780,1.52497221,0.34241785,0.00000000,1.54267594,0.85682064,0.02667345,0.16730105
1.22161081,1.51811811,0.33815380,0.00000000,1.54395127,0.85218320,0.02536598,0.16590115
1.22761381,1.51709894,0.33456703,0.00000000,1.54762081,0.85151438,0.02439756,0.16483894
1.23361681,1.52181843,0.33171926,0.00000000,1.55362635,0.85477249,0.02376708,0.16408020
1.23961981,1.53216268,0.32967944,0.00000000,1.56191413,0.86189716,0.02347104,0.16359265
1.24562281,1.54801137,0.32852254,0.00000000,1.57244074,0.87281517,0.02350405,0.16334865
1.25162581,1.56924534,0.32832733,0.00000000,1.58517559,0.88744437,0.02385912,0.16332740
1.25762881,1.59575002,0.32917356,0.00000000,1.60009996,0.90569550,0.02452801,0.16351626
1.26363182,1.62741484,0.33113839,0.00000000,1.61720274,0.92747175,0.02550133,0.16391132
1.26963482,1.66412860,0.33429249,0.00000000,1.63647351,0.95266630,0.02676856,0.16451700
1.27563782,1.70577142,0.33869599,0.00000000,1.65789326,0.98115815,0.02831796,0.16534493
1.28164082,1.75220400,0.34439445,0.00000000,1.68142385,1.01280653,0.03013638,0.16641199
1.28764382,1.80325503,0.35141526,0.00000000,1.70699691,1.04744456,0.03220893,0.16773787
1.29364682,1.85870793,0.35976455,0.00000000,1.73450311,1.08487262,0.03451866,0.16934212
1.29964982,1.91828789,0.36942482,0.00000000,1.76378264,1.12485216,0.03704624,0.17124112
1.30565283,1.98165050,0.38035358,0.00000000,1.79461782,1.16710047,0.03976961,0.17344501
1.31165583,2.04837278,0.39248289,0.00000000,1.82672836,1.21128704,0.04266375,0.17595495
1.31765883,2.11794770,0.40572001,0.00000000,1.85976980,1.25703188,0.04570054,0.17876084
1.32366183,2.18978265,0.41994905,0.00000000,1.89333561,1.30390629,0.04884881,0.18183967
1.32966483,2.26320242,0.43503357,0.00000000,1.92696271,1.35143613,0.05207451,0.18515470
1.33566783,2.33745677,0.45081998,0.00000000,1.96014067,1.39910775,0.05534106,0.18865550
1.34167084,2.41173243,0.46714163,0.00000000,1.99232396,1.44637638,0.05860996,0.19227887
1.34767384,2.48516901,0.48382323,0.00000000,2.02294694,1.49267673,0.06184148,0.19595063
1.35367684,2.55687827,0.50068565,0.00000000,2.05144071,1.53743539,0.06499555,0.19958827
1.35967984,2.62596568,0.51755048,0.00000000,2.07725125,1.58008435,0.06803274,0.20310413
1.36568284,2.69155328,0.53424456,0.00000000,2.09985777,1.62007520,0.07091536,0.20640914
1.37168584,2.75280269,0.55060386,0.00000000,2.11879044,1.65689309,0.07360848,0.20941680
1.37768884,2.80893703,0.56647693,0.00000000,2.13364666,1.69006996,0.07608101,0.21204721
1.38369185,2.85926086,0.58172744,0.00000000,2.14410504,1.71919627,0.07830665,0.21423097
1.38969485,2.90317701,0.59623605,0.00000000,2.14993635,1.74393076,0.08026467,0.21591266
1.39569785,2.94019973,0.60990134,0.00000000,2.15101112,1.76400768,0.08194056,0.21705382
1.40170085,2.96996359,0.62264009,0.00000000,2.14730341,1.77924147,0.08332648,0.21763514
1.40770385,2.99222805,0.63438672,0.00000000,2.13889068,1.78952840,0.08442140,0.21765799
1.41370685,3.00687767,0.64509228,0.00000000,2.12594998,1.79484565,0.08523112,0.21714491
1.41970985,3.01391833,0.65472299,0.00000000,2.10875059,1.79524768,0.08576798,0.21613936
1.42571286,3.01347001,0.66325853,0.00000000,2.08764374,1.79086045,0.08605037,0.21470454
1.43171586,3.00575677,0.67069029,0.00000000,2.06304990,1.78187386,0.08610208,0.21292144
1.43771886,2.99109475,0.67701972,0.00000000,2.03544426,1.76853295,0.08595153,0.21088624
1.44372186,2.96987893,0.68225678,0.00000000,2.00534131,1.75112832,0.08563078,0.20870708
1.44972486,2.94256941,0.68641881,0.00000000,1.97327897,1.72998634,0.08517462,0.20650052
1.45572786,2.90967779,0.68952960,0.00000000,1.93980307,1.70545965,0.08461949,0.20438763
1.46173087,2.87175426,0.69161880,0.00000000,1.90545258,1.67791809,0.08400251,0.20248997
1.46773387,2.82937559,0.69272154,0.00000000,1.87074616,1.64774064,0.08336047,0.20092563
1.47373687,2.78313422,0.69287821,0.00000000,1.83617023,1.61530830,0.08272896,0.19980534
1.47973987,2.73362856,0.69213422,0.00000000,1.80216870,1.58099803,0.08214151,0.19922883
1.48574287,2.68145430,0.69053972,0.00000000,1.76913457,1.54517777,0.08162890,0.19928153
1.49174587,2.62719661,0.68814908,0.00000000,1.73740329,1.50820238,0.08121857,0.20003170
1.49774887,2.57142304,0.68502007,0.00000000,1.70724782,1.47041044,0.08093412,0.20152798
1.50375188,2.51467698,0.68121272,0.00000000,1.67887531,1.43212172,0.08079502,0.20379755
1.50975488,2.45747163,0.67678787,0.00000000,1.65242537,1.39363515,0.08081644,0.20684475
1.51575788,2.40028430,0.67180543,0.00000000,1.62796971,1.35522733,0.08100916,0.21065044
1.52176088,2.34355141,0.66632242,0.00000000,1.60551337,1.31715139,0.08137978,0.21517193
1.52776388,2.28766413,0.66039110,0.00000000,1.58499723,1.27963622,0.08193093,0.22034358
1.53376688,2.23296505,0.65405713,0.00000000,1.56630212,1.24288615,0.08266173,0.22607809
1.53976988,2.17974619,0.64735809,0.00000000,1.54925440,1.20708104,0.08356830,0.23226850
1.54577289,2.12824847,0.64032250,0.00000000,1.53363309,1.17237699,0.08464449,0.23879075
1.55177589,2.07866313,0.63296950,0.00000000,1.51917858,1.13890755,0.08588255,0.24550698
1.55777889,2.03113498,0.62530918,0.00000000,1.50560277,1.10678558,0.08727398,0.25226924
1.56378189,1.98576759,0.61734379,0.00000000,1.49260061,1.07610572,0.08881029,0.25892377
1.56978489,1.94263034,0.60906965,0.00000000,1.47986265,1.04694734,0.09048373,0.26531550
1.57578789,1.90176673,0.60047968,0.00000000,1.46708826,1.01937790,0.09228794,0.27129278
1.58179090,1.86320380,0.59156651,0.00000000,1.45399918,0.99345649,0.09421841,0.27671216
1.58779390,1.82696188,0.58232587,0.00000000,1.44035271,0.96923731,0.09627271,0.28144285
1.59379690,1.79306396,0.57275998,0.00000000,1.42595399,0.94677284,0.09845050,0.28537101
1.59979990,1.76154419,0.56288080,0.00000000,1.41066682,0.92611650,0.10075326,0.28840331
1.60580290,1.73245457,0.55271282,0.00000000,1.39442238,0.90732437,0.10318367,0.29046992
1.61180590,1.70586960,0.54229511,0.00000000,1.37722533,0.89045604,0.10574479,0.29152654
1.61780890,1.68188822,0.53168258,0.00000000,1.35915700,0.87557426,0.10843897,0.29155557
1.62381191,1.66063286,0.52094623,0.00000000,1.34037523,0.86274340,0.11126654,0.29056619
1.62981491,1.64224579,0.51017234,0.00000000,1.32111097,0.85202688,0.11422445,0.28859349
1.63581791,1.62688267,0.49946072,0.00000000,1.30166155,0.84348353,0.11730485,0.28569660
1.64182091,1.61470385,0.48892195,0.00000000,1.28238100,0.83716328,0.12049380,0.28195595
1.64782391,1.60586406,0.47867394,0.00000000,1.26366772,0.83310239,0.12377013,0.27746979
1.65382691,1.60050091,0.46883792,0.00000000,1.24595012,0.83131848,0.12710465,0.27235018
1.65982991,1.59872317,0.45953407,0.00000000,1.22967077,0.83180583,0.13045971,0.26671858
1.66583292,1.60059946,0.45087708,0.00000000,1.21526980,0.83453122,0.13378922,0.26070134
1.67183592,1.60614802,0.44297192,0.00000000,1.20316818,0.83943055,0.13703923,0.25442520
