energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
4.09104552,1.59295908,-1.59295907,1.47709780,-1.47709779,0.00000000,-0.00000000,0.26596520,-0.26596519,0.27182699,-0.27182698,0.02896405,-0.02896405,0.19646714,-0.19646714
4.09704852,1.57638234,-1.57638233,1.46514962,-1.46514961,0.00000000,-0.00000000,0.25898979,-0.25898978,0.26766406,-0.26766406,0.02892698,-0.02892698,0.19515123,-0.19515123
4.10305153,1.56112619,-1.56112618,1.45236449,-1.45236448,0.00000000,-0.00000000,0.25366713,-0.25366712,0.26397400,-0.26397399,0.02889663,-0.02889663,0.19492591,-0.19492591
4.10905453,1.54712596,-1.54712595,1.43878510,-1.43878509,0.00000000,-0.00000000,0.24989379,-0.24989379,0.26074986,-0.26074986,0.02886773,-0.02886773,0.19573297,-0.19573298
4.11505753,1.53422993,-1.53422992,1.42437307,-1.42437306,0.00000000,-0.00000000,0.24755444,-0.24755444,0.25796898,-0.25796897,0.02883324,-0.02883324,0.19749919,-0.19749919
4.12106053,1.52219858,-1.52219858,1.40901078,-1.40901077,0.00000000,-0.00000000,0.24652074,-0.24652074,0.25559230,-0.25559229,0.02878459,-0.02878459,0.20013570,-0.20013571
4.12706353,1.51070909,-1.51070908,1.39250816,-1.39250815,0.00000000,-0.00000000,0.24665094,-0.24665094,0.25356470,-0.25356469,0.02871191,-0.02871191,0.20353802,-0.20353803
4.13306653,1.49936471,-1.49936471,1.37461417,-1.37461416,0.00000000,-0.00000000,0.24779011,-0.24779011,0.25181607,-0.25181607,0.02860442,-0.02860442,0.20758669,-0.20758670
4.13906953,1.48770884,-1.48770884,1.35503239,-1.35503237,0.00000000,-0.00000000,0.24977108,-0.24977108,0.25026324,-0.25026324,0.02845090,-0.02845090,0.21214864,-0.21214864
4.14507254,1.47524272,-1.47524271,1.33343978,-1.33343976,0.00000000,-0.00000000,0.25241620,-0.25241620,0.24881258,-0.24881258,0.02824014,-0.02824014,0.21707911,-0.21707911
4.15107554,1.46144610,-1.46144610,1.30950761,-1.30950759,0.00000000,-0.00000000,0.25553963,-0.25553964,0.24736319,-0.24736319,0.02796148,-0.02796148,0.22222423,-0.22222423
