energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
0.03301651,1.53941896,0.00602506,0.27423764,0.54576780,0.02643637,0.00728258,0.11560173,0.80918654,1.00255460
0.03901951,1.56597692,0.00564926,0.26186085,0.52734668,0.02533632,0.00763562,0.11846647,0.85904153,1.04676343
0.04502251,1.59394069,0.00528511,0.24910900,0.50862688,0.02421787,0.00801092,0.12147638,0.90984095,1.09242002
0.05102551,1.62335584,0.00493562,0.23624032,0.49002489,0.02310267,0.00840721,0.12462092,0.96115790,1.13921191
0.05702851,1.65421634,0.00460303,0.22350584,0.47193803,0.02201149,0.00882356,0.12788542,1.01254571,1.18679569
0.06303152,1.68646861,0.00428885,0.21114373,0.45473629,0.02096380,0.00925932,0.13125183,1.06354927,1.23480697
0.06903452,1.72001678,0.00399390,0.19937446,0.43875547,0.01997746,0.00971421,0.13469956,1.11371597,1.28287032
0.07503752,1.75472835,0.00371842,0.18839703,0.42429179,0.01906849,0.01018816,0.13820632,1.16260545,1.33060829
0.08104052,1.79043945,0.00346218,0.17838603,0.41159775,0.01825087,0.01068136,0.14174884,1.20979772,1.37764905
0.08704352,1.82695907,0.00322451,0.16948971,0.40087915,0.01753645,0.01119405,0.14530352,1.25489934,1.42363207
0.09304652,1.86407164,0.00300450,0.16182875,0.39229320,0.01693490,0.01172647,0.14884682,1.29754729,1.46821159
0.09904952,1.90153779,0.00280103,0.15549580,0.38594743,0.01645366,0.01227866,0.15235546,1.33741065,1.51105774
0.10505253,1.93909330,0.00261287,0.15055547,0.38189937,0.01609798,0.01285031,0.15580639,1.37419021,1.55185558
0.11105553,1.97644633,0.00243879,0.14704489,0.38015687,0.01587092,0.01344055,0.15917658,1.40761626,1.59030224
0.11705853,2.01327357,0.00227759,0.14497438,0.38067891,0.01577339,0.01404782,0.16244261,1.43744514,1.62610281
0.12306153,2.04921580,0.00212814,0.14432854,0.38337696,0.01580416,0.01466965,0.16558018,1.46345501,1.65896559
0.12906453,2.08387386,0.00198946,0.14506725,0.38811683,0.01595993,0.01530253,0.16856354,1.48544160,1.68859747
0.13506753,2.11680562,0.00186072,0.14712695,0.39472107,0.01623533,0.01594185,0.17136505,1.50321443,1.71470014
0.14107054,2.14752506,0.00174121,0.15042190,0.40297199,0.01662299,0.01658183,0.17395473,1.51659420,1.73696786
0.14707354,2.17550402,0.00163044,0.15484554,0.41261542,0.01711356,0.01721550,0.17630014,1.52541166,1.75508735
0.15307654,2.20017714,0.00152804,0.16027204,0.42336511,0.01769582,0.01783483,0.17836634,1.52950850,1.76874026
0.15907954,2.22095055,0.00143384,0.16655801,0.43490808,0.01835681,0.01843083,0.18011631,1.52874021,1.77760833
0.16508254,2.23721415,0.00134780,0.17354450,0.44691068,0.01908189,0.01899379,0.18151156,1.52298100,1.78138135
0.17108554,2.24835730,0.00127008,0.18105923,0.45902547,0.01985506,0.01951349,0.18251311,1.51213042,1.77976746
0.17708854,2.25378755,0.00120099,0.18891934,0.47089879,0.02065910,0.01997956,0.18308269,1.49612147,1.77250550
0.18309155,2.25295147,0.00114104,0.19693434,0.48217891,0.02147595,0.02038180,0.18318423,1.47492941,1.75937862
0.18909455,2.24535674,0.00109093,0.20490963,0.49252449,0.02228704,0.02071057,0.18278553,1.44858083,1.74022840
0.19509755,2.23059430,0.00105160,0.21265024,0.50161317,0.02307371,0.02095708,0.18185992,1.41716210,1.71496846
0.20110055,2.20835948,0.00102422,0.21996493,0.50915005,0.02381765,0.02111384,0.18038804,1.38082667,1.68359688
0.20710355,2.17847082,0.00101025,0.22667049,0.51487561,0.02450135,0.02117492,0.17835940,1.33980041,1.64620629
0.21310655,2.14088555,0.00101146,0.23259608,0.51857302,0.02510865,0.02113619,0.17577387,1.29438461,1.60299116
0.21910955,2.09571086,0.00102991,0.23758751,0.52007424,0.02562515,0.02099561,0.17264274,1.24495604,1.55425141
0.22511256,2.04321008,0.00106805,0.24151132,0.51926493,0.02603869,0.02075329,0.16898960,1.19196415,1.50039222
0.23111556,1.98380349,0.00112864,0.24425834,0.51608781,0.02633975,0.02041159,0.16485064,1.13592501,1.44191973
0.23711856,1.91806343,0.00121480,0.24574684,0.51054427,0.02652177,0.01997508,0.16027461,1.07741251,1.37943273
0.24312156,1.84670390,0.00132998,0.24592481,0.50269428,0.02658139,0.01945046,0.15532227,1.01704682,1.31361059
0.24912456,1.77056497,0.00147791,0.24477148,0.49265445,0.02651862,0.01884634,0.15006537,0.95548089,1.24519810
0.25512756,1.69059266,0.00166255,0.24229786,0.48059430,0.02633685,0.01817307,0.14458521,0.89338531,1.17498764
0.26113057,1.60781513,0.00188799,0.23854635,0.46673098,0.02604276,0.01744239,0.13897080,0.83143245,1.10379967
0.26713357,1.52331607,0.00215841,0.23358927,0.45132244,0.02564614,0.01666712,0.13331666,0.77028034,1.03246221
0.27313657,1.43820654,0.00247789,0.22752653,0.43465950,0.02515957,0.01586080,0.12772044,0.71055724,0.96179041
