energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.51975988,1.15573558,-0.57591246,0.00014409,-0.00000957,0.03926669,-0.01620455,0.31653291,-0.21709398,0.21194554,-0.06926512,0.16522623,-0.20825476,0.17507327,-0.04598711,0.00966123,-0.00537309,0.68299194,-0.38582828
-5.51375688,1.20061303,-0.56547330,0.00017685,-0.00000770,0.04208342,-0.01638801,0.32551295,-0.21490698,0.22099858,-0.06923535,0.16719643,-0.20647196,0.18525302,-0.04400646,0.00999737,-0.00500110,0.70617810,-0.37874612
-5.50775388,1.24629148,-0.55773908,0.00021575,-0.00000619,0.04512955,-0.01656601,0.33483581,-0.21307700,0.23004036,-0.06982559,0.16990741,-0.20415999,0.19612809,-0.04238349,0.01029335,-0.00469204,0.72942130,-0.37336124
-5.50175088,1.29309973,-0.55281310,0.00026158,-0.00000498,0.04844009,-0.01674343,0.34457756,-0.21163095,0.23912196,-0.07104621,0.17343622,-0.20131089,0.20781067,-0.04112686,0.01054849,-0.00444972,0.75286141,-0.36974519
-5.49574787,1.34146206,-0.55081284,0.00031520,-0.00000402,0.05205339,-0.01692646,0.35483366,-0.21061048,0.24831406,-0.07291066,0.17786376,-0.19794181,0.22042596,-0.04024322,0.01076350,-0.00427680,0.77669342,-0.36797917
-5.48974487,1.39188644,-0.55186323,0.00037746,-0.00000328,0.05601017,-0.01712226,0.36571672,-0.21006947,0.25770476,-0.07543381,0.18327397,-0.19409332,0.23410842,-0.03973698,0.01094038,-0.00417478,0.80116207,-0.36814973
-5.48374187,1.44494550,-0.55608776,0.00044923,-0.00000272,0.06035216,-0.01733862,0.37735246,-0.21007065,0.26739588,-0.07862995,0.18975224,-0.18982684,0.24899686,-0.03960998,0.01108242,-0.00414405,0.82655241,-0.37034307
-5.47773887,1.50125090,-0.56359798,0.00053132,-0.00000231,0.06512053,-0.01758351,0.38987399,-0.21068141,0.27749819,-0.08251054,0.19738298,-0.18522107,0.26522830,-0.03986105,0.01119406,-0.00418389,0.85317653,-0.37463825
-5.47173587,1.56142198,-0.57448180,0.00062454,-0.00000203,0.07035411,-0.01786460,0.40341461,-0.21196921,0.28812553,-0.08708183,0.20624628,-0.18036790,0.28293101,-0.04048550,0.01128070,-0.00429252,0.88135712,-0.38109960
-5.46573287,1.62605008,-0.58879144,0.00072958,-0.00000186,0.07608742,-0.01818881,0.41809961,-0.21399659,0.29938816,-0.09234249,0.21641408,-0.17536776,0.30221693,-0.04147465,0.01134851,-0.00446712,0.91140830,-0.38976892
-5.45972986,1.69566040,-0.60653177,0.00084706,-0.00000177,0.08234871,-0.01856174,0.43403719,-0.21681634,0.31138572,-0.09828140,0.22794573,-0.17032486,0.32317378,-0.04281523,0.01140420,-0.00470386,0.94361513,-0.40065782
-5.45372686,1.77067341,-0.62764979,0.00097743,-0.00000177,0.08915799,-0.01898733,0.45130944,-0.22046696,0.32420011,-0.10487585,0.24088349,-0.16534241,0.34585743,-0.04448904,0.01145474,-0.00499798,0.97821261,-0.41374089
-5.44772386,1.85136818,-0.65202620,0.00112100,-0.00000184,0.09652531,-0.01946737,0.46996356,-0.22496870,0.33788873,-0.11209009,0.25524804,-0.16051818,0.37028483,-0.04647258,0.01150714,-0.00534379,1.01536556,-0.42895010
-5.44172086,1.93784983,-0.67946986,0.00127789,-0.00000198,0.10444921,-0.02000129,0.49000412,-0.23032066,0.35247855,-0.11987458,0.27103440,-0.15594048,0.39642806,-0.04873691,0.01156817,-0.00573481,1.05515065,-0.44617113
-5.43571786,2.03002331,-0.70971560,0.00144797,-0.00000218,0.11291559,-0.02058595,0.51138683,-0.23649884,0.36796130,-0.12816599,0.28820852,-0.15168496,0.42420986,-0.05124775,0.01164418,-0.00616381,1.09754180,-0.46524183
-5.42971486,2.12757551,-0.74242607,0.00163088,-0.00000245,0.12189712,-0.02121560,0.53401432,-0.24345568,0.38429024,-0.13688790,0.30670483,-0.14781217,0.45350106,-0.05396582,0.01174091,-0.00662299,1.14239990,-0.48595333
