energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-4.84142071,1.56335177,0.51653023,0.76030711,0.09684100,0.00000000,0.56455501,0.00000000
-4.83541771,1.54688940,0.49842018,0.74307936,0.09369705,0.00000000,0.57382509,0.00000000
-4.82941471,1.52869712,0.48014436,0.72497254,0.09041383,0.00000000,0.58257927,0.00000000
-4.82341171,1.50901083,0.46197458,0.70625159,0.08703401,0.00000000,0.59068701,0.00000000
-4.81740870,1.48805487,0.44417158,0.68717329,0.08360107,0.00000000,0.59800961,0.00000000
-4.81140570,1.46603872,0.42697796,0.66798016,0.08015813,0.00000000,0.60440607,0.00000000
-4.80540270,1.44315449,0.41061193,0.64889511,0.07674682,0.00000000,0.60973908,0.00000000
-4.79939970,1.41957501,0.39526171,0.63011694,0.07340615,0.00000000,0.61388061,0.00000000
-4.79339670,1.39545227,0.38108109,0.61181670,0.07017159,0.00000000,0.61671708,0.00000000
-4.78739370,1.37091641,0.36818624,0.59413489,0.06707419,0.00000000,0.61815359,0.00000000
-4.78139070,1.34607491,0.35665380,0.57717972,0.06413989,0.00000000,0.61811723,0.00000000
-4.77538769,1.32101224,0.34652052,0.56102630,0.06138906,0.00000000,0.61655919,0.00000000
-4.76938469,1.29578997,0.33778437,0.54571675,0.05883622,0.00000000,0.61345594,0.00000000
-4.76338169,1.27044749,0.33040707,0.53126145,0.05649001,0.00000000,0.60880920,0.00000000
-4.75737869,1.24500342,0.32431801,0.51764119,0.05435330,0.00000000,0.60264516,0.00000000
-4.75137569,1.21945794,0.31941944,0.50481022,0.05242364,0.00000000,0.59501294,0.00000000
-4.74537269,1.19379614,0.31559260,0.49270037,0.05069379,0.00000000,0.58598260,0.00000000
-4.73936968,1.16799227,0.31270464,0.48122572,0.04915246,0.00000000,0.57564281,0.00000000
-4.73336668,1.14201516,0.31061598,0.47028814,0.04778521,0.00000000,0.56409852,0.00000000
-4.72736368,1.11583435,0.30918781,0.45978316,0.04657540,0.00000000,0.55146866,0.00000000
-4.72136068,1.08942702,0.30828933,0.44960616,0.04550523,0.00000000,0.53788408,0.00000000
-4.71535768,1.06278514,0.30780457,0.43965865,0.04455677,0.00000000,0.52348573,0.00000000
-4.70935468,1.03592263,0.30763814,0.42985420,0.04371293,0.00000000,0.50842305,0.00000000
-4.70335168,1.00888209,0.30772008,0.42012405,0.04295839,0.00000000,0.49285266,0.00000000
-4.69734867,0.98174053,0.30800920,0.41042184,0.04228039,0.00000000,0.47693711,0.00000000
-4.69134567,0.95461377,0.30849500,0.40072748,0.04166938,0.00000000,0.46084365,0.00000000
