energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-5.89194597,4.61421497,0.02065533,0.61546484,2.78451775,0.53305643,2.03458865,1.36786494,0.04561842,2.16941553
-5.88594297,4.81394858,0.02226314,0.63650804,2.93023073,0.57014974,2.11554833,1.39816129,0.04818450,2.27057496
-5.87993997,5.01830745,0.02399233,0.65803088,3.07754326,0.60893587,2.19695747,1.42951727,0.05082669,2.37382731
-5.87393697,5.22529315,0.02583658,0.67993289,3.22453175,0.64906563,2.27814643,1.46169023,0.05351564,2.47799614
-5.86793397,5.43287763,0.02778892,0.70211121,3.36926690,0.69015792,2.35847294,1.49442890,0.05622151,2.58188977
-5.86193097,5.63903186,0.02984177,0.72446046,3.50985028,0.73180303,2.43732802,1.52747880,0.05891441,2.68432012
-5.85592796,5.84175357,0.03198700,0.74687233,3.64445028,0.77356670,2.51414013,1.56058700,0.06156462,2.78412137
-5.84992496,6.03909390,0.03421592,0.76923507,3.77133622,0.81499530,2.58837778,1.59350623,0.06414305,2.88016821
-5.84392196,6.22918262,0.03651929,0.79143285,3.88890967,0.85562196,2.65955065,1.62599822,0.06662153,2.97139325
-5.83791896,6.41025185,0.03888724,0.81334509,3.99573226,0.89497376,2.72720946,1.65783614,0.06897325,3.05680365
-5.83191596,6.58065821,0.04130925,0.83484602,4.09054910,0.93257990,2.79094496,1.68880619,0.07117315,3.13549645
-5.82591296,6.73890326,0.04377406,0.85580432,4.17230746,0.96798065,2.85038636,1.71870850,0.07319840,3.20667269
-5.81990995,6.88365219,0.04626956,0.87608312,4.24017021,1.00073700,2.90519942,1.74735724,0.07502882,3.26964992
-5.81390695,7.01375057,0.04878276,0.89554042,4.29352405,1.03044059,2.95508478,1.77458029,0.07664741,3.32387292
-5.80790395,7.12823907,0.05129967,0.91402987,4.33198245,1.05672369,2.99977661,1.80021857,0.07804074,3.36892253
-5.80190095,7.22636566,0.05380524,0.93140217,4.35538351,1.07926877,3.03904199,1.82412513,0.07919944,3.40452212
-5.79589795,7.30759535,0.05628340,0.94750684,4.36378316,1.09781732,3.07268116,1.84616436,0.08011856,3.43054163
-5.78989495,7.37161669,0.05871703,0.96219458,4.35744402,1.11217736,3.10052886,1.86621136,0.08079792,3.44699886
-5.78389195,7.41834513,0.06108806,0.97532007,4.33682070,1.12222946,3.12245669,1.88415168,0.08124227,3.45405784
-5.77788894,7.44792259,0.06337768,0.98674517,4.30254197,1.12793074,3.13837668,1.89988162,0.08146144,3.45202415
-5.77188594,7.46071325,0.06556649,0.99634247,4.25539060,1.12931667,3.14824573,1.91330905,0.08147028,3.44133714
-5.76588294,7.45729541,0.06763491,1.00399899,4.19628149,1.12650045,3.15207096,1.92435498,0.08128843,3.42255918
-5.75987994,7.43844938,0.06956346,1.00962005,4.12623897,1.11967001,3.14991558,1.93295578,0.08094002,3.39636200
-5.75387694,7.40514172,0.07133331,1.01313307,4.04637362,1.10908258,3.14190503,1.93906604,0.08045313,3.36351061
-5.74787394,7.35850608,0.07292674,1.01449113,3.95785953,1.09505708,3.12823293,1.94266197,0.07985914,3.32484508
-5.74187094,7.29982120,0.07432768,1.01367624,3.86191242,1.07796467,3.10916655,1.94374517,0.07919196,3.28126098
-5.73586793,7.23048672,0.07552230,1.01070205,3.75976901,1.05821780,3.08505120,1.94234668,0.07848717,3.23368881
-5.72986493,7.15199733,0.07649952,1.00561594,3.65266823,1.03625822,3.05631321,1.93853088,0.07778105,3.18307347
-5.72386193,7.06591624,0.07725156,0.99850025,3.54183422,1.01254456,3.02346092,1.93239924,0.07710964,3.13035415
-5.71785893,6.97384844,0.07777430,0.98947262,3.42846150,0.98753999,2.98708342,1.92409333,0.07650783,3.07644564
-5.71185593,6.87741458,0.07806767,0.97868536,3.31370227,0.96170032,2.94784660,1.91379704,0.07600840,3.02222133
-5.70585293,6.77822583,0.07813584,0.96632362,3.19865569,0.93546325,2.90648624,1.90173760,0.07564126,2.96849866
-5.69984992,6.67786028,0.07798725,0.95260258,3.08435900,0.90923897,2.86379808,1.88818524,0.07543278,2.91602716
-5.69384692,6.57784104,0.07763455,0.93776352,2.97178025,0.88340242,2.82062477,1.87345108,0.07540520,2.86547932
-5.68784392,6.47961611,0.07709431,0.92206888,2.86181236,0.85828744,2.77783979,1.85788342,0.07557628,2.81744430
-5.68184092,6.38453995,0.07638660,0.90579648,2.75526803,0.83418283,2.73632873,1.84186202,0.07595901,2.77242416
-5.67583792,6.29385669,0.07553443,0.88923296,2.65287540,0.81133027,2.69696819,1.82579059,0.07656154,2.73083252
-5.66983492,6.20868461,0.07456305,0.87266672,2.55527400,0.78992388,2.66060298,1.81008752,0.07738719,2.69299496
-5.66383192,6.13000165,0.07349914,0.85638060,2.46301086,0.77011139,2.62802217,1.79517504,0.07843462,2.65915085
-5.65782891,6.05863185,0.07236996,0.84064444,2.37653669,0.75199633,2.59993492,1.78146707,0.07969796,2.62945597
-5.65182591,5.99523239,0.07120249,0.82570791,2.29620198,0.73564124,2.57694690,1.76935614,0.08116718,2.60398554
-5.64582291,5.94028147,0.07002249,0.81179378,2.22225331,0.72107127,2.55953808,1.75919989,0.08282829,2.58273708
-5.63981991,5.89406689,0.06885377,0.79909192,2.15482988,0.70827817,2.54804308,1.75130749,0.08466366,2.56563300
-5.63381691,5.85667599,0.06771738,0.78775416,2.09396076,0.69722414,2.54263469,1.74592671,0.08665229,2.55252258
-5.62781391,5.82798719,0.06663105,0.77789040,2.03956300,0.68784546,2.54331158,1.74323201,0.08877007,2.54318346
-5.62181091,5.80766397,0.06560873,0.76956579,1.99144134,0.68005582,2.54989075,1.74331432,0.09098995,2.53732271
-5.61580790,5.79515198,0.06466024,0.76279939,1.94928963,0.67374906,2.56200535,1.74617300,0.09328218,2.53457786
-5.60980490,5.78968008,0.06379123,0.75756415,1.91269461,0.66880160,2.57910826,1.75171041,0.09561449,2.53451809
-5.60380190,5.79026621,0.06300313,0.75378825,1.88114222,0.66507433,2.60048153,1.75972947,0.09795226,2.53664637
-5.59779890,5.79572863,0.06229340,0.75135781,1.85402683,0.66241427,2.62525164,1.76993456,0.10025882,2.54040260
-5.59179590,5.80470326,0.06165590,0.75012071,1.83066326,0.66065596,2.65241035,1.78193577,0.10249572,2.54516869
-5.58579290,5.81566716,0.06108130,0.74989161,1.81030178,0.65962286,2.68084049,1.79525668,0.10462313,2.55027547
