energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-4.47523762,0.70122838,0.04913251,0.00000000,0.31755500,0.05688660,0.04031630,0.34081520
-4.46923462,0.65437569,0.04482550,0.00000000,0.29684075,0.05305910,0.03746910,0.31805272
-4.46323162,0.61133617,0.04137361,0.00000000,0.27830791,0.04950063,0.03459859,0.29676878
-4.45722861,0.57232772,0.03874640,0.00000000,0.26195025,0.04623772,0.03174997,0.27712292
-4.45122561,0.53750357,0.03690624,0.00000000,0.24773000,0.04329184,0.02896646,0.25924460
-4.44522261,0.50694978,0.03580929,0.00000000,0.23557912,0.04067883,0.02628876,0.24323069
-4.43921961,0.48068430,0.03540646,0.00000000,0.22540098,0.03840858,0.02375464,0.22914361
-4.43321661,0.45865757,0.03564423,0.00000000,0.21707256,0.03648480,0.02139887,0.21701045
-4.42721361,0.44075507,0.03646533,0.00000000,0.21044712,0.03490493,0.01925333,0.20682301
-4.42121061,0.42680166,0.03780945,0.00000000,0.20535745,0.03366027,0.01734737,0.19853897
-4.41520760,0.41656778,0.03961387,0.00000000,0.20161961,0.03273627,0.01570839,0.19208399
-4.40920460,0.40977753,0.04181424,0.00000000,0.19903704,0.03211300,0.01436253,0.18735494
-4.40320160,0.40611824,0.04434538,0.00000000,0.19740519,0.03176579,0.01333545,0.18422396
-4.39719860,0.40525146,0.04714221,0.00000000,0.19651622,0.03166606,0.01265322,0.18254338
-4.39119560,0.40682498,0.05014086,0.00000000,0.19616402,0.03178225,0.01234313,0.18215124
-4.38519260,0.41048542,0.05327991,0.00000000,0.19614912,0.03208090,0.01243441,0.18287737
-4.37918959,0.41589103,0.05650172,0.00000000,0.19628345,0.03252778,0.01295893,0.18454958
-4.37318659,0.42272422,0.05975386,0.00000000,0.19639479,0.03308905,0.01395157,0.18700001
-4.36718359,0.43070315,0.06299060,0.00000000,0.19633081,0.03373243,0.01545043,0.19007110
-4.36118059,0.43959206,0.06617427,0.00000000,0.19596244,0.03442832,0.01749675,0.19362117
-4.35517759,0.44920978,0.06927660,0.00000000,0.19518653,0.03515076,0.02013448,0.19752928
-4.34917459,0.45943592,0.07227974,0.00000000,0.19392771,0.03587836,0.02340951,0.20169905
-4.34317159,0.47021437,0.07517700,0.00000000,0.19213938,0.03659494,0.02736855,0.20606149
-4.33716858,0.48155394,0.07797326,0.00000000,0.18980368,0.03728996,0.03205769,0.21057639
-4.33116558,0.49352583,0.08068481,0.00000000,0.18693065,0.03795878,0.03752057,0.21523245
