energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.39819910,3.98546895,0.59533836,2.82404080,0.00093361,0.03802529,0.00672824,0.12130839,0.26042148,1.05209540
-2.39219610,3.94950234,0.59096087,2.75749994,0.00092800,0.03904465,0.00674604,0.12268929,0.26458874,1.07494983
-2.38619310,3.89904496,0.58357082,2.68234096,0.00091779,0.03992112,0.00672992,0.12354944,0.26742249,1.09295071
-2.38019010,3.83477362,0.57328080,2.59943968,0.00090322,0.04065117,0.00668181,0.12388542,0.26890378,1.10593457
-2.37418709,3.75767862,0.56026894,2.50983354,0.00088465,0.04123551,0.00660442,0.12370601,0.26904513,1.11386166
-2.36818409,3.66904653,0.54477434,2.41470347,0.00086248,0.04167914,0.00650119,0.12303211,0.26789033,1.11681774
-2.36218109,3.57043394,0.52709067,2.31535178,0.00083721,0.04199128,0.00637615,0.12189633,0.26551310,1.11501155
-2.35617809,3.46363271,0.50755808,2.21317651,0.00080941,0.04218511,0.00623383,0.12034218,0.26201491,1.10876822
-2.35017509,3.35062812,0.48655398,2.10964354,0.00077965,0.04227740,0.00607911,0.11842297,0.25752177,1.09851858
-2.34417209,3.23355129,0.46448286,2.00625696,0.00074858,0.04228803,0.00591706,0.11620038,0.25218031,1.08478495
-2.33816908,3.11462767,0.44176571,1.90452913,0.00071680,0.04223932,0.00575283,0.11374287,0.24615319,1.06816385
-2.33216608,2.99612342,0.41882944,1.80595124,0.00068495,0.04215533,0.00559142,0.11112387,0.23961406,1.04930620
-2.32616308,2.88029158,0.39609663,1.71196553,0.00065361,0.04206104,0.00543763,0.10841981,0.23274226,1.02889582
-2.32016008,2.76931974,0.37397614,1.62393987,0.00062332,0.04198146,0.00529581,0.10570828,0.22571750,1.00762694
-2.31415708,2.66528121,0.35285463,1.54314561,0.00059458,0.04194078,0.00516984,0.10306599,0.21871459,0.98618160
-2.30815408,2.57009086,0.33308946,1.47073910,0.00056782,0.04196146,0.00506297,0.10056702,0.21189858,0.96520771
-2.30215108,2.48546704,0.31500306,1.40774712,0.00054340,0.04206338,0.00497774,0.09828113,0.20542036,0.94529864
-2.29614807,2.41290043,0.29887869,1.35505650,0.00052159,0.04226313,0.00491595,0.09627219,0.19941291,0.92697493
-2.29014507,2.35363034,0.28495778,1.31340750,0.00050260,0.04257329,0.00487862,0.09459702,0.19398832,0.91066902
-2.28414207,2.30862871,0.27343864,1.28339067,0.00048656,0.04300194,0.00486599,0.09330431,0.18923558,0.89671328
-2.27813907,2.27859166,0.26447634,1.26544668,0.00047353,0.04355231,0.00487754,0.09243388,0.18521938,0.88533198
-2.27213607,2.26393811,0.25818366,1.25986832,0.00046349,0.04422257,0.00491207,0.09201621,0.18197969,0.87663735
