energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-1.75587794,1.90387121,-1.90351966,0.17700520,-0.17696739,1.68832803,-1.68801947,0.00074420,-0.00074368,0.05956238,-0.05955244,0.14415131,-0.14412430,0.01474345,-0.01474066
-1.74987494,1.97215906,-1.97176567,0.18281948,-0.18278197,1.74936224,-1.74901146,0.00082378,-0.00082318,0.06107251,-0.06106303,0.14880154,-0.14877425,0.01527133,-0.01526835
-1.74387194,2.04659069,-2.04615228,0.18836479,-0.18832759,1.81680290,-1.81640690,0.00091629,-0.00091561,0.06243410,-0.06242504,0.15328431,-0.15325681,0.01583084,-0.01582764
-1.73786893,2.12778682,-2.12729967,0.19367177,-0.19363480,1.89119618,-1.89075161,0.00102197,-0.00102122,0.06366644,-0.06365770,0.15761399,-0.15758630,0.01642636,-0.01642292
-1.73186593,2.21647813,-2.21593816,0.19879120,-0.19875431,1.97316844,-1.97267167,0.00114138,-0.00114054,0.06479784,-0.06478928,0.16182067,-0.16179273,0.01706309,-0.01705938
-1.72586293,2.31348787,-2.31289067,0.20379278,-0.20375574,2.06341120,-2.06285841,0.00127535,-0.00127443,0.06586509,-0.06585654,0.16594906,-0.16592077,0.01774692,-0.01774291
-1.71985993,2.41970984,-2.41905084,0.20876333,-0.20872587,2.16266253,-2.16204985,0.00142507,-0.00142406,0.06691253,-0.06690379,0.17005702,-0.17002824,0.01848429,-0.01847993
-1.71385693,2.53608231,-2.53535692,0.21380454,-0.21376633,2.27168543,-2.27100901,0.00159206,-0.00159096,0.06799092,-0.06798176,0.17421356,-0.17418409,0.01928194,-0.01927721
-1.70785393,2.66355833,-2.66276209,0.21903021,-0.21899086,2.39124343,-2.39049961,0.00177824,-0.00177703,0.06915609,-0.06914627,0.17849652,-0.17846615,0.02014674,-0.02014159
-1.70185093,2.80307314,-2.80220187,0.22456315,-0.22452224,2.52207409,-2.52125951,0.00198588,-0.00198456,0.07046740,-0.07045667,0.18298995,-0.18295843,0.02108538,-0.02107979
-1.69584792,2.95550926,-2.95455921,0.23053178,-0.23048888,2.66486074,-2.66397248,0.00221765,-0.00221620,0.07198609,-0.07197417,0.18778123,-0.18774832,0.02210413,-0.02209807
-1.68984492,3.12166008,-3.12062813,0.23706653,-0.23702121,2.82020310,-2.81923880,0.00247661,-0.00247502,0.07377348,-0.07376012,0.19295807,-0.19292352,0.02320851,-0.02320196
