energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-1.04752376,2.70816949,1.50720989,0.06421165,0.08823816,0.48569653,0.21155805,1.32618622
-1.04152076,2.60506020,1.45700929,0.06181065,0.08508750,0.46866907,0.20185905,1.26860500
-1.03551776,2.50283372,1.40729569,0.05943139,0.08187004,0.45192293,0.19237266,1.21102564
-1.02951476,2.40284973,1.35877432,0.05710368,0.07861199,0.43573050,0.18322073,1.15417048
-1.02351176,2.30640013,1.31211906,0.05485588,0.07533923,0.42035537,0.17451320,1.09872682
-1.01750875,2.21469273,1.26796348,0.05271455,0.07207744,0.40604821,0.16634660,1.04533820
-1.01150575,2.12883459,1.22689132,0.05070422,0.06885217,0.39304251,0.15880276,0.99459606
-1.00550275,2.04981548,1.18942651,0.04884706,0.06568877,0.38155021,0.15194797,0.94703180
-0.99949975,1.97849185,1.15602324,0.04716250,0.06261228,0.37175737,0.14583236,0.90310966
-0.99349675,1.91557226,1.12705653,0.04566697,0.05964715,0.36382011,0.14048977,0.86322046
-0.98749375,1.86160494,1.10281390,0.04437352,0.05681697,0.35786108,0.13593800,0.82767674
-0.98149075,1.81696864,1.08348874,0.04329160,0.05414409,0.35396654,0.13217946,0.79670935
-0.97548774,1.78186745,1.06917607,0.04242684,0.05164927,0.35218446,0.12920230,0.77046604
-0.96948474,1.75633052,1.05987120,0.04178094,0.04935139,0.35252370,0.12698191,0.74901206
-0.96348174,1.74021721,1.05547171,0.04135172,0.04726718,0.35495454,0.12548285,0.73233303
-0.95747874,1.73322807,1.05578306,0.04113322,0.04541116,0.35941047,0.12466105,0.72034016
-0.95147574,1.73492149,1.06052786,0.04111596,0.04379564,0.36579155,0.12446631,0.71287758
-0.94547274,1.74473587,1.06935861,0.04128741,0.04243091,0.37396900,0.12484494,0.70973181
-0.93946973,1.76201655,1.08187362,0.04163247,0.04132561,0.38379115,0.12574242,0.71064281
-0.93346673,1.78604642,1.09763536,0.04213413,0.04048723,0.39509034,0.12710606,0.71531637
-0.92746373,1.81607903,1.11619054,0.04277419,0.03992277,0.40769067,0.12888744,0.72343713
-0.92146073,1.85137260,1.13709093,0.04353408,0.03963950,0.42141615,0.13104456,0.73468184
-0.91545773,1.89122321,1.15991388,0.04439559,0.03964571,0.43609898,0.13354356,0.74873200
-0.90945473,1.93499565,1.18428136,0.04534164,0.03995157,0.45158745,0.13636000,0.76528541
-0.90345173,1.98214992,1.20987661,0.04635701,0.04056984,0.46775320,0.13947949,0.78406605
-0.89744872,2.03226223,1.23645725,0.04742886,0.04151647,0.48449732,0.14289779,0.80483155
-0.89144572,2.08503891,1.26386411,0.04854718,0.04281106,0.50175501,0.14662018,0.82737817
-0.88544272,2.14032247,1.29202517,0.04970508,0.04447706,0.51949854,0.15066031,0.85154273
-0.87943972,2.19808923,1.32095424,0.05089877,0.04654167,0.53773832,0.15503838,0.87720150
-0.87343672,2.25843832,1.35074429,0.05212753,0.04903544,0.55652178,0.15977887,0.90426607
-0.86743372,2.32157256,1.38155563,0.05339326,0.05199156,0.57593036,0.16490791,0.93267648
-0.86143072,2.38777197,1.41359962,0.05470007,0.05544479,0.59607444,0.17045026,0.96239188
-0.85542771,2.45736121,1.44711847,0.05605350,0.05943005,0.61708652,0.17642628,0.99337933
-0.84942471,2.53067265,1.48236244,0.05745983,0.06398079,0.63911293,0.18284890,1.02560144
-0.84342171,2.60800695,1.51956546,0.05892510,0.06912708,0.66230452,0.18972071,1.05900357
-0.83741871,2.68959345,1.55892067,0.06045430,0.07489358,0.68680663,0.19703147,1.09350130
-0.83141571,2.77555253,1.60055716,0.06205045,0.08129746,0.71274899,0.20475602,1.12896919
-0.82541271,2.86586219,1.64451942,0.06371384,0.08834632,0.74023604,0.21285290,1.16523140
-0.81940970,2.96033096,1.69075064,0.06544134,0.09603636,0.76933813,0.22126355,1.20205499
-0.81340670,3.05857895,1.73908093,0.06722597,0.10435067,0.80008411,0.22991236,1.23914639
-0.80740370,3.16002839,1.78922146,0.06905658,0.11325810,0.83245590,0.23870745,1.27615149
-0.80140070,3.26390460,1.84076474,0.07091788,0.12271245,0.86638504,0.24754229,1.31265944
-0.79539770,3.36924794,1.89319154,0.07279060,0.13265234,0.90175188,0.25629801,1.34821036
-0.78939470,3.47493629,1.94588406,0.07465196,0.14300170,0.93838726,0.26484645,1.38230651
-0.78339170,3.57971757,1.99814486,0.07647642,0.15367091,0.97607672,0.27305367,1.41442664
-0.77738869,3.68225086,2.04922091,0.07823648,0.16455867,1.01456725,0.28078389,1.44404292
-0.77138569,3.78115421,2.09833126,0.07990378,0.17555449,1.05357615,0.28790374,1.47063949
-0.76538269,3.87505717,2.14469738,0.08145024,0.18654182,1.09280169,0.29428651,1.49373203
-0.75937969,3.96265523,2.18757439,0.08284927,0.19740151,1.13193508,0.29981628,1.51288708
