energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.19909955,1.32753738,0.17210305,0.00000000,0.15462960,1.02724468,0.16803165,0.00000000
-4.19309655,1.37013012,0.18118273,0.00000000,0.16636641,1.05637644,0.17944312,0.00000000
-4.18709355,1.41571833,0.19073762,0.00000000,0.17921694,1.08749798,0.19152172,0.00000000
-4.18109055,1.46486366,0.20083872,0.00000000,0.19328143,1.12103755,0.20429684,0.00000000
-4.17508754,1.51804060,0.21155138,0.00000000,0.20864671,1.15735654,0.21778485,0.00000000
-4.16908454,1.57560609,0.22293081,0.00000000,0.22538035,1.19672687,0.23198561,0.00000000
-4.16308154,1.63777185,0.23501745,0.00000000,0.24352473,1.23931067,0.24687919,0.00000000
-4.15707854,1.70458064,0.24783263,0.00000000,0.26309133,1.28514318,0.26242305,0.00000000
-4.15107554,1.77588781,0.26137442,0.00000000,0.28405550,1.33411987,0.27854985,0.00000000
-4.14507254,1.85134923,0.27561422,0.00000000,0.30635195,1.38598851,0.29516603,0.00000000
-4.13906953,1.93041652,0.29049401,0.00000000,0.32987125,1.44034690,0.31215128,0.00000000
-4.13306653,2.01234018,0.30592464,0.00000000,0.35445764,1.49664661,0.32935897,0.00000000
-4.12706353,2.09618096,0.32178516,0.00000000,0.37990825,1.55420289,0.34661768,0.00000000
-4.12106053,2.18082947,0.33792337,0.00000000,0.40597406,1.61221066,0.36373370,0.00000000
-4.11505753,2.26503347,0.35415765,0.00000000,0.43236258,1.66976618,0.38049457,0.00000000
-4.10905453,2.34743228,0.37027998,0.00000000,0.45874237,1.72589372,0.39667349,0.00000000
-4.10305153,2.42659707,0.38606027,0.00000000,0.48474933,1.77957636,0.41203458,0.00000000
-4.09704852,2.50107554,0.40125170,0.00000000,0.50999464,1.82978970,0.42633870,0.00000000
-4.09104552,2.56943951,0.41559705,0.00000000,0.53407425,1.87553722,0.43934975,0.00000000
-4.08504252,2.63033334,0.42883578,0.00000000,0.55657941,1.91588584,0.45084123,0.00000000
-4.07903952,2.68252136,0.44071160,0.00000000,0.57710815,1.95000017,0.46060269,0.00000000
-4.07303652,2.72493217,0.45098029,0.00000000,0.59527717,1.97717398,0.46844606,0.00000000
-4.06703352,2.75669812,0.45941745,0.00000000,0.61073366,1.99685748,0.47421152,0.00000000
-4.06103052,2.77718798,0.46582589,0.00000000,0.62316663,2.00867921,0.47777259,0.00000000
-4.05502751,2.78603161,0.47004236,0.00000000,0.63231734,2.01246152,0.47904052,0.00000000
-4.04902451,2.78313524,0.47194341,0.00000000,0.63798828,2.00822887,0.47796757,0.00000000
-4.04302151,2.76868692,0.47145001,0.00000000,0.64005033,1.99620860,0.47454914,0.00000000
-4.03701851,2.74315169,0.46853084,0.00000000,0.63844789,1.97682410,0.46882471,0.00000000
-4.03101551,2.70725680,0.46320414,0.00000000,0.63320158,1.95068067,0.46087754,0.00000000
-4.02501251,2.66196761,0.45553789,0.00000000,0.62440859,1.91854476,0.45083305,0.00000000
-4.01900950,2.60845545,0.44564849,0.00000000,0.61224043,1.88131761,0.43885608,0.00000000
-4.01300650,2.54805881,0.43369786,0.00000000,0.59693846,1.84000440,0.42514703,0.00000000
-4.00700350,2.48223979,0.41988921,0.00000000,0.57880718,1.79568062,0.40993710,0.00000000
-4.00100050,2.41253788,0.40446160,0.00000000,0.55820571,1.74945711,0.39348276,0.00000000
-3.99499750,2.34052325,0.38768353,0.00000000,0.53553781,1.70244536,0.37605971,0.00000000
-3.98899450,2.26775155,0.36984587,0.00000000,0.51124098,1.65572496,0.35795654,0.00000000
-3.98299150,2.19572243,0.35125441,0.00000000,0.48577488,1.61031426,0.33946832,0.00000000
-3.97698849,2.12584329,0.33222234,0.00000000,0.45960983,1.56714587,0.32089032,0.00000000
