energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.63131566,3.79023700,0.85964276,2.94382770,0.00670788,0.11054838,0.02608394,0.44186529
-4.62531266,3.87203559,0.79694343,3.06954244,0.00639403,0.10147990,0.02441371,0.42466468
-4.61930965,3.98811789,0.74315395,3.21938944,0.00622753,0.09337757,0.02330722,0.41327547
-4.61330665,4.13572233,0.69832747,3.39049727,0.00621944,0.08625318,0.02278159,0.40774998
-4.60730365,4.31172010,0.66237158,3.57974080,0.00638110,0.08009912,0.02285329,0.40808985
-4.60130065,4.51270303,0.63506488,3.78381698,0.00672417,0.07489055,0.02353821,0.41425106
-4.59529765,4.73507818,0.61607509,3.99932687,0.00726065,0.07058785,0.02485160,0.42614893
-4.58929465,4.97516562,0.60497784,4.22286132,0.00800284,0.06713923,0.02680770,0.44366265
-4.58329165,5.22929555,0.60127537,4.45108690,0.00896318,0.06448346,0.02941934,0.46663917
-4.57728864,5.49390069,0.60441446,4.68082863,0.01015404,0.06255246,0.03269716,0.49489610
-4.57128564,5.76559992,0.61380314,4.90914579,0.01158737,0.06127386,0.03664877,0.52822355
-4.56528264,6.04126947,0.62882562,5.13339748,0.01327434,0.06057324,0.04127777,0.56638489
-4.55927964,6.31809855,0.64885531,5.35129455,0.01522483,0.06037622,0.04658267,0.60911632
-4.55327664,6.59362675,0.67326558,5.56093545,0.01744691,0.06061017,0.05255571,0.65612554
-4.54727364,6.86576180,0.70143848,5.76082413,0.01994625,0.06120568,0.05918183,0.70708962
-4.54127064,7.13277717,0.73277131,5.94986910,0.02272549,0.06209759,0.06643766,0.76165241
-4.53526763,7.39329017,0.76668128,6.12736376,0.02578364,0.06322588,0.07429064,0.81942172
-4.52926463,7.64622233,0.80260848,6.29294932,0.02911549,0.06453612,0.08269846,0.87996690
-4.52326163,7.89074514,0.84001760,6.44656260,0.03271106,0.06597974,0.09160869,0.94281682
-4.51725863,8.12621482,0.87839843,6.58837192,0.03655515,0.06751408,0.10095872,1.00745905
-4.51125563,8.35210100,0.91726581,6.71870534,0.04062700,0.06910226,0.11067615,1.07334024
-4.50525263,8.56791419,0.95615898,6.83797562,0.04490007,0.07071290,0.12067942,1.13986824
-4.49924962,8.77313753,0.99464100,6.94660710,0.04934203,0.07231970,0.13087888,1.20641599
-4.49324662,8.96716779,1.03229805,7.04496909,0.05391483,0.07390108,0.14117822,1.27232749
-4.48724362,9.14927034,1.06873914,7.13332063,0.05857508,0.07543961,0.15147618,1.33692565
-4.48124062,9.31855184,1.10359618,7.21177023,0.06327454,0.07692162,0.16166861,1.39952216
-4.47523762,9.47395356,1.13652447,7.28025392,0.06796083,0.07833664,0.17165063,1.45942901
-4.46923462,9.61426688,1.16720373,7.33853330,0.07257830,0.07967705,0.18131913,1.51597157
