energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.44172086,2.60074113,-1.40048820,1.70197361,-0.78972174,0.56098399,-0.21960586,0.68466327,-0.29893879,0.39933220,-0.25720988,0.00324901,-0.01031064,0.48637840,-0.24487044,0.97806456,-0.64140814,0.00000000,-0.00000000
-5.43571786,2.60668250,-1.36708388,1.68665764,-0.76857976,0.56658321,-0.21046830,0.68993832,-0.29718715,0.39581854,-0.25684357,0.00329521,-0.01077957,0.48778761,-0.23641301,0.98148432,-0.62819806,0.00000000,-0.00000000
-5.42971486,2.60713768,-1.33567528,1.66544254,-0.75081199,0.57080119,-0.20211409,0.69323719,-0.29572809,0.39183138,-0.25617381,0.00332299,-0.01122791,0.48761436,-0.22892857,0.98361205,-0.61537629,0.00000000,-0.00000000
-5.42371186,2.60217343,-1.30700928,1.63871533,-0.73669077,0.57357263,-0.19467095,0.69454112,-0.29473245,0.38745096,-0.25525827,0.00333238,-0.01164902,0.48585719,-0.22252213,0.98446333,-0.60331640,0.00000000,-0.00000000
-5.41770885,2.59187830,-1.28178732,1.60693597,-0.72642832,0.57484369,-0.18824899,0.69385546,-0.29437081,0.38275078,-0.25415804,0.00332381,-0.01203635,0.48253520,-0.21727866,0.98403842,-0.59238268,0.00000000,-0.00000000
-5.41170585,2.57636236,-1.26065473,1.57062667,-0.72018002,0.57457374,-0.18294036,0.69120953,-0.29480911,0.37779640,-0.25293624,0.00329812,-0.01238358,0.47768846,-0.21326396,0.98232184,-0.58292271,0.00000000,-0.00000000
-5.40570285,2.55575823,-1.24419167,1.53035987,-0.71804838,0.57273723,-0.17881911,0.68665639,-0.29620447,0.37264489,-0.25165676,0.00325650,-0.01268486,0.47137788,-0.21052563,0.97928330,-0.57526059,0.00000000,-0.00000000
-5.39969985,2.53022379,-1.23290524,1.48674556,-0.72008732,0.56932562,-0.17594134,0.68027236,-0.29870111,0.36734502,-0.25038330,0.00320049,-0.01293492,0.46368488,-0.20909412,0.97488023,-0.56969098,0.00000000,-0.00000000
-5.39369685,2.49994613,-1.22722254,1.44041808,-0.72630600,0.56434924,-0.17434544,0.67215637,-0.30242649,0.36193815,-0.24917849,0.00313189,-0.01312928,0.45471045,-0.20898378,0.96906161,-0.56647368,0.00000000,-0.00000000
-5.38769385,2.46514691,-1.22748449,1.39202317,-0.73667205,0.55783907,-0.17405234,0.66242923,-0.30748767,0.35645979,-0.24810308,0.00305274,-0.01326437,0.44457396,-0.21019367,0.96177322,-0.56582886,0.00000000,-0.00000000
