energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.11755878,7.84006283,1.15560257,5.71852898,0.05657768,0.15915470,0.53565521,0.47108213,0.12394544,1.37279495
-5.11155578,7.79864505,1.14253840,5.68335104,0.05561185,0.15724530,0.53422563,0.47262992,0.12299769,1.37415356
-5.10555278,7.76804228,1.13154641,5.65648212,0.05464800,0.15563186,0.53406345,0.47441930,0.12211055,1.37698424
-5.09954977,7.74801652,1.12261714,5.63785305,0.05369006,0.15432739,0.53512038,0.47640035,0.12127442,1.38111816
-5.09354677,7.73797360,1.11566942,5.62713731,0.05274045,0.15333690,0.53731307,0.47851109,0.12047443,1.38632781
-5.08754377,7.73698665,1.11055563,5.62376494,0.05180006,0.15265744,0.54052536,0.48067902,0.11969120,1.39233432
-5.08154077,7.74382905,1.10706871,5.62694339,0.05086846,0.15227847,0.54461137,0.48282287,0.11890163,1.39881624
-5.07553777,7.75701571,1.10495065,5.63568460,0.04994399,0.15218232,0.54939931,0.48485470,0.11807997,1.40541962
-5.06953477,7.77485185,1.10390207,5.64883752,0.04902405,0.15234473,0.55469598,0.48668216,0.11719896,1.41176903
-5.06353177,7.79548736,1.10359277,5.66512542,0.04810524,0.15273560,0.56029186,0.48821100,0.11623102,1.41747907
-5.05752876,7.81697555,1.10367271,5.68318641,0.04718366,0.15331980,0.56596663,0.48934757,0.11514945,1.42216615
-5.05152576,7.83733410,1.10378318,5.70161640,0.04625515,0.15405800,0.57149496,0.49000146,0.11392966,1.42546007
-5.04552276,7.85460634,1.10356788,5.71901259,0.04531559,0.15490767,0.57665248,0.49008803,0.11255023,1.42701502
-5.03951976,7.86692088,1.10268346,5.73401643,0.04436116,0.15582401,0.58122169,0.48953082,0.11099390,1.42651975
-5.03351676,7.87254747,1.10080933,5.74535431,0.04338859,0.15676097,0.58499761,0.48826380,0.10924841,1.42370639
-5.02751376,7.86994714,1.09765643,5.75187451,0.04239546,0.15767223,0.58779312,0.48623328,0.10730709,1.41835791
-5.02151076,7.85781496,1.09297472,5.75257922,0.04138038,0.15851215,0.58944369,0.48339946,0.10516926,1.41031371
-5.01550775,7.83511371,1.08655918,5.74665027,0.04034317,0.15923673,0.58981134,0.47973760,0.10284041,1.39947340
-5.00950475,7.80109740,1.07825420,5.73346773,0.03928504,0.15980440,0.58878791,0.47523867,0.10033214,1.38579846
-5.00350175,7.75532394,1.06795629,5.71262066,0.03820862,0.16017689,0.58629722,0.46990948,0.09766186,1.36931194
-4.99749875,7.69765632,1.05561499,5.68390971,0.03711801,0.16031984,0.58229633,0.46377231,0.09485230,1.35009618
-4.99149575,7.62825282,1.04123217,5.64734160,0.03601870,0.16020344,0.57677578,0.45686400,0.09193079,1.32828858
-4.98549275,7.54754659,1.02485963,5.60311582,0.03491750,0.15980281,0.56975872,0.44923457,0.08892843,1.30407584
-4.97948974,7.45621582,1.00659526,5.55160445,0.03382230,0.15909842,0.56129922,0.44094538,0.08587912,1.27768668
