energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-4.38519260,4.42450754,0.02172909,0.05030168,0.04148879,0.50109489,0.47164803,3.07105308,0.03399564,0.99955682
-4.37918959,4.26280128,0.01982706,0.04730840,0.04005159,0.47070821,0.45067837,2.98290784,0.03133901,0.95335883
-4.37318659,4.09465297,0.01797561,0.04424640,0.03864332,0.43967048,0.42902440,2.89019043,0.02868800,0.90548864
-4.36718359,3.92216253,0.01619303,0.04115738,0.03726814,0.40840496,0.40696614,2.79399079,0.02607852,0.85658147
-4.36118059,3.74731645,0.01449476,0.03808046,0.03592889,0.37730702,0.38476681,2.69535063,0.02354252,0.80723773
-4.35517759,3.57194385,0.01289326,0.03505140,0.03462694,0.34673688,0.36266771,2.59523730,0.02110748,0.75801127
-4.34917459,3.39768159,0.01139796,0.03210211,0.03336231,0.31701406,0.34088436,2.49452232,0.01879611,0.70940017
-4.34317159,3.22594927,0.01001534,0.02926026,0.03213364,0.28841372,0.31960379,2.39396538,0.01662620,0.66184027
-4.33716858,3.05793442,0.00874905,0.02654915,0.03093835,0.26116473,0.29898316,2.29420413,0.01461065,0.61570153
-4.33116558,2.89458799,0.00760018,0.02398770,0.02977285,0.23544939,0.27914954,2.19575012,0.01275774,0.57128703
-4.32516258,2.73662938,0.00656746,0.02159064,0.02863273,0.21140468,0.26020093,2.09899049,0.01107138,0.52883447
-4.31915958,2.58456026,0.00564766,0.01936883,0.02751304,0.18912486,0.24220822,2.00419516,0.00955163,0.48851981
-4.31315658,2.43868578,0.00483585,0.01732971,0.02640860,0.16866508,0.22521797,1.91152868,0.00819516,0.45046284
-4.30715358,2.29914166,0.00412580,0.01547778,0.02531430,0.15004586,0.20925592,1.82106606,0.00699583,0.41473402
-4.30115058,2.16592544,0.00351028,0.01381523,0.02422538,0.13325817,0.19433089,1.73281116,0.00594525,0.38136247
-4.29514757,2.03893013,0.00298138,0.01234250,0.02313774,0.11826884,0.18043896,1.64671683,0.00503334,0.35034438
-4.28914457,1.91797838,0.00253086,0.01105895,0.02204819,0.10502608,0.16756769,1.56270539,0.00424886,0.32165165
-4.28314157,1.80285556,0.00215031,0.00996343,0.02095460,0.09346489,0.15570017,1.48068843,0.00357989,0.29524019
