energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.05152576,1.85821299,1.54684332,0.34825783,0.01035519,0.87399891,0.45515918,0.00000000,0.57811888,0.00358855
-5.04552276,1.86359626,1.53845816,0.35047603,0.00942672,0.87291737,0.45794651,0.00000000,0.59668578,0.00362960
-5.03951976,1.86520667,1.52365333,0.35199799,0.00856153,0.86821370,0.46187751,0.00000000,0.61460675,0.00367850
-5.03351676,1.86261205,1.50250030,0.35271662,0.00776423,0.85984996,0.46669026,0.00000000,0.63148798,0.00373308
-5.02751376,1.85541508,1.47516125,0.35253329,0.00703719,0.84784672,0.47208437,0.00000000,0.64693716,0.00379088
-5.02151076,1.84327028,1.44188980,0.35136141,0.00638077,0.83228427,0.47773241,0.00000000,0.66057569,0.00384928
-5.01550775,1.82589987,1.40302941,0.34912961,0.00579356,0.81330217,0.48329216,0.00000000,0.67205116,0.00390555
-5.00950475,1.80310792,1.35900951,0.34578460,0.00527259,0.79109711,0.48841957,0.00000000,0.68104945,0.00395696
-5.00350175,1.77479238,1.31033930,0.34129349,0.00481366,0.76591908,0.49278165,0.00000000,0.68730606,0.00400088
-4.99749875,1.74095441,1.25759952,0.33564546,0.00441167,0.73806606,0.49606915,0.00000000,0.69061631,0.00403485
-4.99149575,1.70170487,1.20143235,0.32885294,0.00406085,0.70787735,0.49800836,0.00000000,0.69084415,0.00405671
-4.98549275,1.65726765,1.14252983,0.32095195,0.00375508,0.67572587,0.49837176,0.00000000,0.68792905,0.00406463
-4.97948974,1.60797994,1.08162122,0.31200197,0.00348816,0.64200972,0.49698712,0.00000000,0.68189096,0.00405720
-4.97348674,1.55428939,1.01945970,0.30208508,0.00325400,0.60714325,0.49374485,0.00000000,0.67283316,0.00403348
-4.96748374,1.49674825,0.95680892,0.29130452,0.00304683,0.57154813,0.48860319,0.00000000,0.66094268,0.00399305
-4.96148074,1.43600492,0.89442977,0.27978277,0.00286133,0.53564456,0.48159127,0.00000000,0.64648864,0.00393603
-4.95547774,1.37279294,0.83306778,0.26765916,0.00269277,0.49984302,0.47280978,0.00000000,0.62981815,0.00386307
-4.94947474,1.30791788,0.77344146,0.25508700,0.00253707,0.46453676,0.46242941,0.00000000,0.61135019,0.00377536
-4.94347174,1.24224244,0.71623189,0.24223060,0.00239082,0.43009520,0.45068696,0.00000000,0.59156740,0.00367458
-4.93746873,1.17667013,0.66207351,0.22926185,0.00225129,0.39685844,0.43787928,0.00000000,0.57100608,0.00356287
-4.93146573,1.11212780,0.61154643,0.21635682,0.00211642,0.36513279,0.42435539,0.00000000,0.55024459,0.00344277
-4.92546273,1.04954750,0.56516999,0.20369216,0.00198478,0.33518752,0.41050670,0.00000000,0.52989038,0.00331714
-4.91945973,0.98984780,0.52339762,0.19144162,0.00185545,0.30725256,0.39675598,0.00000000,0.51056596,0.00318908
-4.91345673,0.93391517,0.48661278,0.17977251,0.00172804,0.28151729,0.38354508,0.00000000,0.49289408,0.00306186
-4.90745373,0.88258543,0.45512579,0.16884239,0.00160250,0.25813001,0.37132202,0.00000000,0.47748236,0.00293877
-4.90145073,0.83662582,0.42917136,0.15879589,0.00147912,0.23719830,0.36052760,0.00000000,0.46490782,0.00282309
-4.89544772,0.79671786,0.40890669,0.14976174,0.00135841,0.21878977,0.35158202,0.00000000,0.45570149,0.00271795
-4.88944472,0.76344143,0.39440997,0.14185022,0.00124102,0.20293334,0.34487186,0.00000000,0.45033353,0.00262626
-4.88344172,0.73726029,0.38567915,0.13515081,0.00112768,0.18962077,0.34073782,0.00000000,0.44919918,0.00255059
-4.87743872,0.71850956,0.38263120,0.12973032,0.00101915,0.17880849,0.33946347,0.00000000,0.45260592,0.00249315
