energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
2.50025013,1.75221963,0.54429526,0.00000000,1.04002797,0.29756285,1.09575954,0.00000000
2.50625313,1.78779080,0.55395523,0.00000000,1.06825583,0.30121251,1.12761036,0.00000000
2.51225613,1.82203901,0.56236729,0.00000000,1.09718320,0.30420934,1.16045340,0.00000000
2.51825913,1.85457283,0.56947939,0.00000000,1.12682683,0.30658118,1.19324864,0.00000000
2.52426213,1.88514973,0.57528392,0.00000000,1.15729888,0.30838532,1.22500844,0.00000000
2.53026513,1.91368127,0.57981557,0.00000000,1.18880585,0.30970647,1.25482242,0.00000000
2.53626813,1.94023308,0.58314819,0.00000000,1.22164334,0.31065383,1.28187971,0.00000000
2.54227114,1.96501943,0.58539038,0.00000000,1.25618681,0.31135728,1.30548798,0.00000000
2.54827414,1.98839282,0.58668036,0.00000000,1.29287816,0.31196289,1.32508856,0.00000000
2.55427714,2.01082841,0.58718001,0.00000000,1.33220850,0.31262787,1.34026721,0.00000000
2.56028014,2.03290396,0.58706830,0.00000000,1.37469738,0.31351513,1.35076003,0.00000000
2.56628314,2.05527534,0.58653442,0.00000000,1.42086887,0.31478755,1.35645429,0.00000000
2.57228614,2.07864841,0.58577054,0.00000000,1.47122517,0.31660213,1.35738406,0.00000000
2.57828914,2.10374783,0.58496453,0.00000000,1.52621855,0.31910426,1.35372065,0.00000000
2.58429215,2.13128375,0.58429272,0.00000000,1.58622250,0.32242212,1.34575841,0.00000000
2.59029515,2.16191733,0.58391296,0.00000000,1.65150316,0.32666149,1.33389627,0.00000000
2.59629815,2.19622633,0.58395816,0.00000000,1.72219236,0.33190111,1.31861588,0.00000000
2.60230115,2.23467213,0.58453047,0.00000000,1.79826339,0.33818867,1.30045728,0.00000000
2.60830415,2.27756936,0.58569643,0.00000000,1.87951084,0.34553773,1.27999325,0.00000000
2.61430715,2.32505978,0.58748322,0.00000000,1.96553574,0.35392551,1.25780346,0.00000000
2.62031016,2.37709143,0.58987629,0.00000000,2.05573707,0.36329186,1.23444960,0.00000000
