energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
3.51475738,0.99676703,0.02126112,0.08621622,0.10519033,0.31702331,0.46141451,0.08793862,0.53596793,0.00000000
3.52076038,1.04043035,0.02187437,0.08889876,0.10977430,0.32917686,0.47745898,0.09100920,0.56354972,0.00000000
3.52676338,1.08341005,0.02254510,0.09122641,0.11498286,0.34111986,0.49265207,0.09387386,0.59083520,0.00000000
3.53276638,1.12452610,0.02324439,0.09312147,0.12065685,0.35246996,0.50653618,0.09644115,0.61714297,0.00000000
3.53876938,1.16264328,0.02394441,0.09451803,0.12663268,0.36286417,0.51868256,0.09862746,0.64180054,0.00000000
3.54477239,1.19669862,0.02461885,0.09536355,0.13274476,0.37196755,0.52870354,0.10035923,0.66416272,0.00000000
3.55077539,1.22572724,0.02524339,0.09562013,0.13882808,0.37948112,0.53626325,0.10157476,0.68362976,0.00000000
3.55677839,1.24888580,0.02579605,0.09526526,0.14472094,0.38514893,0.54108662,0.10222575,0.69966437,0.00000000
3.56278139,1.26547262,0.02625746,0.09429204,0.15026776,0.38876379,0.54296621,0.10227835,0.71180704,0.00000000
3.56878439,1.27494372,0.02661114,0.09270901,0.15532200,0.39017171,0.54176677,0.10171381,0.71968912,0.00000000
3.57478739,1.27692436,0.02684365,0.09053934,0.15974904,0.38927465,0.53742738,0.10052856,0.72304292,0.00000000
3.58079040,1.27121539,0.02694475,0.08781970,0.16342887,0.38603159,0.52996117,0.09873394,0.72170864,0.00000000
3.58679340,1.25779442,0.02690742,0.08459863,0.16625871,0.38045795,0.51945261,0.09635531,0.71563760,0.00000000
3.59279640,1.23681174,0.02672789,0.08093459,0.16815516,0.37262327,0.50605271,0.09343089,0.70489194,0.00000000
3.59879940,1.20858108,0.02640555,0.07689380,0.16905604,0.36264732,0.48997227,0.09001013,0.68964047,0.00000000
3.60480240,1.17356590,0.02594282,0.07254789,0.16892165,0.35069487,0.47147355,0.08615187,0.67015129,0.00000000
3.61080540,1.13236150,0.02534498,0.06797156,0.16773549,0.33696924,0.45086078,0.08192221,0.64678109,0.00000000
3.61680840,1.08567398,0.02461990,0.06324018,0.16550431,0.32170507,0.42846983,0.07739240,0.61996212,0.00000000
3.62281141,1.03429677,0.02377778,0.05842766,0.16225748,0.30516039,0.40465753,0.07263651,0.59018693,0.00000000
3.62881441,0.97908577,0.02283079,0.05360443,0.15804580,0.28760853,0.37979109,0.06772938,0.55799204,0.00000000
3.63481741,0.92093396,0.02179270,0.04883576,0.15293953,0.26933007,0.35423793,0.06274453,0.52394087,0.00000000
3.64082041,0.86074657,0.02067849,0.04418036,0.14702604,0.25060510,0.32835623,0.05775237,0.48860687,0.00000000
3.64682341,0.79941757,0.01950397,0.03968936,0.14040683,0.23170612,0.30248665,0.05281863,0.45255743,0.00000000
3.65282641,0.73780830,0.01828530,0.03540565,0.13319432,0.21289181,0.27694522,0.04800317,0.41633920,0.00000000
3.65882941,0.67672884,0.01703869,0.03136355,0.12550839,0.19440178,0.25201768,0.04335893,0.38046525,0.00000000
3.66483242,0.61692257,0.01577992,0.02758878,0.11747279,0.17645235,0.22795533,0.03893144,0.34540447,0.00000000
3.67083542,0.55905429,0.01452407,0.02409880,0.10921166,0.15923364,0.20497237,0.03475842,0.31157347,0.00000000
3.67683842,0.50370185,0.01328517,0.02090331,0.10084621,0.14290771,0.18324459,0.03086984,0.27933102,0.00000000
3.68284142,0.45135135,0.01207596,0.01800498,0.09249171,0.12760778,0.16290946,0.02728814,0.24897501,0.00000000
3.68884442,0.40239573,0.01090771,0.01540032,0.08425489,0.11343857,0.14406733,0.02402868,0.22074178,0.00000000
3.69484742,0.35713627,0.00979003,0.01308059,0.07623177,0.10047729,0.12678362,0.02110039,0.19480754,0.00000000
3.70085043,0.31578664,0.00873082,0.01103284,0.06850608,0.08877557,0.11109171,0.01850646,0.17129159,0.00000000
3.70685343,0.27847904,0.00773622,0.00924083,0.06114815,0.07836164,0.09699645,0.01624520,0.15026092,0.00000000
3.71285643,0.24527180,0.00681064,0.00768600,0.05421438,0.06924306,0.08447793,0.01431081,0.13173577,0.00000000
3.71885943,0.21615792,0.00595683,0.00634828,0.04774720,0.06140945,0.07349542,0.01269419,0.11569581,0.00000000
3.72486243,0.19107402,0.00517601,0.00520692,0.04177548,0.05483532,0.06399123,0.01138366,0.10208652,0.00000000
3.73086543,0.16990934,0.00446799,0.00424108,0.03631532,0.04948264,0.05589442,0.01036561,0.09082539,0.00000000
