energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-1.07753877,1.31538224,0.46079766,0.16645308,0.01268026,0.41004070,0.22133246,0.41439059,0.39072294,0.00000000
-1.07153577,1.29858135,0.44431023,0.16281673,0.01275899,0.41491631,0.22669413,0.41052103,0.36514038,0.00000000
-1.06553277,1.28261137,0.42801329,0.15937465,0.01296109,0.41860921,0.23204499,0.40771644,0.34053958,0.00000000
-1.05952976,1.26732275,0.41215127,0.15611967,0.01328089,0.42102381,0.23732041,0.40586281,0.31702007,0.00000000
-1.05352676,1.25255010,0.39695204,0.15304185,0.01371097,0.42208466,0.24246210,0.40482495,0.29465944,0.00000000
-1.04752376,1.23812368,0.38262363,0.15012947,0.01424240,0.42173899,0.24742082,0.40445250,0.27351591,0.00000000
-1.04152076,1.22388113,0.36935225,0.14737032,0.01486502,0.41995868,0.25215903,0.40458625,0.25363132,0.00000000
-1.03551776,1.20967893,0.35730158,0.14475282,0.01556780,0.41674161,0.25665336,0.40506466,0.23503424,0.00000000
-1.02951476,1.19540315,0.34661331,0.14226730,0.01633932,0.41211214,0.26089691,0.40573026,0.21774311,0.00000000
-1.02351176,1.18097893,0.33740872,0.13990711,0.01716815,0.40612089,0.26490116,0.40643579,0.20176923,0.00000000
-1.01750875,1.16637831,0.32979100,0.13766960,0.01804338,0.39884367,0.26869741,0.40704991,0.18711947,0.00000000
-1.01150575,1.15162612,0.32384810,0.13555704,0.01895509,0.39037970,0.27233764,0.40746212,0.17379844,0.00000000
-1.00550275,1.13680359,0.31965581,0.13357713,0.01989479,0.38084909,0.27589466,0.40758691,0.16181033,0.00000000
-0.99949975,1.12204947,0.31728065,0.13174343,0.02085585,0.37038978,0.27946147,0.40736694,0.15116004,0.00000000
-0.99349675,1.10755854,0.31678233,0.13007536,0.02183385,0.35915399,0.28314983,0.40677506,0.14185377,0.00000000
-0.98749375,1.09357753,0.31821546,0.12859798,0.02282676,0.34730429,0.28708785,0.40581518,0.13389896,0.00000000
-0.98149075,1.08039830,0.32163021,0.12734133,0.02383515,0.33500955,0.29141667,0.40452188,0.12730373,0.00000000
-0.97548774,1.06834854,0.32707191,0.12633951,0.02486212,0.32244067,0.29628627,0.40295882,0.12207564,0.00000000
-0.96948474,1.05778014,0.33457923,0.12562941,0.02591319,0.30976648,0.30185035,0.40121583,0.11822010,0.00000000
