energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-0.85542771,9.19065441,0.01048422,0.23116896,0.16332703,6.62929474,0.04489173,0.57470533,0.95156847,2.03098967
-0.84942471,9.49813159,0.01092714,0.23813106,0.16819943,6.87147159,0.04636553,0.59067161,0.97763294,2.08551042
-0.84342171,9.79837926,0.01138632,0.24485137,0.17330746,7.10623921,0.04786141,0.60654424,1.00261393,2.14060605
-0.83741871,10.08789064,0.01185394,0.25131382,0.17859615,7.33055875,0.04936240,0.62214729,1.02639215,2.19586057
-0.83141571,10.36325882,0.01232176,0.25750381,0.18400683,7.54152705,0.05085111,0.63730776,1.04886855,2.25081060
-0.82541271,10.62124208,0.01278142,0.26340656,0.18947782,7.73644498,0.05230998,0.65186085,1.06996075,2.30494302
-0.81940970,10.85882755,0.01322458,0.26900565,0.19494510,7.91288222,0.05372159,0.66565539,1.08959894,2.35769509
-0.81340670,11.07329186,0.01364315,0.27428172,0.20034328,8.06873666,0.05506885,0.67855912,1.10772165,2.40845719
-0.80740370,11.26225810,0.01402948,0.27921143,0.20560652,8.20228695,0.05633524,0.69046374,1.12427177,2.45657904
-0.80140070,11.42374797,0.01437653,0.28376696,0.21066974,8.31223679,0.05750501,0.70128946,1.13919314,2.50137923
-0.79539770,11.55622829,0.01467798,0.28791593,0.21546985,8.39774979,0.05856339,0.71098889,1.15242821,2.54215844
-0.78939470,11.65865073,0.01492839,0.29162183,0.21994708,8.45847406,0.05949675,0.71955011,1.16391690,2.57821591
-0.78339170,11.73048370,0.01512323,0.29484506,0.22404643,8.49455563,0.06029285,0.72699870,1.17359686,2.60886868
-0.77738869,11.77173506,0.01525900,0.29754440,0.22771916,8.50664020,0.06094092,0.73339858,1.18140512,2.63347291
-0.77138569,11.78296422,0.01533319,0.29967890,0.23092419,8.49586267,0.06143195,0.73885156,1.18728116,2.65144638
-0.76538269,11.76528235,0.01534433,0.30121011,0.23362948,8.46382432,0.06175879,0.74349532,1.19117095,2.66229088
-0.75937969,11.72033940,0.01529194,0.30210443,0.23581327,8.41255757,0.06191637,0.74750009,1.19303189,2.66561348
-0.75337669,11.65029668,0.01517651,0.30233549,0.23746507,8.34447866,0.06190183,0.75106366,1.19283807,2.66114536
-0.74737369,11.55778450,0.01499944,0.30188639,0.23858640,8.26232873,0.06171467,0.75440507,1.19058547,2.64875719
-0.74137069,11.44584455,0.01476299,0.30075158,0.23919114,8.16910424,0.06135685,0.75775696,1.18629655,2.62846988
-0.73536768,11.31785744,0.01447019,0.29893839,0.23930555,8.06797821,0.06083284,0.76135698,1.18002403,2.60046026
-0.72936468,11.17745665,0.01412476,0.29646791,0.23896780,7.96221389,0.06014964,0.76543829,1.17185312,2.56506094
