energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.06303152,2.31106882,-3.22446556,0.00543879,-0.01469159,0.05152318,-0.07335743,0.75277981,-0.81553355,1.76114525,-1.83077304,0.17010522,-0.25033868,0.20388111,-0.74010253,0.23405990,-0.50281914,0.00000000,-0.00000000
0.06903452,2.40381278,-3.21765024,0.00578406,-0.01498613,0.05487769,-0.07311475,0.79819394,-0.81623369,1.83804777,-1.84244920,0.17188192,-0.24188848,0.20594356,-0.72923263,0.24477160,-0.49857744,0.00000000,-0.00000000
0.07503752,2.49313871,-3.19779867,0.00611482,-0.01521515,0.05818623,-0.07253579,0.84237818,-0.81360594,1.91153489,-1.84612461,0.17361129,-0.23288240,0.20819908,-0.71575440,0.25521890,-0.49228738,0.00000000,-0.00000000
0.08104052,2.57748756,-3.16475903,0.00642564,-0.01537148,0.06140676,-0.07161818,0.88467758,-0.80759199,1.98037738,-1.84153509,0.17521736,-0.22338885,0.21055267,-0.69974788,0.26522852,-0.48397002,0.00000000,-0.00000000
0.08704352,2.65540397,-3.11859484,0.00671132,-0.01544911,0.06449750,-0.07036604,0.92444874,-0.79818806,2.04345605,-1.82855490,0.17662823,-0.21348185,0.21290364,-0.68133043,0.27462943,-0.47368069,0.00000000,-0.00000000
0.09304652,2.72557606,-3.05958988,0.00696702,-0.01544341,0.06741803,-0.06878992,0.96107638,-0.78544695,2.09978987,-1.80720284,0.17777896,-0.20324028,0.21514968,-0.66065558,0.28325780,-0.46150828,0.00000000,-0.00000000
0.09904952,2.78687340,-2.98824817,0.00718844,-0.01535137,0.07013040,-0.06690662,0.99399015,-0.76947892,2.14856195,-1.77764529,0.17861420,-0.19274714,0.21719111,-0.63791105,0.29096218,-0.44757369,0.00000000,-0.00000000
0.10505253,2.83838146,-2.90528875,0.00737199,-0.01517176,0.07260017,-0.06473885,1.02268120,-0.75045096,2.18914200,-1.74019592,0.17909073,-0.18208879,0.21893522,-0.61331601,0.29760849,-0.43202740,0.00000000,-0.00000000
0.11105553,2.87943120,-2.81163518,0.00751491,-0.01490523,0.07479747,-0.06231469,1.04671768,-0.72858466,2.22110452,-1.69531173,0.17917962,-0.17135415,0.22030036,-0.58711759,0.30308481,-0.41504641,0.00000000,-0.00000000
0.11705853,2.90962229,-2.70839989,0.00761539,-0.01455430,0.07669781,-0.05966702,1.06575865,-0.70415255,2.24424171,-1.64358579,0.17886790,-0.16063389,0.22121982,-0.55958657,0.30730554,-0.39683041,0.00000000,-0.00000000
0.12306153,2.92883887,-2.59686369,0.00767270,-0.01412334,0.07828285,-0.05683271,1.07956567,-0.67747299,2.25857049,-1.58573657,0.17815982,-0.15001964,0.22164501,-0.53101247,0.31021501,-0.37759749,0.00000000,-0.00000000
0.12906453,2.93725687,-2.47845114,0.00768718,-0.01361844,0.07954091,-0.05385187,1.08801162,-0.64890379,2.26433303,-1.52259423,0.17707746,-0.13960315,0.22154808,-0.50169812,0.31179005,-0.35757936,0.00000000,-0.00000000
0.13506753,2.93534233,-2.35470237,0.00766032,-0.01304722,0.08046731,-0.05076698,1.09108611,-0.61883476,2.26199063,-1.45508437,0.17566081,-0.12947554,0.22092375,-0.47195382,0.31204162,-0.33701634,0.00000000,-0.00000000
0.14107054,2.92384041,-2.22724237,0.00759471,-0.01241856,0.08106444,-0.04762202,1.08889734,-0.58767935,2.25221078,-1.38420964,0.17396720,-0.11972654,0.21979017,-0.44209126,0.31101535,-0.31615224,0.00000000,-0.00000000
0.14707354,2.90375527,-2.09774880,0.00749397,-0.01174235,0.08134161,-0.04446169,1.08167007,-0.55586585,2.23584772,-1.31102984,0.17207013,-0.11044382,0.21818899,-0.41241756,0.30879083,-0.29522937,0.00000000,-0.00000000
0.15307654,2.87632120,-1.96791928,0.00736271,-0.01102917,0.08131462,-0.04133055,1.06973979,-0.52382830,2.21391696,-1.23664127,0.17005763,-0.10171239,0.21618441,-0.38322932,0.30547982,-0.27448366,0.00000000,-0.00000000
0.15907954,2.84296593,-1.83943944,0.00720637,-0.01028994,0.08100519,-0.03827240,1.05354319,-0.49199755,2.18756447,-1.16215583,0.16802998,-0.09361402,0.21386142,-0.35480728,0.30122325,-0.25414032,0.00000000,-0.00000000
