energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-4.83541771,14.65138476,0.03220053,1.57976925,6.70671771,4.74018282,0.03402793,5.76849428,1.85962472,1.65533823
-4.82941471,14.77161887,0.03260387,1.60383970,6.68832869,4.79010871,0.03611928,5.78823635,1.89595489,1.67029092
-4.82341171,14.86177617,0.03296531,1.62425562,6.65862967,4.82748271,0.03816932,5.79951906,1.93023233,1.68298400
-4.81740870,14.91990761,0.03327364,1.64069299,6.61726452,4.85165679,0.04015242,5.80178984,1.96199401,1.69314566
-4.81140570,14.94465139,0.03351799,1.65290476,6.56415826,4.86225346,0.04204210,5.79463825,1.99088108,1.70049931
-4.80540270,14.93526736,0.03368806,1.66072890,6.49950844,4.85917949,0.04381151,5.77780403,2.01664241,1.70477148
-4.79939970,14.89165158,0.03377446,1.66409331,6.42376706,4.84262982,0.04543402,5.75118077,2.03913340,1.70570055
-4.79339670,14.81433009,0.03376900,1.66301751,6.33761379,4.81308152,0.04688382,5.71481534,2.05831007,1.70304596
-4.78739370,14.70443179,0.03366496,1.65761075,6.24192149,4.77127752,0.04813658,5.66890266,2.07421910,1.69659750
-4.78139070,14.56364125,0.03345740,1.64806674,6.13771528,4.71820074,0.04917013,5.61377609,2.08698408,1.68618407
-4.77538769,14.39413338,0.03314336,1.63465514,6.02612725,4.65503975,0.04996503,5.54989391,2.09678920,1.67168166
-4.76938469,14.19849285,0.03272207,1.61771043,5.90834862,4.58314714,0.05050523,5.47782211,2.10386089,1.65302000
-4.76338169,13.97962178,0.03219505,1.59761857,5.78558189,4.50399274,0.05077859,5.39821458,2.10844875,1.63018754
-4.75737869,13.74063980,0.03156615,1.57480224,5.65899504,4.41911344,0.05077724,5.31179128,2.11080666,1.60323460
-4.75137569,13.48478110,0.03084150,1.54970546,5.52968015,4.33006209,0.05049801,5.21931542,2.11117503,1.57227447
-4.74537269,13.21529285,0.03002937,1.52277834,5.39861839,4.23835758,0.04994251,5.12157066,2.10976521,1.53748232
-4.73936968,12.93533928,0.02913996,1.49446268,5.26665281,4.14543817,0.04911727,5.01933917,2.10674661,1.49909216
-4.73336668,12.64791533,0.02818512,1.46517907,5.13447023,4.05262011,0.04803357,4.91338142,2.10223725,1.45739181
-4.72736368,12.35577290,0.02717795,1.43531608,5.00259267,3.96106290,0.04670721,4.80441846,2.09629796,1.41271618
-4.72136068,12.06136208,0.02613244,1.40522172,4.87137827,3.87174248,0.04515813,4.69311719,2.08893028,1.36543926
-4.71535768,11.76678881,0.02506302,1.37519753,4.74103112,3.78543300,0.04340990,4.58007902,2.08007813,1.31596500
-4.70935468,11.47378936,0.02398409,1.34549517,4.61161896,3.70269731,0.04148904,4.46583209,2.06963260,1.26471764
-4.70335168,11.18372140,0.02290960,1.31631544,4.48309711,3.62388608,0.03942437,4.35082705,2.05743978,1.21213176
-4.69734867,10.89757036,0.02185262,1.28780935,4.35533691,3.54914498,0.03724624,4.23543628,2.04331054,1.15864253
-4.69134567,10.61596938,0.02082497,1.26008100,4.22815660,3.47842878,0.03498571,4.11995619,2.02703207,1.10467658
-4.68534267,10.33923066,0.01983692,1.23319171,4.10135275,3.41152148,0.03267378,4.00461224,2.00838001,1.05064358
-4.67933967,10.06738575,0.01889695,1.20716514,3.97473045,3.34806098,0.03034066,3.88956619,1.98713081,0.99692907
-4.67333667,9.80023222,0.01801157,1.18199280,3.84813046,3.28756708,0.02801506,3.77492524,1.96307354,0.94388860
-4.66733367,9.53738432,0.01718524,1.15763989,3.72145236,3.22947140,0.02572361,3.66075231,1.93602066,0.89184325
