energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.27113557,9.73535326,0.19542402,4.60265280,0.01206247,0.57739584,2.61806372,4.69181310,0.10941528,0.62749765
-4.26513257,9.43385630,0.18540634,4.38344140,0.01232740,0.54714570,2.54922731,4.66671777,0.10472783,0.60645862
-4.25912956,9.12943567,0.17545743,4.16364203,0.01265150,0.51632246,2.47787896,4.63803397,0.09997960,0.58603563
-4.25312656,8.82668472,0.16573587,3.94660141,0.01303746,0.48543256,2.40523679,4.60598771,0.09525429,0.56657210
-4.24712356,8.52971630,0.15638526,3.73539653,0.01348604,0.45494869,2.33244235,4.57067800,0.09062715,0.54836646
-4.24112056,8.24207770,0.14753050,3.53276643,0.01399600,0.42529752,2.26053378,4.53208705,0.08616318,0.53166428
-4.23511756,7.96669519,0.13927496,3.34106113,0.01456410,0.39685011,2.19042570,4.49009806,0.08191585,0.51665287
-4.22911456,7.70584856,0.13169857,3.16220846,0.01518517,0.36991496,2.12289603,4.44451930,0.07792630,0.50345846
-4.22311156,7.46117436,0.12485690,2.99769904,0.01585230,0.34473405,2.05857971,4.39511274,0.07422320,0.49214599
-4.21710855,7.23369553,0.11878110,2.84858853,0.01655697,0.32148157,1.99796895,4.34162543,0.07082302,0.48272126
-4.21110555,7.02387377,0.11347887,2.71551584,0.01728938,0.30026533,1.94141917,4.28382171,0.06773089,0.47513546
-4.20510255,6.83168028,0.10893605,2.59873527,0.01803865,0.28113053,1.88915996,4.22151409,0.06494178,0.46929142
-4.19909955,6.65668016,0.10511908,2.49816014,0.01879318,0.26406553,1.84130971,4.15459116,0.06244202,0.46505154
-4.19309655,6.49812505,0.10197791,2.41341508,0.01954096,0.24900919,1.79789295,4.08304087,0.06021111,0.46224670
-4.18709355,6.35504918,0.09944933,2.34389406,0.02026985,0.23585935,1.75885917,4.00696784,0.05822356,0.46068584
-4.18109055,6.22636360,0.09746063,2.28882115,0.02096794,0.22448203,1.72410195,3.92660400,0.05645089,0.46016569
-4.17508754,6.11094445,0.09593324,2.24731104,0.02162377,0.21472077,1.69347751,3.84231198,0.05486342,0.46048025
-4.16908454,6.00771129,0.09478644,2.21842648,0.02222663,0.20640587,1.66682161,3.75458131,0.05343203,0.46142956
-4.16308154,5.91569242,0.09394078,2.20123031,0.02276674,0.19936304,1.64396427,3.66401791,0.05212969,0.46282752
-4.15707854,5.83407499,0.09332126,2.19482979,0.02323547,0.19342113,1.62474160,3.57132748,0.05093264,0.46450831
-4.15107554,5.76223847,0.09286000,2.19841171,0.02362545,0.18841883,1.60900450,3.47729408,0.04982137,0.46633136
-4.14507254,5.69977101,0.09249849,2.21126698,0.02393070,0.18420995,1.59662405,3.38275499,0.04878116,0.46818470
-4.13906953,5.64646882,0.09218918,2.23280412,0.02414667,0.18066739,1.58749355,3.28857339,0.04780244,0.46998656
-4.13306653,5.60231983,0.09189654,2.26255151,0.02427030,0.17768563,1.58152735,3.19561022,0.04688069,0.47168546
-4.12706353,5.56747324,0.09159750,2.30014889,0.02430002,0.17518188,1.57865697,3.10469662,0.04601611,0.47325864
-4.12106053,5.54219727,0.09128128,2.34532903,0.02423571,0.17309584,1.57882464,3.01660820,0.04521315,0.47470924
-4.11505753,5.52682790,0.09094868,2.39789103,0.02407871,0.17138840,1.58197506,2.93204219,0.04447964,0.47606235
-4.10905453,5.52171169,0.09061097,2.45766710,0.02383169,0.17003931,1.58804583,2.85159830,0.04382603,0.47736020
-4.10305153,5.52714594,0.09028826,2.52448506,0.02349865,0.16904416,1.59695724,2.77576378,0.04326437,0.47865683
-4.09704852,5.54331949,0.09000775,2.59812889,0.02308474,0.16841079,1.60860209,2.70490314,0.04280740,0.48001251
-4.09104552,5.57025746,0.08980161,2.67829987,0.02259623,0.16815547,1.62283619,2.63925251,0.04246757,0.48148820
-4.08504252,5.60777285,0.08970495,2.76458087,0.02204034,0.16829895,1.63947021,2.57891849,0.04225631,0.48314038
-4.07903952,5.65542780,0.08975365,2.85640599,0.02142510,0.16886277,1.65826337,2.52388122,0.04218325,0.48501646
-4.07303652,5.71250653,0.08998247,2.95303780,0.02075925,0.16986581,1.67891949,2.47400129,0.04225576,0.48715086
-4.06703352,5.77800174,0.09042319,3.05355374,0.02005201,0.17132136,1.70108576,2.42902983,0.04247856,0.48956222
-4.06103052,5.85061548,0.09110318,3.15684287,0.01931294,0.17323474,1.72435442,2.38862136,0.04285355,0.49225143
-4.05502751,5.92877469,0.09204416,3.26161367,0.01855178,0.17560169,1.74826751,2.35234876,0.04337990,0.49520092
-4.04902451,6.01066131,0.09326143,3.36641284,0.01777823,0.17840725,1.77232447,2.31971991,0.04405417,0.49837488
-4.04302151,6.09425568,0.09476334,3.46965464,0.01700178,0.18162556,1.79599256,2.29019538,0.04487069,0.50172060
-4.03701851,6.17739184,0.09655133,3.56965943,0.01623152,0.18522009,1.81871961,2.26320692,0.04582200,0.50517074
-4.03101551,6.25782240,0.09862012,3.66469990,0.01547603,0.18914461,1.83994867,2.23817620,0.04689944,0.50864637
-4.02501251,6.33329044,0.10095847,3.75305278,0.01474316,0.19334461,1.85913406,2.21453367,0.04809369,0.51206075
-4.01900950,6.40160555,0.10355009,3.83305366,0.01403998,0.19775917,1.87575816,2.19173702,0.04939542,0.51532365
-4.01300650,6.46072088,0.10637498,3.90315225,0.01337264,0.20232313,1.88934832,2.16928924,0.05079586,0.51834597
-4.00700350,6.50880816,0.10941092,3.96196559,0.01274637,0.20696960,1.89949335,2.14675580,0.05228733,0.52104463
-4.00100050,6.54432763,0.11263527,4.00832657,0.01216546,0.21163254,1.90585895,2.12378080,0.05386370,0.52334756
-3.99499750,6.56609023,0.11602688,4.04132558,0.01163328,0.21624955,1.90820166,2.10010170,0.05552076,0.52519849
