energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
2.48824412,0.83356305,0.21992588,0.00000000,0.01730276,0.04090313,0.17420793,0.84658806
2.49424712,0.93605375,0.24828031,0.00000000,0.01958291,0.04608800,0.19594915,0.95117813
2.50025013,1.04425344,0.27835747,0.00000000,0.02203650,0.05159394,0.21911747,1.06156713
2.50625313,1.15724040,0.30992549,0.00000000,0.02464582,0.05737669,0.24351679,1.17682466
2.51225613,1.27390821,0.34269525,0.00000000,0.02738872,0.06338215,0.26891175,1.29582873
2.51825913,1.39297973,0.37632290,0.00000000,0.03023871,0.06954690,0.29502975,1.41727978
2.52426213,1.51302950,0.41041487,0.00000000,0.03316529,0.07579926,0.32156494,1.53972334
2.53026513,1.63251482,0.44453520,0.00000000,0.03613438,0.08206075,0.34818422,1.66158151
2.53626813,1.74981466,0.47821531,0.00000000,0.03910913,0.08824806,0.37453512,1.78119242
2.54227114,1.86327561,0.51096587,0.00000000,0.04205077,0.09427540,0.40025543,1.89685692
2.54827414,1.97126313,0.54229044,0.00000000,0.04491971,0.10005715,0.42498418,2.00689081
2.55427714,2.07221651,0.57170044,0.00000000,0.04767674,0.10551086,0.44837373,2.10968079
2.56028014,2.16470500,0.59873076,0.00000000,0.05028429,0.11056027,0.47010220,2.20374183
2.56628314,2.24748279,0.62295544,0.00000000,0.05270774,0.11513832,0.48988602,2.28777340
2.57228614,2.31954018,0.64400274,0.00000000,0.05491664,0.11919013,0.50749164,2.36071203
2.57828914,2.38014831,0.66156872,0.00000000,0.05688584,0.12267553,0.52274611,2.42177745
2.58429215,2.42889505,0.67542885,0.00000000,0.05859644,0.12557125,0.53554563,2.47050981
2.59029515,2.46570993,0.68544690,0.00000000,0.06003648,0.12787249,0.54586181,2.50679596
2.59629815,2.49087631,0.69158071,0.00000000,0.06120141,0.12959385,0.55374500,2.53088292
2.60230115,2.50502979,0.69388440,0.00000000,0.06209415,0.13076945,0.55932444,2.54337740
2.60830415,2.50914221,0.69250698,0.00000000,0.06272494,0.13145229,0.56280513,2.54523092
2.61430715,2.50449154,0.68768726,0.00000000,0.06311074,0.13171274,0.56446120,2.53771053
2.62031016,2.49261846,0.67974530,0.00000000,0.06327445,0.13163631,0.56462622,2.52235623
2.62631316,2.47527123,0.66907074,0.00000000,0.06324370,0.13132065,0.56368048,2.50092638
2.63231616,2.45434101,0.65610864,0.00000000,0.06304961,0.13087194,0.56203595,2.47533349
2.63831916,2.43179025,0.64134340,0.00000000,0.06272522,0.13040086,0.56011941,2.44757293
2.64432216,2.40957733,0.62528148,0.00000000,0.06230396,0.13001818,0.55835451,2.41964761
2.65032516,2.38958053,0.60843386,0.00000000,0.06181809,0.12983030,0.55714349,2.39349197
