energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
2.96248124,0.71983287,0.00200916,0.05957460,0.31789936,0.60575300,0.04047320,0.03030354,0.13574596
2.96848424,0.66099436,0.00184410,0.05556230,0.28743740,0.55530000,0.03790962,0.02826840,0.12298238
2.97448724,0.60790633,0.00169624,0.05212705,0.25926484,0.50972427,0.03572868,0.02646857,0.11125328
2.98049025,0.56124101,0.00156747,0.04933892,0.23361302,0.46957569,0.03399341,0.02493749,0.10065001
2.98649325,0.52160083,0.00145954,0.04726263,0.21067844,0.43534587,0.03276689,0.02370595,0.09124682
2.99249625,0.48951723,0.00137405,0.04595716,0.19062422,0.40746772,0.03211203,0.02280166,0.08310155
2.99849925,0.46545098,0.00131249,0.04547543,0.17358237,0.38631631,0.03209123,0.02224897,0.07625655
3.00450225,0.44979326,0.00127617,0.04586391,0.15965667,0.37221037,0.03276606,0.02206862,0.07073998
3.01050525,0.44286708,0.00126627,0.04716223,0.14892566,0.36541388,0.03419668,0.02227751,0.06656712
3.01650825,0.44492817,0.00128384,0.04940268,0.14144566,0.36613730,0.03644119,0.02288850,0.06374177
3.02251126,0.45616501,0.00132975,0.05260961,0.13725335,0.37453784,0.03955462,0.02391025,0.06225751
3.02851426,0.47669752,0.00140469,0.05679868,0.13636768,0.39071847,0.04358781,0.02534694,0.06209884
3.03451726,0.50657417,0.00150920,0.06197604,0.13879109,0.41472554,0.04858590,0.02719815,0.06324209
3.04052026,0.54576746,0.00164355,0.06813733,0.14450973,0.44654476,0.05458660,0.02945855,0.06565603
3.04652326,0.59416792,0.00180781,0.07526671,0.15349278,0.48609580,0.06161829,0.03211772,0.06930225
3.05252626,0.65157685,0.00200173,0.08333582,0.16569086,0.53322569,0.06969786,0.03515992,0.07413529
3.05852926,0.71769838,0.00222474,0.09230283,0.18103372,0.58770140,0.07882857,0.03856389,0.08010253
3.06453227,0.79213151,0.00247591,0.10211166,0.19942729,0.64920233,0.08899784,0.04230276,0.08714394
3.07053527,0.87436272,0.00275391,0.11269141,0.22075049,0.71731312,0.10017530,0.04634400,0.09519169
3.07653827,0.96376015,0.00305694,0.12395611,0.24485199,0.79151776,0.11231096,0.05064948,0.10416983
3.08254127,1.05957010,0.00338274,0.13580486,0.27154726,0.87119552,0.12533399,0.05517570,0.11399400
3.08854427,1.16091659,0.00372858,0.14812247,0.30061624,0.95561961,0.13915188,0.05987417,0.12457122
3.09454727,1.26680480,0.00409122,0.16078054,0.33180197,1.04395906,0.15365039,0.06469193,0.13580006
3.10055028,1.37612872,0.00446695,0.17363919,0.36481036,1.13528450,0.16869419,0.06957231,0.14757095
3.10655328,1.48768365,0.00485164,0.18654922,0.39931136,1.22857799,0.18412838,0.07445582,0.15976690
3.11255628,1.60018334,0.00524074,0.19935488,0.43494168,1.32274721,0.19978085,0.07928120,0.17226453
3.11855928,1.71228183,0.00562940,0.21189708,0.47130903,1.41664385,0.21546553,0.08398667,0.18493551
3.12456228,1.82259952,0.00601254,0.22401699,0.50799797,1.50908587,0.23098638,0.08851123,0.19764830
3.13056528,1.92975279,0.00638497,0.23555991,0.54457704,1.59888308,0.24614210,0.09279604,0.21027021
3.13656828,2.03238627,0.00674147,0.24637941,0.58060720,1.68486538,0.26073142,0.09678585,0.22266974
3.14257129,2.12920675,0.00707697,0.25634136,0.61565113,1.76591248,0.27455867,0.10043031,0.23471907
3.14857429,2.21901740,0.00738665,0.26532795,0.64928304,1.84098423,0.28743959,0.10368536,0.24629666
3.15457729,2.30075110,0.00766612,0.27324143,0.68109880,1.90915035,0.29920702,0.10651427,0.25728993
3.16058029,2.37350164,0.00791147,0.28000741,0.71072575,1.96961832,0.30971633,0.10888869,0.26759779
3.16658329,2.43655138,0.00811948,0.28557772,0.73783209,2.02175834,0.31885030,0.11078936,0.27713308
3.17258629,2.48939448,0.00828767,0.28993251,0.76213522,2.06512435,0.32652326,0.11220660,0.28582481
3.17858929,2.53175472,0.00841442,0.29308176,0.78340902,2.09947027,0.33268440,0.11314059,0.29361997
3.18459230,2.56359709,0.00849902,0.29506587,0.80148957,2.12476065,0.33731998,0.11360124,0.30048518
3.19059530,2.58513290,0.00854172,0.29595553,0.81627938,2.14117547,0.34045442,0.11360798,0.30640774
3.19659830,2.59681811,0.00854376,0.29585068,0.82774986,2.14910877,0.34215026,0.11318911,0.31139641
