energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.07153577,2.01670789,0.73043436,0.10518518,0.48028830,1.52146357,0.00986323,0.10996825,0.09075389,0.25694753
-1.06553277,1.92879729,0.68626749,0.09952553,0.46041168,1.46583397,0.00881212,0.10603988,0.08590595,0.24064707
-1.05952976,1.83605799,0.64254914,0.09367615,0.43886371,1.40526613,0.00783039,0.10180450,0.08090250,0.22427058
-1.05352676,1.73939483,0.59950542,0.08770183,0.41592000,1.34040110,0.00692108,0.09729884,0.07579986,0.20796249
-1.04752376,1.63975805,0.55733981,0.08166672,0.39187553,1.27194709,0.00608554,0.09256382,0.07065303,0.19185945
-1.04152076,1.53812516,0.51623547,0.07563310,0.36703706,1.20066330,0.00532361,0.08764386,0.06551471,0.17608858
-1.03551776,1.43548152,0.47635711,0.06966013,0.34171524,1.12734188,0.00463384,0.08258600,0.06043435,0.16076594
-1.02951476,1.33280034,0.43785240,0.06380283,0.31621678,1.05278897,0.00401372,0.07743898,0.05545741,0.14599520
-1.02351176,1.23102311,0.40085274,0.05811113,0.29083703,0.97780571,0.00345996,0.07225220,0.05062467,0.13186661
-1.01750875,1.13104131,0.36547360,0.05262909,0.26585330,0.90316997,0.00296862,0.06707473,0.04597176,0.11845616
