energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
1.29364682,1.68877245,0.35958280,0.00000000,0.97468050,0.31875725,0.00266749,0.72561769
1.29964982,1.79032104,0.38279828,0.00000000,1.02958602,0.33641672,0.00300812,0.77645351
1.30565283,1.88887187,0.40580847,0.00000000,1.08160984,0.35308791,0.00340313,0.82825798
1.31165583,1.98391635,0.42857409,0.00000000,1.13029396,0.36860853,0.00385976,0.88113128
1.31765883,2.07518877,0.45111001,0.00000000,1.17530981,0.38285910,0.00438628,0.93529864
1.32366183,2.16268963,0.47348892,0.00000000,1.21647500,0.39576855,0.00499179,0.99111377
1.32966483,2.24669784,0.49584236,0.00000000,1.25376429,0.40731791,0.00568609,1.04905601
1.33566783,2.32777009,0.51835861,0.00000000,1.28731400,0.41754197,0.00647936,1.10972054
1.34167084,2.40672622,0.54127740,0.00000000,1.31741895,0.42652857,0.00738191,1.17380104
1.34767384,2.48462007,0.56488110,0.00000000,1.34452185,0.43441539,0.00840380,1.24206479
1.35367684,2.56269623,0.58948275,0.00000000,1.36919501,0.44138438,0.00955443,1.31532056
1.35967984,2.64233375,0.61541123,0.00000000,1.39211513,0.44765381,0.01084205,1.39437995
1.36568284,2.72497888,0.64299389,0.00000000,1.41403190,0.45346847,0.01227332,1.48001362
1.37168584,2.81206958,0.67253767,0.00000000,1.43573189,0.45908815,0.01385275,1.57290398
1.37768884,2.90495501,0.70430921,0.00000000,1.45799934,0.46477513,0.01558223,1.67359633
1.38369185,3.00481399,0.73851525,0.00000000,1.48157569,0.47078123,0.01746058,1.78245087
1.38969485,3.11257633,0.77528401,0.00000000,1.50711987,0.47733495,0.01948308,1.89959794
1.39569785,3.22885122,0.81464886,0.00000000,1.53517136,0.48462942,0.02164115,2.02489898
1.40170085,3.35386658,0.85653506,0.00000000,1.56611795,0.49281177,0.02392212,2.15791559
1.40770385,3.48742269,0.90075045,0.00000000,1.60016983,0.50197447,0.02630908,2.29788877
1.41370685,3.62886306,0.94698082,0.00000000,1.63734148,0.51214892,0.02878093,2.44373011
1.41970985,3.77706449,0.99479037,0.00000000,1.67744215,0.52330190,0.03131252,2.59402591
1.42571286,3.93044729,1.04362752,0.00000000,1.72007577,0.53533479,0.03387499,2.74705517
1.43171586,4.08700582,1.09283594,0.00000000,1.76464994,0.54808572,0.03643626,2.90082098
1.43771886,4.24435821,1.14167054,0.00000000,1.81039390,0.56133457,0.03896165,3.05309495
1.44372186,4.39981344,1.18931774,0.00000000,1.85638436,0.57481044,0.04141463,3.20147287
1.44972486,4.55045276,1.23491936,0.00000000,1.90157812,0.58820131,0.04375774,3.34343992
1.45572786,4.69322207,1.27759891,0.00000000,1.94484960,0.60116536,0.04595350,3.47644272
1.46173087,4.82503103,1.31648933,0.00000000,1.98503183,0.61334349,0.04796545,3.59796528
1.46773387,4.94285467,1.35076084,0.00000000,2.02095864,0.62437233,0.04975912,3.70560589
1.47373687,5.04383303,1.37964779,0.00000000,2.05150637,0.63389720,0.05130302,3.79715151
1.47973987,5.12536468,1.40247326,0.00000000,2.07563320,0.64158459,0.05256959,3.87064682
1.48574287,5.18519022,1.41867054,0.00000000,2.09241446,0.64713341,0.05353595,3.92445488
1.49174587,5.22146276,1.42780045,0.00000000,2.10107260,0.65028480,0.05418459,3.95730711
1.49774887,5.23280261,1.42956407,0.00000000,2.10100088,0.65083006,0.05450386,3.96834077
1.50375188,5.21833484,1.42381036,0.00000000,2.09178000,0.64861654,0.05448833,3.95712244
1.50975488,5.17770874,1.41053865,0.00000000,2.07318752,0.64355129,0.05413884,3.92365718
1.51575788,5.11109930,1.38989603,0.00000000,2.04520004,0.63560254,0.05346252,3.86838324
1.52176088,5.01919168,1.36216997,0.00000000,2.00798865,0.62479913,0.05247244,3.79215308
1.52776388,4.90315003,1.32777689,0.00000000,1.96190823,0.61122792,0.05118725,3.69620206
1.53376688,4.76457311,1.28724709,0.00000000,1.90748162,0.59502960,0.04963054,3.58210638
1.53976988,4.60543889,1.24120713,0.00000000,1.84537946,0.57639305,0.04783016,3.45173262
1.54577289,4.42804129,1.19036028,0.00000000,1.77639710,0.55554863,0.04581740,3.30718099
1.55177589,4.23492160,1.13546609,0.00000000,1.70142949,0.53276078,0.04362610,3.15072501
1.55777889,4.02879771,1.07731972,0.00000000,1.62144516,0.50832011,0.04129176,2.98474985
1.56378189,3.81249360,1.01673202,0.00000000,1.53746036,0.48253541,0.03885065,2.81169177
