energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
0.22511256,7.19023063,0.01598405,0.25575061,1.67189620,2.23388243,0.30664211,1.88806183,0.34259759,2.67948444
0.23111556,7.12747588,0.01574210,0.24541122,1.65111597,2.20274148,0.29464091,1.87504796,0.33883537,2.66975506
0.23711856,7.06775137,0.01544100,0.23578458,1.63107271,2.17359979,0.28320721,1.86247077,0.33479042,2.66120172
0.24312156,7.00834068,0.01508267,0.22682851,1.61118220,2.14538405,0.27225278,1.84964824,0.33035764,2.65273991
0.24912456,6.94643094,0.01467001,0.21848776,1.59083570,2.11700786,0.26168560,1.83586823,0.32543655,2.64325821
0.25512756,6.87920279,0.01420682,0.21069645,1.56942177,2.08741063,0.25141375,1.82041166,0.31993507,2.63164495
0.26113057,6.80392151,0.01369766,0.20338074,1.54634826,2.05559476,0.24134915,1.80257656,0.31377307,2.61681600
0.26713357,6.71802651,0.01314770,0.19646160,1.52106362,2.02065961,0.23141103,1.78170196,0.30688560,2.59774315
0.27313657,6.61921608,0.01256260,0.18985760,1.49307680,1.98183116,0.22152894,1.75719077,0.29922563,2.57348221
0.27913957,6.50552422,0.01194838,0.18348761,1.46197501,1.93848636,0.21164524,1.72853091,0.29076615,2.54320000
0.28514257,6.37538679,0.01131123,0.17727345,1.42743843,1.89017124,0.20171694,1.69531369,0.28150156,2.50619933
0.29114557,6.22769444,0.01065748,0.17114239,1.38925158,1.83661245,0.19171687,1.65724878,0.27144827,2.46194086
0.29714857,6.06183011,0.00999340,0.16502931,1.34731069,1.77772190,0.18163415,1.61417513,0.26064457,2.41006100
0.30315158,5.87768991,0.00932517,0.15887861,1.30162700,1.71359460,0.17147388,1.56606743,0.24914961,2.35038488
0.30915458,5.67568634,0.00865869,0.15264573,1.25232580,1.64450005,0.16125626,1.51303774,0.23704163,2.28293387
0.31515758,5.45673412,0.00799959,0.14629815,1.19964142,1.57086783,0.15101503,1.45533235,0.22441557,2.20792700
0.32116058,5.22221926,0.00735308,0.13981608,1.14390849,1.49326827,0.14079550,1.39332404,0.21138010,2.12577622
0.32716358,4.97395298,0.00672392,0.13319254,1.08554979,1.41238917,0.13065211,1.32750007,0.19805414,2.03707562
0.33316658,4.71411253,0.00611635,0.12643303,1.02506158,1.32900982,0.12064588,1.25844646,0.18456327,1.94258486
0.33916958,4.44517185,0.00553407,0.11955480,0.96299680,1.24397345,0.11084169,1.18682940,0.17103586,1.84320756
0.34517259,4.16982484,0.00498017,0.11258562,0.89994715,1.15815933,0.10130558,1.11337452,0.15759936,1.73996555
0.35117559,3.89090483,0.00445718,0.10556236,0.83652468,1.07245574,0.09210227,1.03884493,0.14437672,1.63397001
0.35717859,3.61130339,0.00396699,0.09852920,0.77334378,0.98773470,0.08329293,0.96401907,0.13148325,1.52639072
0.36318159,3.33389175,0.00351094,0.09153578,0.71100409,0.90482936,0.07493324,0.88966912,0.11902378,1.41842467
0.36918459,3.06144766,0.00308979,0.08463519,0.65007521,0.82451486,0.06707196,0.81654086,0.10709050,1.31126525
0.37518759,2.79659023,0.00270377,0.07788199,0.59108342,0.74749281,0.05974980,0.74533572,0.09576127,1.20607321
0.38119060,2.54172454,0.00235268,0.07133040,0.53450103,0.67438003,0.05299884,0.67669540,0.08509863,1.10395025
0.38719360,2.29899744,0.00203585,0.06503248,0.48073838,0.60570118,0.04684231,0.61118966,0.07514933,1.00591618
0.39319660,2.07026515,0.00175233,0.05903669,0.43013879,0.54188554,0.04129472,0.54930731,0.06594450,0.91289017
0.39919960,1.85707284,0.00150084,0.05338661,0.38297619,0.48326724,0.03636235,0.49145050,0.05750026,0.82567632
