energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-4.44522261,1.25672543,0.43037830,0.11780399,0.05406587,0.71164786,0.05910582,0.00000000
-4.43921961,1.24660834,0.41996934,0.11743949,0.05339032,0.70523533,0.05830167,0.00000000
-4.43321661,1.23471112,0.40894498,0.11691033,0.05283630,0.69769968,0.05740558,0.00000000
-4.42721361,1.22116538,0.39737400,0.11622051,0.05242839,0.68908257,0.05644160,0.00000000
-4.42121061,1.20610956,0.38533499,0.11537521,0.05218270,0.67943457,0.05543511,0.00000000
-4.41520760,1.18968298,0.37291449,0.11438029,0.05210643,0.66881263,0.05441204,0.00000000
-4.40920460,1.17202014,0.36020469,0.11324185,0.05219780,0.65727741,0.05339799,0.00000000
-4.40320160,1.15324577,0.34730099,0.11196582,0.05244644,0.64489077,0.05241752,0.00000000
-4.39719860,1.13347095,0.33429945,0.11055752,0.05283426,0.63171354,0.05149343,0.00000000
-4.39119560,1.11279053,0.32129430,0.10902141,0.05333665,0.61780381,0.05064618,0.00000000
-4.38519260,1.09128205,0.30837559,0.10736089,0.05392411,0.60321587,0.04989343,0.00000000
-4.37918959,1.06900613,0.29562713,0.10557825,0.05456408,0.58799981,0.04924965,0.00000000
-4.37318659,1.04600837,0.28312480,0.10367471,0.05522308,0.57220186,0.04872585,0.00000000
-4.36718359,1.02232257,0.27093517,0.10165064,0.05586894,0.55586536,0.04832938,0.00000000
-4.36118059,0.99797497,0.25911452,0.09950581,0.05647303,0.53903234,0.04806382,0.00000000
-4.35517759,0.97298933,0.24770833,0.09723977,0.05701249,0.52174553,0.04792897,0.00000000
-4.34917459,0.94739247,0.23675104,0.09485227,0.05747229,0.50405057,0.04792084,0.00000000
-4.34317159,0.92121984,0.22626621,0.09234373,0.05784710,0.48599842,0.04803178,0.00000000
-4.33716858,0.89452098,0.21626698,0.08971567,0.05814276,0.46764765,0.04825057,0.00000000
-4.33116558,0.86736432,0.20675677,0.08697113,0.05837746,0.44906648,0.04856262,0.00000000
