energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
3.73686843,4.11744816,0.15618849,0.98405043,1.84854083,0.01521256,1.36539420,1.42979977,0.23372877,0.81035513
3.74287144,4.14690407,0.15962347,0.97466640,1.87366033,0.01543656,1.39986718,1.43473751,0.23523711,0.81736037
3.74887444,4.17787414,0.16304485,0.96586407,1.89982199,0.01565480,1.43767065,1.43959898,0.23689325,0.82466074
3.75487744,4.21013007,0.16643204,0.95780543,1.92645144,0.01586544,1.47867399,1.44436387,0.23869336,0.83222573
3.76088044,4.24336214,0.16976230,0.95061306,1.95294991,0.01606662,1.52267585,1.44899367,0.24062755,0.84001201
3.76688344,4.27718727,0.17301111,0.94436925,1.97870409,0.01625642,1.56939711,1.45343569,0.24267960,0.84796482
3.77288644,4.31115976,0.17615283,0.93911651,2.00309676,0.01643294,1.61847672,1.45762753,0.24482695,0.85601983
3.77888944,4.34478398,0.17916134,0.93485896,2.02551804,0.01659427,1.66947042,1.46150147,0.24704103,0.86410505
3.78489245,4.37752826,0.18201091,0.93156482,2.04537704,0.01673855,1.72185277,1.46498870,0.24928782,0.87214290
3.79089545,4.40883931,0.18467692,0.92916948,2.06211373,0.01686401,1.77502253,1.46802283,0.25152861,0.88005213
3.79689845,4.43815637,0.18713670,0.92757926,2.07521067,0.01696900,1.82831129,1.47054265,0.25372100,0.88774951
3.80290145,4.46492463,0.18937018,0.92667555,2.08420430,0.01705202,1.88099517,1.47249392,0.25582002,0.89515114
3.80890445,4.48860736,0.19136047,0.92631937,2.08869534,0.01711178,1.93230934,1.47383020,0.25777923,0.90217345
3.81490745,4.50869646,0.19309424,0.92635623,2.08835809,0.01714719,1.98146482,1.47451275,0.25955193,0.90873364
3.82091046,4.52472140,0.19456194,0.92662119,2.08294817,0.01715744,2.02766718,1.47450962,0.26109225,0.91474989
3.82691346,4.53625649,0.19575781,0.92694410,2.07230849,0.01714195,2.07013647,1.47379430,0.26235611,0.92014111
3.83291646,4.54292666,0.19667971,0.92715512,2.05637325,0.01710041,2.10812767,1.47234403,0.26330211,0.92482660
