energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
3.60480240,2.38608298,0.96892464,0.14486867,0.07244299,0.28098332,0.19655239,0.52475977,0.69493987,1.12727749
3.61080540,2.37512280,0.96059775,0.14181020,0.07308533,0.28343438,0.19697921,0.52824975,0.68901687,1.13438347
3.61680840,2.35717988,0.94876517,0.13864360,0.07358329,0.28490615,0.19664705,0.52926050,0.68173441,1.13681757
3.62281141,2.33167015,0.93333622,0.13533507,0.07389650,0.28529456,0.19552119,0.52766769,0.67290732,1.13422637
3.62881441,2.29815515,0.91428907,0.13185344,0.07398674,0.28451593,0.19358059,0.52339778,0.66237530,1.12636523
3.63481741,2.25636704,0.89167644,0.12817241,0.07381965,0.28250976,0.19081958,0.51643176,0.65001227,1.11310782
3.64082041,2.20622709,0.86562880,0.12427250,0.07336625,0.27924093,0.18724894,0.50680702,0.63573442,1.09445163
3.64682341,2.14785675,0.83635436,0.12014258,0.07260420,0.27470112,0.18289656,0.49461732,0.61950638,1.07051912
3.65282641,2.08158094,0.80413624,0.11578092,0.07151882,0.26890932,0.17780737,0.48001069,0.60134540,1.04155464
3.65882941,2.00792330,0.76932659,0.11119580,0.07010368,0.26191162,0.17204275,0.46318563,0.58132318,1.00791724
3.66483242,1.92759382,0.73233807,0.10640552,0.06836091,0.25377998,0.16567924,0.44438546,0.55956543,0.97006966
3.67083542,1.84146958,0.69363305,0.10143799,0.06630112,0.24461033,0.15880686,0.42389143,0.53624921,0.92856424
3.67683842,1.75056955,0.65371108,0.09632983,0.06394294,0.23451977,0.15152678,0.40201467,0.51159821,0.88402611
3.68284142,1.65602471,0.61309514,0.09112510,0.06131238,0.22364331,0.14394873,0.37908740,0.48587624,0.83713467
3.68884442,1.55904504,0.57231729,0.08587378,0.05844173,0.21212993,0.13618810,0.35545388,0.45937939,0.78860401
3.69484742,1.46088477,0.53190449,0.08062993,0.05536848,0.20013851,0.12836291,0.33146140,0.43242711,0.73916311
3.70085043,1.36280760,0.49236500,0.07544988,0.05213392,0.18783338,0.12059072,0.30745166,0.40535282,0.68953665
3.70685343,1.26605316,0.45417600,0.07039025,0.04878174,0.17538005,0.11298572,0.28375299,0.37849443,0.64042709
3.71285643,1.17180618,0.41777289,0.06550616,0.04535666,0.16294098,0.10565590,0.26067348,0.35218513,0.59249861
3.71885943,1.08116934,0.38354055,0.06084953,0.04190303,0.15067174,0.09870069,0.23849543,0.32674490,0.54636346
3.72486243,0.99514074,0.35180674,0.05646757,0.03846360,0.13871759,0.09220883,0.21747107,0.30247311,0.50257104
3.73086543,0.91459644,0.32283796,0.05240157,0.03507838,0.12721056,0.08625678,0.19781976,0.27964228,0.46159981
3.73686843,0.84027843,0.29683739,0.04868594,0.03178379,0.11626725,0.08090758,0.17972643,0.25849330,0.42385224
3.74287144,0.77278799,0.27394520,0.04534762,0.02861190,0.10598713,0.07621019,0.16334144,0.23923220,0.38965253
3.74887444,0.71258414,0.25424067,0.04240572,0.02558995,0.09645168,0.07219932,0.14878146,0.22202833,0.35924699
3.75487744,0.65998673,0.23774605,0.03987154,0.02274010,0.08772401,0.06889569,0.13613134,0.20701397,0.33280674
3.76088044,0.61518344,0.22443180,0.03774876,0.02007930,0.07984912,0.06630673,0.12544661,0.19428528,0.31043220
3.76688344,0.57824002,0.21422267,0.03603397,0.01761951,0.07285470,0.06442758,0.11675647,0.18390415,0.29215914
3.77288644,0.54911274,0.20700461,0.03471731,0.01536787,0.06675232,0.06324238,0.11006703,0.17590103,0.27796560
3.77888944,0.52766223,0.20263173,0.03378332,0.01332720,0.06153892,0.06272575,0.10536439,0.17027823,0.26777926
3.78489245,0.51366788,0.20093334,0.03321185,0.01149651,0.05719854,0.06284435,0.10261762,0.16701356,0.26148494
3.79089545,0.50684197,0.20172049,0.03297902,0.00987154,0.05370420,0.06355848,0.10178129,0.16606399,0.25893163
3.79689845,0.50684278,0.20479207,0.03305819,0.00844543,0.05101970,0.06482364,0.10279737,0.16736918,0.25993889
3.80290145,0.51328633,0.20993997,0.03342092,0.00720938,0.04910149,0.06659196,0.10559668,0.17085461,0.26430227
3.80890445,0.52575622,0.21695344,0.03403784,0.00615324,0.04790030,0.06881345,0.11009959,0.17643425,0.27179767
3.81490745,0.54381142,0.22562250,0.03487943,0.00526614,0.04736270,0.07143707,0.11621618,0.18401257,0.28218463
3.82091046,0.56699206,0.23574040,0.03591667,0.00453702,0.04743236,0.07441147,0.12384585,0.19348604,0.29520847
3.82691346,0.59482336,0.24710526,0.03712163,0.00395518,0.04805123,0.07768559,0.13287658,0.20474396,0.31060155
3.83291646,0.62681793,0.25952099,0.03846786,0.00351063,0.04916039,0.08120898,0.14318395,0.21766884,0.32808379
3.83891946,0.66247700,0.27279761,0.03993075,0.00319452,0.05070085,0.08493184,0.15463010,0.23213637,0.34736285
3.84492246,0.70129097,0.28675129,0.04148773,0.00299939,0.05261415,0.08880499,0.16706291,0.24801519,0.36813407
3.85092546,0.74273996,0.30120414,0.04311837,0.00291941,0.05484290,0.09277964,0.18031553,0.26516660,0.39008080
3.85692846,0.78629481,0.31598418,0.04480449,0.00295051,0.05733124,0.09680713,0.19420646,0.28344446,0.41287511
3.86293147,0.83141903,0.33092539,0.04653017,0.00309048,0.06002538,0.10083863,0.20854031,0.30269533,0.43617954
3.86893447,0.87757213,0.34586827,0.04828170,0.00333897,0.06287411,0.10482493,0.22310946,0.32275912,0.45964974
3.87493747,0.92421464,0.36066082,0.05004761,0.00369743,0.06582936,0.10871635,0.23769655,0.34347029,0.48293840
3.88094047,0.97081468,0.37516003,0.05181857,0.00416903,0.06884694,0.11246278,0.25207785,0.36465965,0.50570040
3.88694347,1.01685629,0.38923389,0.05358739,0.00475842,0.07188719,0.11601390,0.26602747,0.38615673,0.52759911
3.89294647,1.06184893,0.40276376,0.05534896,0.00547155,0.07491584,0.11931968,0.27932228,0.40779275,0.54831364
3.89894947,1.10533795,0.41564704,0.05710017,0.00631527,0.07790477,0.12233101,0.29174727,0.42940384,0.56754675
3.90495248,1.14691515,0.42779980,0.05883981,0.00729705,0.08083276,0.12500055,0.30310121,0.45083458,0.58503305
3.91095548,1.18622897,0.43915920,0.06056847,0.00842443,0.08368613,0.12728374,0.31320233,0.47194143,0.60054696
