energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-4.61330665,0.71629487,0.07121127,0.00435263,0.18818103,0.40283381,0.24548105,0.00000000
-4.60730365,0.72854720,0.07647981,0.00442012,0.19988871,0.41908616,0.24040725,0.00000000
-4.60130065,0.74789145,0.08286723,0.00452792,0.21343664,0.43920453,0.23740178,0.00000000
-4.59529765,0.77385393,0.09038412,0.00467178,0.22873368,0.46289392,0.23626997,0.00000000
-4.58929465,0.80585033,0.09902641,0.00484678,0.24565526,0.48980554,0.23677614,0.00000000
-4.58329165,0.84320192,0.10877474,0.00504742,0.26404569,0.51954456,0.23865227,0.00000000
-4.57728864,0.88515314,0.11959369,0.00526778,0.28372107,0.55167860,0.24160728,0.00000000
-4.57128564,0.93088994,0.13143133,0.00550164,0.30447260,0.58574668,0.24533647,0.00000000
-4.56528264,0.97955842,0.14421878,0.00574264,0.32607031,0.62126840,0.24953097,0.00000000
-4.55927964,1.03028306,0.15787000,0.00598445,0.34826707,0.65775301,0.25388683,0.00000000
-4.55327664,1.08218428,0.17228180,0.00622088,0.37080272,0.69470817,0.25811358,0.00000000
-4.54727364,1.13439462,0.18733407,0.00644608,0.39340824,0.73164798,0.26194185,0.00000000
-4.54127064,1.18607338,0.20289030,0.00665465,0.41580986,0.76810038,0.26513004,0.00000000
-4.53526763,1.23641936,0.21879847,0.00684180,0.43773313,0.80361340,0.26746980,0.00000000
-4.52926463,1.28468151,0.23489224,0.00700341,0.45890663,0.83776053,0.26879008,0.00000000
-4.52326163,1.33016761,0.25099262,0.00713620,0.47906563,0.87014499,0.26895992,0.00000000
-4.51725863,1.37225085,0.26690997,0.00723771,0.49795539,0.90040305,0.26788969,0.00000000
-4.51125563,1.41037464,0.28244657,0.00730644,0.51533430,0.92820662,0.26553105,0.00000000
-4.50525263,1.44405600,0.29739955,0.00734179,0.53097673,0.95326514,0.26187558,0.00000000
-4.49924962,1.47288765,0.31156429,0.00734412,0.54467581,0.97532727,0.25695225,0.00000000
-4.49324662,1.49653946,0.32473823,0.00731469,0.55624599,0.99418234,0.25082389,0.00000000
-4.48724362,1.51475940,0.33672501,0.00725565,0.56552553,1.00966206,0.24358294,0.00000000
-4.48124062,1.52737454,0.34733884,0.00716995,0.57237898,1.02164246,0.23534660,0.00000000
-4.47523762,1.53429216,0.35640908,0.00706133,0.57669943,1.03004640,0.22625171,0.00000000
-4.46923462,1.53550130,0.36378474,0.00693415,0.57841083,1.03484647,0.21644956,0.00000000
-4.46323162,1.53107464,0.36933893,0.00679340,0.57747003,1.03606841,0.20610085,0.00000000
-4.45722861,1.52117073,0.37297288,0.00664456,0.57386867,1.03379470,0.19537102,0.00000000
-4.45122561,1.50603619,0.37461960,0.00649353,0.56763471,1.02816821,0.18442606,0.00000000
-4.44522261,1.48600768,0.37424673,0.00634653,0.55883350,1.01939542,0.17342906,0.00000000
-4.43921961,1.46151305,0.37185873,0.00621004,0.54756833,1.00774890,0.16253741,0.00000000
-4.43321661,1.43307130,0.36749795,0.00609067,0.53398023,0.99356853,0.15190083,0.00000000
-4.42721361,1.40129085,0.36124480,0.00599512,0.51824705,0.97726111,0.14166017,0.00000000
-4.42121061,1.36686560,0.35321671,0.00593005,0.50058163,0.95929790,0.13194700,0.00000000
-4.41520760,1.33056852,0.34356600,0.00590201,0.48122916,0.94020982,0.12288378,0.00000000
-4.40920460,1.29324247,0.33247669,0.00591733,0.46046357,0.92058020,0.11458470,0.00000000
-4.40320160,1.25578824,0.32016026,0.00598199,0.43858319,0.90103493,0.10715696,0.00000000
-4.39719860,1.21914986,0.30685067,0.00610153,0.41590562,0.88223020,0.10070230,0.00000000
-4.39119560,1.18429754,0.29279861,0.00628092,0.39276211,0.86483808,0.09531888,0.00000000
-4.38519260,1.15220857,0.27826535,0.00652442,0.36949148,0.84953041,0.09110299,0.00000000
-4.37918959,1.12384692,0.26351634,0.00683543,0.34643393,0.83696149,0.08815083,0.00000000
-4.37318659,1.10014201,0.24881484,0.00721641,0.32392474,0.82775028,0.08655997,0.00000000
-4.36718359,1.08196773,0.23441578,0.00766868,0.30228832,0.82246286,0.08643041,0.00000000
-4.36118059,1.07012210,0.22056007,0.00819241,0.28183254,0.82159573,0.08786521,0.00000000
-4.35517759,1.06530858,0.20746954,0.00878641,0.26284369,0.82556094,0.09097045,0.00000000
-4.34917459,1.06811951,0.19534269,0.00944816,0.24558196,0.83467345,0.09585452,0.00000000
-4.34317159,1.07902228,0.18435121,0.01017374,0.23027773,0.84914135,0.10262663,0.00000000
-4.33716858,1.09834854,0.17463752,0.01095781,0.21712856,0.86905942,0.11139447,0.00000000
