energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-1.85792896,1.10914041,0.00000437,0.03954406,0.00080855,0.30849219,0.03827796,0.04215484,0.10153009,0.74819157
-1.85192596,1.04993809,0.00000382,0.03909898,0.00071785,0.33278992,0.03765262,0.04225036,0.09765645,0.67485825
-1.84592296,0.99768050,0.00000331,0.03887400,0.00063344,0.35763339,0.03729113,0.04255595,0.09436300,0.60724966
-1.83991996,0.95212137,0.00000284,0.03884242,0.00055551,0.38264021,0.03716113,0.04303973,0.09161403,0.54547494
-1.83391696,0.91283805,0.00000243,0.03897173,0.00048417,0.40739068,0.03722467,0.04366368,0.08935889,0.48951424
-1.82791396,0.87925764,0.00000206,0.03922475,0.00041941,0.43143821,0.03743965,0.04438504,0.08753432,0.43923336
-1.82191096,0.85068704,0.00000174,0.03956105,0.00036110,0.45432149,0.03776125,0.04515774,0.08606725,0.39440049
-1.81590795,0.82634587,0.00000146,0.03993839,0.00030908,0.47557797,0.03814359,0.04593406,0.08487783,0.35470464
-1.80990495,0.80540066,0.00000121,0.04031426,0.00026309,0.49475805,0.03854123,0.04666626,0.08388262,0.31977460
-1.80390195,0.78699929,0.00000100,0.04064736,0.00022285,0.51143960,0.03891080,0.04730822,0.08299781,0.28919799
-1.79789895,0.77030420,0.00000083,0.04089904,0.00018804,0.52524198,0.03921240,0.04781708,0.08214239,0.26253969
-1.79189595,0.75452328,0.00000068,0.04103463,0.00015836,0.53583902,0.03941099,0.04815464,0.08124105,0.23935903
-1.78589295,0.73893755,0.00000056,0.04102461,0.00013349,0.54297037,0.03947757,0.04828867,0.08022681,0.21922543
-1.77988994,0.72292465,0.00000046,0.04084554,0.00011319,0.54645077,0.03939021,0.04819396,0.07904325,0.20173214
-1.77388694,0.70597774,0.00000039,0.04048086,0.00009723,0.54617663,0.03913480,0.04785309,0.07764627,0.18650790
-1.76788394,0.68771948,0.00000033,0.03992134,0.00008549,0.54212981,0.03870567,0.04725701,0.07600537,0.17322653
-1.76188094,0.66791090,0.00000030,0.03916534,0.00007793,0.53437839,0.03810595,0.04640519,0.07410439,0.16161447
-1.75587794,0.64645542,0.00000028,0.03821888,0.00007462,0.52307432,0.03734773,0.04530564,0.07194174,0.15145630
-1.74987494,0.62339840,0.00000029,0.03709538,0.00007579,0.50844826,0.03645204,0.04397458,0.06953022,0.14259871
-1.74387194,0.59892265,0.00000032,0.03581532,0.00008183,0.49080184,0.03544869,0.04243588,0.06689632,0.13495285
-1.73786893,0.57334076,0.00000037,0.03440566,0.00009329,0.47049758,0.03437587,0.04072037,0.06407928,0.12849565
