energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
1.86993497,1.45373202,0.01492357,0.29662465,0.21886954,0.00000000,0.64447408,1.03641368
1.87593797,1.48118071,0.01475649,0.30193440,0.22308736,0.00000000,0.65363158,1.05692782
1.88194097,1.50695229,0.01458028,0.30715476,0.22726198,0.00000000,0.66282799,1.07547532
1.88794397,1.53103010,0.01439682,0.31224521,0.23136363,0.00000000,0.67197079,1.09211984
1.89394697,1.55343739,0.01420796,0.31716872,0.23536504,0.00000000,0.68096217,1.10696703
1.89994997,1.57423533,0.01401558,0.32189276,0.23924210,0.00000000,0.68970390,1.12015945
1.90595298,1.59351986,0.01382160,0.32639008,0.24297441,0.00000000,0.69810230,1.13187036
1.91195598,1.61141758,0.01362799,0.33063942,0.24654552,0.00000000,0.70607313,1.14229679
1.91795898,1.62808074,0.01343676,0.33462596,0.24994311,0.00000000,0.71354621,1.15165225
1.92396198,1.64368187,0.01325000,0.33834167,0.25315895,0.00000000,0.72046964,1.16015920
1.92996498,1.65840788,0.01306984,0.34178551,0.25618864,0.00000000,0.72681332,1.16804185
1.93596798,1.67245418,0.01289847,0.34496337,0.25903134,0.00000000,0.73257171,1.17551922
