energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-4.69734867,3.23889548,0.21002210,0.00000000,1.59581305,1.11059091,0.02338583,1.18380696
-4.69134567,3.34945082,0.21323569,0.00000000,1.63112724,1.15670980,0.02531486,1.22494699
-4.68534267,3.45287632,0.21577634,0.00000000,1.66166312,1.20081260,0.02725120,1.26345640
-4.67933967,3.54769243,0.21758591,0.00000000,1.68692909,1.24233197,0.02916958,1.29878027
-4.67333667,3.63256818,0.21862062,0.00000000,1.70651490,1.28075473,0.03104303,1.33041419
-4.66733367,3.70634920,0.21885175,0.00000000,1.72010374,1.31563122,0.03284336,1.35791614
-4.66133067,3.76808176,0.21826606,0.00000000,1.72748204,1.34658296,0.03454188,1.38091690
-4.65532766,3.81703187,0.21686570,0.00000000,1.72854698,1.37330842,0.03611010,1.39912901
-4.64932466,3.85269925,0.21466769,0.00000000,1.72331103,1.39558692,0.03752044,1.41235369
-4.64332166,3.87482568,0.21170310,0.00000000,1.71190369,1.41328052,0.03874708,1.42048573
-4.63731866,3.88339772,0.20801577,0.00000000,1.69457008,1.42633412,0.03976667,1.42351610
-4.63131566,3.87864365,0.20366077,0.00000000,1.67166657,1.43477371,0.04055908,1.42153223
-4.62531266,3.86102488,0.19870265,0.00000000,1.64365348,1.43870288,0.04110805,1.41471587
-4.61930965,3.83122198,0.19321348,0.00000000,1.61108507,1.43829781,0.04140168,1.40333866
-4.61330665,3.79011569,0.18727085,0.00000000,1.57459708,1.43380074,0.04143291,1.38775534
-4.60730365,3.73876335,0.18095579,0.00000000,1.53489219,1.42551221,0.04119973,1.36839488
-4.60130065,3.67837126,0.17435074,0.00000000,1.49272363,1.41378214,0.04070529,1.34574955
-4.59529765,3.61026359,0.16753767,0.00000000,1.44887750,1.39899989,0.03995784,1.32036232
-4.58929465,3.53584846,0.16059624,0.00000000,1.40415410,1.38158367,0.03897048,1.29281277
-4.58329165,3.45658205,0.15360227,0.00000000,1.35934873,1.36196932,0.03776080,1.26370189
-4.57728864,3.37393163,0.14662629,0.00000000,1.31523251,1.34059880,0.03635030,1.23363613
-4.57128564,3.28933832,0.13973243,0.00000000,1.27253356,1.31790876,0.03476378,1.20321125
-4.56528264,3.20418079,0.13297748,0.00000000,1.23191915,1.29431925,0.03302859,1.17299626
-4.55927964,3.11974090,0.12641023,0.00000000,1.19397927,1.27022322,0.03117385,1.14351810
-4.55327664,3.03717229,0.12007105,0.00000000,1.15921205,1.24597686,0.02922963,1.11524758
-4.54727364,2.95747317,0.11399173,0.00000000,1.12801162,1.22189131,0.02722613,1.08858700
-4.54127064,2.88146414,0.10819547,0.00000000,1.10065876,1.19822596,0.02519295,1.06385991
-4.53526763,2.80977201,0.10269717,0.00000000,1.07731471,1.17518368,0.02315836,1.04130363
-4.52926463,2.74282021,0.09750386,0.00000000,1.05801851,1.15290812,0.02114873,1.02106454
-4.52326163,2.68082634,0.09261535,0.00000000,1.04268799,1.13148332,0.01918804,1.00319667
-4.51725863,2.62380701,0.08802492,0.00000000,1.03112446,1.11093559,0.01729747,0.98766351
-4.51125563,2.57158971,0.08372032,0.00000000,1.02302116,1.09123764,0.01549524,0.97434307
-4.50525263,2.52383155,0.07968462,0.00000000,1.01797508,1.07231486,0.01379641,0.96303602
-4.49924962,2.48004389,0.07589736,0.00000000,1.01550194,1.05405336,0.01221297,0.95347659
-4.49324662,2.43962190,0.07233556,0.00000000,1.01505369,1.03630960,0.01075390,0.94534578
-4.48724362,2.40187792,0.06897481,0.00000000,1.01603802,1.01892097,0.00942539,0.93828635
-4.48124062,2.36607701,0.06579030,0.00000000,1.01783907,1.00171709,0.00823115,0.93191893
-4.47523762,2.33147335,0.06275776,0.00000000,1.01983858,0.98453105,0.00717275,0.92585860
-4.46923462,2.29734570,0.05985438,0.00000000,1.02143667,0.96721032,0.00624993,0.91973117
-4.46323162,2.26303070,0.05705952,0.00000000,1.02207146,0.94962668,0.00546108,0.91318857
-4.45722861,2.22795235,0.05435535,0.00000000,1.02123679,0.93168476,0.00480353,0.90592266
-4.45122561,2.19164666,0.05172727,0.00000000,1.01849732,0.91332889,0.00427397,0.89767686
