energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-2.00800400,1.07352180,0.43137487,0.15463800,0.00017245,0.05069392,0.00620341,0.20008862,0.14381749,0.49733273
-2.00200100,1.08295572,0.44264945,0.14725263,0.00017832,0.05047751,0.00627713,0.19081806,0.14134124,0.51948791
-1.99599800,1.09219460,0.45283879,0.14058165,0.00018433,0.05031947,0.00639157,0.18243480,0.13907573,0.54008713
-1.98999500,1.10069505,0.46163452,0.13458671,0.00019049,0.05020714,0.00654793,0.17487923,0.13699490,0.55879005
-1.98399200,1.10799496,0.46876658,0.12922669,0.00019682,0.05012999,0.00674802,0.16809121,0.13507639,0.57532386
-1.97798899,1.11373678,0.47401396,0.12446089,0.00020339,0.05008073,0.00699438,0.16201412,0.13330400,0.58949421
-1.97198599,1.11768657,0.47721359,0.12025194,0.00021030,0.05005627,0.00729029,0.15659877,0.13166995,0.60119350
-1.96598299,1.11974777,0.47826698,0.11656837,0.00021771,0.05005848,0.00763980,0.15180672,0.13017669,0.61040592
-1.95997999,1.11996880,0.47714416,0.11338659,0.00022582,0.05009459,0.00804762,0.14761298,0.12883807,0.61720885
-1.95397699,1.11854381,0.47388483,0.11069229,0.00023486,0.05017739,0.00851899,0.14400788,0.12767994,0.62177038
