energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-4.74537269,12.60467535,0.05298866,0.49913512,2.35324837,3.17829488,0.02888544,7.31612577,2.29849394,1.63286199
-4.73936968,12.59150309,0.05199863,0.50353697,2.31615619,3.19809556,0.02918405,7.29127267,2.28506821,1.63563969
-4.73336668,12.57428757,0.05092872,0.50728166,2.27659652,3.21742397,0.02939352,7.26549381,2.27133927,1.63853480
-4.72736368,12.55422782,0.04978967,0.51041828,2.23505891,3.23669756,0.02951511,7.23946994,2.25740660,1.64163843
-4.72136068,12.53226512,0.04859205,0.51299217,2.19197911,3.25630333,0.02955130,7.21370043,2.24331939,1.64499185
-4.71535768,12.50905178,0.04734611,0.51504207,2.14773068,3.27658644,0.02950575,7.18848924,2.22907273,1.64858177
-4.70935468,12.48493168,0.04606172,0.51659766,2.10261977,3.29784003,0.02938314,7.16393854,2.21460606,1.65233764
-4.70335168,12.45993308,0.04474820,0.51767756,2.05688325,3.32029652,0.02918898,7.13995010,2.19980387,1.65613116
-4.69734867,12.43377410,0.04341437,0.51828790,2.01068993,3.34412070,0.02892940,7.11623431,2.18449866,1.65977808
-4.69134567,12.40588012,0.04206844,0.51842157,1.96414450,3.36940477,0.02861093,7.09232633,2.16847605,1.66304234
-4.68534267,12.37541228,0.04071801,0.51805810,1.91729403,3.39616543,0.02824022,7.06760846,2.15148189,1.66564252
-4.67933967,12.34130564,0.03937005,0.51716427,1.87013627,3.42434303,0.02782381,7.04133775,2.13323100,1.66726019
-4.67333667,12.30231496,0.03803084,0.51569530,1.82262942,3.45380278,0.02736788,7.01267740,2.11341720,1.66755006
-4.66733367,12.25706613,0.03670593,0.51359680,1.77470272,3.48433765,0.02687802,6.98073070,2.09172424,1.66615133
