energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
2.32016008,0.44136724,0.01236511,0.00000000,0.00802598,0.07584913,0.27151461,0.50087199
2.32616308,0.39128754,0.01061323,0.00000000,0.00688342,0.06862362,0.23761208,0.44477588
2.33216608,0.34788705,0.00904888,0.00000000,0.00586112,0.06253635,0.20786220,0.39625509
2.33816908,0.31093233,0.00766583,0.00000000,0.00495481,0.05754504,0.18210525,0.35505398
2.34417209,0.28010494,0.00645538,0.00000000,0.00415856,0.05359261,0.16013085,0.32082036
2.35017509,0.25502161,0.00540707,0.00000000,0.00346520,0.05061043,0.14169053,0.29312846
2.35617809,0.23525359,0.00450920,0.00000000,0.00286671,0.04852131,0.12650965,0.27150095
2.36218109,0.22034470,0.00374943,0.00000000,0.00235456,0.04724255,0.11429851,0.25542951
2.36818409,0.20982761,0.00311525,0.00000000,0.00192002,0.04668860,0.10476212,0.24439342
2.37418709,0.20323808,0.00259432,0.00000000,0.00155443,0.04677359,0.09760874,0.23787573
2.38019010,0.20012694,0.00217487,0.00000000,0.00124942,0.04741350,0.09255692,0.23537694
2.38619310,0.20006977,0.00184587,0.00000000,0.00099704,0.04852800,0.08934103,0.23642598
2.39219610,0.20267423,0.00159721,0.00000000,0.00078993,0.05004203,0.08771543,0.24058842
2.39819910,0.20758503,0.00141979,0.00000000,0.00062135,0.05188690,0.08745720,0.24747204
2.40420210,0.21448675,0.00130555,0.00000000,0.00048523,0.05400115,0.08836764,0.25672977
2.41020510,0.22310454,0.00124742,0.00000000,0.00037621,0.05633098,0.09027255,0.26806022
2.41620810,0.23320284,0.00123930,0.00000000,0.00028959,0.05883034,0.09302154,0.28120583
2.42221111,0.24458241,0.00127588,0.00000000,0.00022132,0.06146069,0.09648648,0.29594907
2.42821411,0.25707580,0.00135258,0.00000000,0.00016792,0.06419042,0.10055912,0.31210670
2.43421711,0.27054162,0.00146537,0.00000000,0.00012650,0.06699397,0.10514824,0.32952268
2.44022011,0.28485774,0.00161063,0.00000000,0.00009460,0.06985074,0.11017629,0.34805980
