energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-3.45472736,0.75212199,0.06533171,0.00050222,0.11718615,0.63895025,0.04868572,0.00000000
-3.44872436,0.80372276,0.07088888,0.00051312,0.13270183,0.67901131,0.05459681,0.00000000
-3.44272136,0.86093158,0.07745215,0.00052768,0.15015801,0.72321415,0.06117116,0.00000000
-3.43671836,0.92335816,0.08503063,0.00054549,0.16959153,0.77118124,0.06839982,0.00000000
-3.43071536,0.99059033,0.09362869,0.00056619,0.19101843,0.82252613,0.07626566,0.00000000
-3.42471236,1.06219841,0.10324480,0.00058942,0.21443068,0.87685903,0.08474286,0.00000000
-3.41870935,1.13773796,0.11387024,0.00061489,0.23979309,0.93379084,0.09379658,0.00000000
-3.41270635,1.21675119,0.12548742,0.00064234,0.26704059,0.99293554,0.10338284,0.00000000
-3.40670335,1.29876685,0.13806820,0.00067155,0.29607592,1.05391103,0.11344867,0.00000000
-3.40070035,1.38329888,0.15157202,0.00070235,0.32676789,1.11633852,0.12393254,0.00000000
-3.39469735,1.46984400,0.16594422,0.00073459,0.35895043,1.17984042,0.13476500,0.00000000
-3.38869435,1.55787861,0.18111437,0.00076817,0.39242240,1.24403726,0.14586957,0.00000000
-3.38269135,1.64685518,0.19699504,0.00080298,0.42694835,1.30854375,0.15716377,0.00000000
-3.37668834,1.73619873,0.21348084,0.00083893,0.46226024,1.37296433,0.16856034,0.00000000
