energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-1.71985993,2.46697351,0.02855528,0.19088396,0.59076364,0.04173702,1.83485687,1.79889229,0.57405068,0.00000000
-1.71385693,2.48103975,0.02916856,0.20153138,0.62018719,0.04282592,1.86035693,1.79345757,0.56469881,0.00000000
-1.70785393,2.50338280,0.02996345,0.21340084,0.65149170,0.04414435,1.89229526,1.79491714,0.55453349,0.00000000
-1.70185093,2.53333465,0.03091139,0.22634969,0.68424329,0.04566590,1.93007410,1.80291428,0.54357184,0.00000000
-1.69584792,2.57013769,0.03198027,0.24021920,0.71796787,0.04736108,1.97300881,1.81700588,0.53186309,0.00000000
-1.68984492,2.61295103,0.03313505,0.25483601,0.75215727,0.04919768,2.02033414,1.83666835,0.51948313,0.00000000
-1.68384192,2.66085690,0.03433850,0.27001422,0.78627676,0.05114133,2.07121086,1.86130328,0.50652830,0.00000000
-1.67783892,2.71286745,0.03555216,0.28555796,0.81977401,0.05315604,2.12473285,1.89024260,0.49310869,0.00000000
-1.67183592,2.76793232,0.03673736,0.30126458,0.85208920,0.05520487,2.17993506,1.92275376,0.47934140,0.00000000
-1.66583292,2.82494762,0.03785627,0.31692840,0.88266623,0.05725066,2.23580267,1.95804507,0.46534422,0.00000000
-1.65982991,2.88276674,0.03887302,0.33234492,0.91096471,0.05925685,2.29128197,1.99527194,0.45123003,0.00000000
-1.65382691,2.94021356,0.03975481,0.34731537,0.93647240,0.06118825,2.34529334,2.03354436,0.43710212,0.00000000
-1.64782391,2.99609838,0.04047290,0.36165154,0.95871775,0.06301189,2.39674662,2.07193632,0.42305071,0.00000000
-1.64182091,3.04923670,0.04100350,0.37518063,0.97728209,0.06469785,2.44455925,2.10949747,0.40915075,0.00000000
-1.63581791,3.09847100,0.04132851,0.38775007,0.99181115,0.06621994,2.48767695,2.14526746,0.39546094,0.00000000
-1.62981491,3.14269503,0.04143604,0.39923199,1.00202533,0.06755647,2.52509690,2.17829297,0.38202403,0.00000000
-1.62381191,3.18088027,0.04132075,0.40952729,1.00772852,0.06869078,2.55589279,2.20764733,0.36886819,0.00000000
-1.61780890,3.21210361,0.04098389,0.41856902,1.00881504,0.06961171,2.57924106,2.23245240,0.35600926,0.00000000
-1.61180590,3.23557533,0.04043319,0.42632500,1.00527445,0.07031394,2.59444725,2.25190188,0.34345373,0.00000000
-1.60580290,3.25066606,0.03968239,0.43279959,0.99719410,0.07079811,2.60097144,2.26528538,0.33120209,0.00000000
-1.59979990,3.25693148,0.03875067,0.43803429,0.98475919,0.07107084,2.59845133,2.27201200,0.31925244,0.00000000
-1.59379690,3.25413327,0.03766185,0.44210748,0.96825050,0.07114457,2.58672168,2.27163226,0.30760389,0.00000000
-1.58779390,3.24225508,0.03644343,0.44513288,0.94803966,0.07103719,2.56582884,2.26385722,0.29625978,0.00000000
-1.58179090,3.22151224,0.03512552,0.44725706,0.92458223,0.07077153,2.53603935,2.24857344,0.28523036,0.00000000
-1.57578789,3.19235432,0.03373975,0.44865586,0.89840873,0.07037475,2.49784145,2.22585283,0.27453477,0.00000000
-1.56978489,3.15545978,0.03231812,0.44952990,0.87011383,0.06987751,2.45193924,2.19595648,0.26420227,0.00000000
-1.56378189,3.11172252,0.03089193,0.45009929,0.84034399,0.06931313,2.39923900,2.15933192,0.25427274,0.00000000
-1.55777889,3.06223035,0.02949075,0.45059765,0.80978394,0.06871660,2.34082799,2.11660354,0.24479617,0.00000000
-1.55177589,3.00823580,0.02814153,0.45126561,0.77914214,0.06812361,2.27794620,2.06855630,0.23583151,0.00000000
-1.54577289,2.95112037,0.02686784,0.45234401,0.74913560,0.06756945,2.21195199,2.01611325,0.22744476,0.00000000
-1.53976988,2.89235323,0.02568933,0.45406696,0.72047439,0.06708808,2.14428285,1.96030760,0.21970634,0.00000000
-1.53376688,2.83344605,0.02462128,0.45665491,0.69384613,0.06671107,2.07641275,1.90225056,0.21268821,0.00000000
-1.52776388,2.77590564,0.02367441,0.46030800,0.66990061,0.06646676,2.00980777,1.84309621,0.20646045,0.00000000
-1.52176088,2.72118636,0.02285484,0.46519977,0.64923504,0.06637940,1.94588169,1.78400495,0.20108791,0.00000000
-1.51575788,2.67064403,0.02216423,0.47147154,0.63237997,0.06646849,1.88595327,1.72610711,0.19662671,0.00000000
-1.50975488,2.62549340,0.02160009,0.47922747,0.61978640,0.06674821,1.83120692,1.67046826,0.19312114,0.00000000
-1.50375188,2.58677077,0.02115615,0.48853056,0.61181413,0.06722703,1.78265807,1.61805762,0.19060074,0.00000000
-1.49774887,2.55530314,0.02082290,0.49939966,0.60872181,0.06790747,1.74112467,1.56972100,0.18907800,0.00000000
-1.49174587,2.53168529,0.02058818,0.51180764,0.61065897,0.06878603,1.70720553,1.52615908,0.18854666,0.00000000
-1.48574287,2.51626536,0.02043783,0.52568082,0.61766019,0.06985332,1.68126631,1.48791199,0.18898064,0.00000000
-1.47973987,2.50913963,0.02035631,0.54089960,0.62964187,0.07109434,1.66343347,1.45535047,0.19033387,0.00000000
-1.47373687,2.51015642,0.02032733,0.55730060,0.64640175,0.07248891,1.65359609,1.42867384,0.19254076,0.00000000
-1.46773387,2.51892888,0.02033453,0.57467996,0.66762138,0.07401231,1.65141536,1.40791450,0.19551757,0.00000000
-1.46173087,2.53485605,0.02036194,0.59279801,0.69287171,0.07563601,1.65634118,1.39294856,0.19916450,0.00000000
-1.45572786,2.55715110,0.02039457,0.61138519,0.72162181,0.07732852,1.66763507,1.38351173,0.20336842,0.00000000
-1.44972486,2.58487556,0.02041874,0.63014893,0.75325072,0.07905634,1.68439838,1.37921960,0.20800622,0.00000000
-1.44372186,2.61697796,0.02042249,0.64878152,0.78706212,0.08078498,1.70560465,1.37959124,0.21294860,0.00000000
-1.43771886,2.65233523,0.02039576,0.66696851,0.82230164,0.08248003,1.73013497,1.38407473,0.21806416,0.00000000
