energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-4.94947474,4.88318828,0.46216816,3.11190782,0.02818173,0.09848559,0.08548344,0.95256033,0.05137166,0.74184473
-4.94347174,4.83966592,0.43794082,3.16285161,0.02520988,0.09865204,0.08242506,0.90208042,0.04831171,0.69668113
-4.93746873,4.81402501,0.41505922,3.22697254,0.02239715,0.09857810,0.07949421,0.85455850,0.04529921,0.65418966
-4.93146573,4.80723600,0.39365440,3.30469626,0.01976473,0.09826826,0.07672018,0.81028844,0.04234965,0.61462427
-4.92546273,4.81988846,0.37382083,3.39622515,0.01732818,0.09773430,0.07412985,0.76946456,0.03947541,0.57815729
-4.91945973,4.85219397,0.35562031,3.50152529,0.01509767,0.09699510,0.07174820,0.73219056,0.03668624,0.54488685
-4.91345673,4.90399360,0.33908626,3.62031564,0.01307861,0.09607608,0.06959891,0.69849012,0.03398977,0.51484565
-4.90745373,4.97476971,0.32422829,3.75205995,0.01127219,0.09500837,0.06770488,0.66831898,0.03139194,0.48801061
-4.90145073,5.06366201,0.31103662,3.89596270,0.00967616,0.09382754,0.06608869,0.64157746,0.02889744,0.46431290
-4.89544772,5.16948829,0.29948637,4.05097004,0.00828556,0.09257226,0.06477299,0.61812338,0.02651005,0.44364789
-4.88944472,5.29077048,0.28954146,4.21577700,0.00709349,0.09128270,0.06378082,0.59778462,0.02423298,0.42588466
-4.88344172,5.42576635,0.28115813,4.38884203,0.00609189,0.08999889,0.06313583,0.58037120,0.02206896,0.41087492
-4.87743872,5.57250762,0.27428803,4.56840945,0.00527219,0.08875915,0.06286254,0.56568656,0.02002046,0.39846107
-4.87143572,5.72884467,0.26888085,4.75254059,0.00462598,0.08759855,0.06298641,0.55353786,0.01808968,0.38848328
-4.86543272,5.89249780,0.26488649,4.93915336,0.00414555,0.08654769,0.06353401,0.54374515,0.01627857,0.38078566
-4.85942971,6.06111449,0.26225694,5.12606979,0.00382437,0.08563157,0.06453316,0.53614931,0.01458881,0.37522132
-4.85342671,6.23233174,0.26094774,5.31107064,0.00365741,0.08486890,0.06601299,0.53061868,0.01302169,0.37165653
-4.84742371,6.40384197,0.26091912,5.49195544,0.00364146,0.08427168,0.06800411,0.52705425,0.01157810,0.36997386
-4.84142071,6.57346040,0.26213690,5.66660596,0.00377527,0.08384510,0.07053872,0.52539337,0.01025845,0.37007439
-4.83541771,6.73919163,0.26457306,5.83305083,0.00405960,0.08358784,0.07365067,0.52561181,0.00906262,0.37187900
-4.82941471,6.89929273,0.26820608,5.98952857,0.00449725,0.08349257,0.07737547,0.52772428,0.00798996,0.37532886
-4.82341171,7.05233005,0.27302093,6.13454648,0.00509288,0.08354681,0.08175028,0.53178316,0.00703929,0.38038496
-4.81740870,7.19722696,0.27900881,6.26693237,0.00585288,0.08373389,0.08681361,0.53787551,0.00620896,0.38702685
-4.81140570,7.33330003,0.28616654,6.38587695,0.00678508,0.08403412,0.09260497,0.54611840,0.00549691,0.39525062
-4.80540270,7.46028136,0.29449559,6.49096427,0.00789839,0.08442600,0.09916421,0.55665260,0.00490073,0.40506609
-4.79939970,7.57832550,0.30400077,6.58218873,0.00920245,0.08488742,0.10653055,0.56963475,0.00441781,0.41649321
-4.79339670,7.68799965,0.31468857,6.65995707,0.01070716,0.08539680,0.11474142,0.58522823,0.00404541,0.42955802
-4.78739370,7.79025695,0.32656517,6.72507495,0.01242218,0.08593418,0.12383084,0.60359299,0.00378077,0.44428786
-4.78139070,7.88639306,0.33963413,6.77871781,0.01435642,0.08648200,0.13382754,0.62487466,0.00362117,0.46070636
-4.77538769,7.97798720,0.35389381,6.82238697,0.01651748,0.08702586,0.14475278,0.64919327,0.00356405,0.47882800
-4.76938469,8.06682941,0.36933464,6.85785188,0.01891108,0.08755488,0.15661789,0.67663210,0.00360701,0.49865273
-4.76338169,8.15483645,0.38593630,6.88708073,0.02154055,0.08806193,0.16942165,0.70722691,0.00374784,0.52016058
-4.75737869,8.24395953,0.40366481,6.91216169,0.02440624,0.08854362,0.18314758,0.74095625,0.00398451,0.54330656
-4.75137569,8.33608712,0.42246983,6.93521763,0.02750507,0.08899997,0.19776126,0.77773299,0.00431515,0.56801611
-4.74537269,8.43294690,0.44228210,6.95831768,0.03083009,0.08943401,0.21320788,0.81739764,0.00473793,0.59418115
-4.73936968,8.53601069,0.46301122,6.98338892,0.03437007,0.08985112,0.22941002,0.85971387,0.00525107,0.62165707
-4.73336668,8.64640639,0.48454394,7.01213181,0.03810931,0.09025824,0.24626608,0.90436628,0.00585265,0.65026070
-4.72736368,8.76484096,0.50674294,7.04594286,0.04202740,0.09066307,0.26364920,0.95096085,0.00654058,0.67976953
-4.72136068,8.89153777,0.52944631,7.08584781,0.04609925,0.09107315,0.28140707,0.99902815,0.00731246,0.70992219
-4.71535768,9.02619173,0.55246784,7.13244827,0.05029514,0.09149505,0.29936266,1.04802931,0.00816548,0.74042037
-4.70935468,9.16794453,0.57559806,7.18588436,0.05458102,0.09193353,0.31731589,1.09736465,0.00909635,0.77093211
-4.70335168,9.31538184,0.59860624,7.24581525,0.05891889,0.09239093,0.33504641,1.14638503,0.01010123,0.80109659
-4.69734867,9.46655347,0.62124326,7.31141885,0.06326734,0.09286661,0.35231743,1.19440541,0.01117567,0.83053028
-4.69134567,9.61901641,0.64324544,7.38141102,0.06758222,0.09335669,0.36888051,1.24072040,0.01231461,0.85883430
-4.68534267,9.76989981,0.66433916,7.45408403,0.07181752,0.09385394,0.38448133,1.28462148,0.01351235,0.88560301
-4.67933967,9.91599007,0.68424635,7.52736301,0.07592621,0.09434790,0.39886606,1.32541516,0.01476260,0.91043337
-4.67333667,10.05383290,0.70269056,7.59887832,0.07986127,0.09482532,0.41178842,1.36244170,0.01605851,0.93293502
-4.66733367,10.17984887,0.71940362,7.66605115,0.08357671,0.09527071,0.42301692,1.39509367,0.01739274,0.95274069
