energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.03351676,1.03892956,0.04899078,0.00040452,0.05567027,0.00706173,0.54942318,0.24068874,0.35144136
-5.02751376,1.07893621,0.04993817,0.00041012,0.05778059,0.00687817,0.57082787,0.24849629,0.36674132
-5.02151076,1.12329545,0.05118396,0.00042116,0.06010329,0.00676768,0.59429109,0.25723339,0.38365490
-5.01550775,1.17083899,0.05266296,0.00043782,0.06255450,0.00672463,0.61911357,0.26658503,0.40188789
-5.00950475,1.22036698,0.05430952,0.00046033,0.06505065,0.00674296,0.64458869,0.27622952,0.42112601
-5.00350175,1.27068444,0.05605966,0.00048895,0.06751050,0.00681635,0.67002307,0.28584768,0.44104559
-4.99749875,1.32063747,0.05785294,0.00052400,0.06985712,0.00693844,0.69475682,0.29513194,0.46132446
-4.99149575,1.36914782,0.05963440,0.00056587,0.07201981,0.00710298,0.71818258,0.30379504,0.48165263
-4.98549275,1.41524465,0.06135614,0.00061502,0.07393577,0.00730396,0.73976290,0.31157809,0.50174232
-4.97948974,1.45809233,0.06297877,0.00067199,0.07555151,0.00753571,0.75904511,0.31825757,0.52133698
-4.97348674,1.49701317,0.06447253,0.00073737,0.07682401,0.00779295,0.77567311,0.32365125,0.54021901
-4.96748374,1.53150421,0.06581811,0.00081181,0.07772152,0.00807083,0.78939576,0.32762252,0.55821583
-4.96148074,1.56124749,0.06700712,0.00089602,0.07822393,0.00836489,0.80007128,0.33008324,0.57520410
-4.95547774,1.58611322,0.06804212,0.00099071,0.07832282,0.00867105,0.80766771,0.33099485,0.59111186
-4.94947474,1.60615594,0.06893632,0.00109662,0.07802106,0.00898552,0.81225922,0.33036772,0.60591870
-4.94347174,1.62160374,0.06971286,0.00121442,0.07733210,0.00930469,0.81401862,0.32825886,0.61965373
-4.93746873,1.63284113,0.07040375,0.00134476,0.07627884,0.00962509,0.81320625,0.32476803,0.63239160
-4.93146573,1.64038618,0.07104835,0.00148816,0.07489233,0.00994325,0.81015590,0.32003244,0.64424668
-4.92546273,1.64486313,0.07169172,0.00164503,0.07321017,0.01025565,0.80525833,0.31422037,0.65536565
-4.91945973,1.64697151,0.07238257,0.00181557,0.07127482,0.01055862,0.79894314,0.30752380,0.66591882
-4.91345673,1.64745321,0.07317113,0.00199981,0.06913181,0.01084830,0.79165988,0.30015059,0.67609051
-4.90745373,1.64705877,0.07410689,0.00219751,0.06682806,0.01112065,0.78385904,0.29231639,0.68606890
-4.90145073,1.64651440,0.07523627,0.00240815,0.06441016,0.01137144,0.77597396,0.28423663,0.69603573
-4.89544772,1.64649101,0.07660049,0.00263091,0.06192293,0.01159630,0.76840414,0.27611903,0.70615635
-4.88944472,1.64757638,0.07823345,0.00286463,0.05940812,0.01179081,0.76150082,0.26815666,0.71657044
-4.88344172,1.65025165,0.08015996,0.00310786,0.05690342,0.01195060,0.75555512,0.26052208,0.72738378
-4.87743872,1.65487284,0.08239424,0.00335875,0.05444165,0.01207150,0.75078925,0.25336253,0.73866159
-4.87143572,1.66165809,0.08493880,0.00361516,0.05205036,0.01214967,0.74735095,0.24679640,0.75042344
-4.86543272,1.67068086,0.08778379,0.00387462,0.04975156,0.01218174,0.74531117,0.24091103,0.76264032
-4.85942971,1.68186941,0.09090677,0.00413440,0.04756182,0.01216498,0.74466498,0.23576187,0.77523372
-4.85342671,1.69501223,0.09427303,0.00439149,0.04549248,0.01209744,0.74533548,0.23137292,0.78807705
-4.84742371,1.70976921,0.09783642,0.00464273,0.04355010,0.01197802,0.74718035,0.22773845,0.80099932
-4.84142071,1.72568807,0.10154057,0.00488480,0.04173702,0.01180664,0.75000072,0.22482573,0.81379092
-4.83541771,1.74222514,0.10532066,0.00511433,0.04005199,0.01158421,0.75355187,0.22257875,0.82621156
-4.82941471,1.75876991,0.10910551,0.00532795,0.03849083,0.01131268,0.75755521,0.22092270,0.83799982
-4.82341171,1.77467212,0.11282000,0.00552240,0.03704713,0.01099505,0.76171122,0.21976890,0.84888426
-4.81740870,1.78927062,0.11638774,0.00569457,0.03571285,0.01063526,0.76571268,0.21902013,0.85859541
-4.81140570,1.80192269,0.11973382,0.00584162,0.03447892,0.01023811,0.76925780,0.21857609,0.86687838
-4.80540270,1.81203274,0.12278759,0.00596103,0.03333571,0.00980918,0.77206288,0.21833863,0.87350539
-4.79939970,1.81907945,0.12548535,0.00605066,0.03227346,0.00935462,0.77387390,0.21821685,0.87828779
-4.79339670,1.82264008,0.12777282,0.00610884,0.03128258,0.00888102,0.77447699,0.21813158,0.88108686
-4.78739370,1.82241110,0.12960731,0.00613443,0.03035387,0.00839528,0.77370722,0.21801931,0.88182301
