energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-3.99499750,4.40566707,1.37866820,0.65801621,0.09552065,0.86028749,1.40301869,0.00000000
-3.98899450,4.54969954,1.40483690,0.67792150,0.10219870,0.87232333,1.46812797,0.00000000
-3.98299150,4.68173237,1.42665529,0.69567967,0.10888977,0.88199329,1.52956006,0.00000000
-3.97698849,4.79950032,1.44357810,0.71096450,0.11552597,0.88905977,1.58635880,0.00000000
-3.97098549,4.90095468,1.45514633,0.72349292,0.12204035,0.89332837,1.63764175,0.00000000
-3.96498249,4.98433898,1.46100594,0.73303558,0.12836877,0.89465807,1.68262956,0.00000000
-3.95897949,5.04825672,1.46092349,0.73942570,0.13445189,0.89296960,1.72067271,0.00000000
-3.95297649,5.09172732,1.45479746,0.74256587,0.14023689,0.88825140,1.75127423,0.00000000
-3.94697349,5.11422703,1.44266477,0.74243228,0.14567910,0.88056276,1.77410699,0.00000000
-3.94097049,5.11571239,1.42470182,0.73907615,0.15074325,0.87003394,1.78902474,0.00000000
-3.93496748,5.09662460,1.40121986,0.73262223,0.15540430,0.85686309,1.79606600,0.00000000
-3.92896448,5.05787445,1.37265499,0.72326438,0.15964786,0.84131011,1.79545074,0.00000000
-3.92296148,5.00080850,1.33955299,0.71125856,0.16347010,0.82368776,1.78756974,0.00000000
-3.91695848,4.92715815,1.30254998,0.69691333,0.16687725,0.80435054,1.77296742,0.00000000
-3.91095548,4.83897459,1.26234969,0.68057872,0.16988459,0.78368173,1.75231886,0.00000000
-3.90495248,4.73855306,1.21969869,0.66263372,0.17251509,0.76207963,1.72640254,0.00000000
-3.89894947,4.62835070,1.17536077,0.64347329,0.17479786,0.73994342,1.69607003,0.00000000
-3.89294647,4.51090252,1.13009184,0.62349542,0.17676631,0.71765970,1.66221466,0.00000000
-3.88694347,4.38874009,1.08461664,0.60308905,0.17845641,0.69559033,1.62574060,0.00000000
