energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
0.29714857,1.04867669,0.32131079,0.80186966,0.00012447,0.01899792,0.07370096,0.14468939,0.01244031,0.07431254
0.30315158,1.10102867,0.33211405,0.84089733,0.00014029,0.02023490,0.07755487,0.15349681,0.01293302,0.07752105
0.30915458,1.15474964,0.34199158,0.88015113,0.00015712,0.02158715,0.08159774,0.16320189,0.01349156,0.08084932
0.31515758,1.20925610,0.35081330,0.91915741,0.00017479,0.02304209,0.08578741,0.17374517,0.01410905,0.08426392
0.32116058,1.26391327,0.35847093,0.95741763,0.00019312,0.02458407,0.09007636,0.18504677,0.01477609,0.08772945
0.32716358,1.31804661,0.36488134,0.99441663,0.00021188,0.02619461,0.09441257,0.19700848,0.01548104,0.09120938
0.33316658,1.37095696,0.36998929,1.02963297,0.00023084,0.02785279,0.09874070,0.20951699,0.01621028,0.09466693
0.33916958,1.42193858,0.37376965,1.06255092,0.00024970,0.02953577,0.10300348,0.22244809,0.01694859,0.09806622
0.34517259,1.47029962,0.37622865,1.09267382,0.00026820,0.03121946,0.10714339,0.23567163,0.01767963,0.10137346
0.35117559,1.51538421,0.37740436,1.11953823,0.00028601,0.03287926,0.11110446,0.24905718,0.01838646,0.10455824
0.35717859,1.55659517,0.37736627,1.14272850,0.00030284,0.03449087,0.11483413,0.26247995,0.01905213,0.10759469
0.36318159,1.59341645,0.37621382,1.16189094,0.00031838,0.03603107,0.11828505,0.27582674,0.01966023,0.11046266
0.36918459,1.62543400,0.37407408,1.17674717,0.00033235,0.03747863,0.12141685,0.28900160,0.02019550,0.11314865
0.37518759,1.65235429,0.37109846,1.18710578,0.00034447,0.03881493,0.12419757,0.30193091,0.02064436,0.11564655
0.38119060,1.67401905,0.36745867,1.19287191,0.00035453,0.04002473,0.12660494,0.31456740,0.02099536,0.11795804
0.38719360,1.69041570,0.36334187,1.19405395,0.00036232,0.04109660,0.12862715,0.32689312,0.02123962,0.12009270
0.39319660,1.70168241,0.35894531,1.19076713,0.00036770,0.04202331,0.13026326,0.33892081,0.02137112,0.12206772
0.39919960,1.70810745,0.35447048,1.18323342,0.00037058,0.04280199,0.13152318,0.35069381,0.02138685,0.12390726
0.40520260,1.71012249,0.35011702,1.17177778,0.00037093,0.04343410,0.13242706,0.36228427,0.02128691,0.12564143
0.41120560,1.70829011,0.34607657,1.15682058,0.00036878,0.04392520,0.13300438,0.37378978,0.02107446,0.12730495
0.41720860,1.70328568,0.34252682,1.13886654,0.00036421,0.04428454,0.13329247,0.38532858,0.02075551,0.12893557
0.42321161,1.69587451,0.33962592,1.11849039,0.00035738,0.04452450,0.13333479,0.39703349,0.02033867,0.13057227
0.42921461,1.68688534,0.33750748,1.09632006,0.00034847,0.04465986,0.13317894,0.40904502,0.01983475,0.13225335
0.43521761,1.67718126,0.33627648,1.07301787,0.00033775,0.04470703,0.13287452,0.42150396,0.01925632,0.13401462
0.44122061,1.66762968,0.33600612,1.04926071,0.00032552,0.04468321,0.13247094,0.43454396,0.01861724,0.13588759
0.44722361,1.65907278,0.33673597,1.02572003,0.00031209,0.04460553,0.13201541,0.44828448,0.01793208,0.13789801
0.45322661,1.65230002,0.33847137,1.00304265,0.00029784,0.04449028,0.13155112,0.46282471,0.01721566,0.14006463
0.45922961,1.64802410,0.34118429,0.98183315,0.00028315,0.04435221,0.13111573,0.47823869,0.01648250,0.14239848
0.46523262,1.64686157,0.34481560,0.96263874,0.00026841,0.04420398,0.13074029,0.49457207,0.01574637,0.14490247
0.47123562,1.64931911,0.34927865,0.94593712,0.00025402,0.04405570,0.13044872,0.51184075,0.01501990,0.14757162
0.47723862,1.65578588,0.35446412,0.93212797,0.00024039,0.04391474,0.13025766,0.53003149,0.01431427,0.15039368
0.48324162,1.66653231,0.36024587,0.92152806,0.00022790,0.04378567,0.13017694,0.54910437,0.01363897,0.15335024
0.48924462,1.68171497,0.36648756,0.91437017,0.00021695,0.04367035,0.13021042,0.56899715,0.01300162,0.15641818
0.49524762,1.70138690,0.37304964,0.91080561,0.00020792,0.04356822,0.13035731,0.58963102,0.01240796,0.15957141
0.50125063,1.72551235,0.37979643,0.91090966,0.00020115,0.04347671,0.13061371,0.61091742,0.01186181,0.16278282
0.50725363,1.75398471,0.38660287,0.91468964,0.00019701,0.04339169,0.13097433,0.63276546,0.01136524,0.16602615
0.51325663,1.78664598,0.39336050,0.92209456,0.00019581,0.04330807,0.13143425,0.65508923,0.01091867,0.16927781
0.51925963,1.82330627,0.39998243,0.93302569,0.00019788,0.04322027,0.13199059,0.67781465,0.01052109,0.17251846
0.52526263,1.86376159,0.40640681,0.94734712,0.00020351,0.04312284,0.13264391,0.70088494,0.01017027,0.17573418
0.53126563,1.90780855,0.41259878,0.96489542,0.00021298,0.04301082,0.13339929,0.72426459,0.00986308,0.17891718
0.53726863,1.95525468,0.41855051,0.98548779,0.00022655,0.04288015,0.13426689,0.74794110,0.00959564,0.18206599
0.54327164,2.00592337,0.42427950,1.00892801,0.00024446,0.04272787,0.13526211,0.77192435,0.00936366,0.18518510
0.54927464,2.05965309,0.42982507,1.03500987,0.00026690,0.04255224,0.13640510,0.79624356,0.00916257,0.18828396
0.55527764,2.11629071,0.43524319,1.06351792,0.00029405,0.04235270,0.13771979,0.82094167,0.00898778,0.19137558
0.56128064,2.17567939,0.44060010,1.09422555,0.00032603,0.04212970,0.13923239,0.84606763,0.00883478,0.19447462
0.56728364,2.23764190,0.44596492,1.12689083,0.00036291,0.04188449,0.14096957,0.87166688,0.00869931,0.19759522
0.57328664,2.30196068,0.45140171,1.16125047,0.00040468,0.04161874,0.14295618,0.89777051,0.00857738,0.20074864
0.57928964,2.36835620,0.45696166,1.19701275,0.00045127,0.04133417,0.14521301,0.92438403,0.00846535,0.20394091
0.58529265,2.43646545,0.46267557,1.23385024,0.00050252,0.04103219,0.14775437,0.95147613,0.00835997,0.20717064
0.59129565,2.50582244,0.46854747,1.27139299,0.00055814,0.04071350,0.15058590,0.97896864,0.00825833,0.21042710
0.59729865,2.57584261,0.47454953,1.30922343,0.00061777,0.04037782,0.15370268,1.00672808,0.00815785,0.21368886
0.60330165,2.64581284,0.48061886,1.34687346,0.00068091,0.04002362,0.15708777,1.03455974,0.00805627,0.21692289
0.60930465,2.71488838,0.48665622,1.38382466,0.00074695,0.03964810,0.16071127,1.06220468,0.00795161,0.22008444
0.61530765,2.78209780,0.49252703,1.41951206,0.00081516,0.03924709,0.16453007,1.08934019,0.00784213,0.22311750
0.62131066,2.84635633,0.49806452,1.45333161,0.00088469,0.03881525,0.16848833,1.11558391,0.00772633,0.22595613
0.62731366,2.90648776,0.50307503,1.48465168,0.00095460,0.03834631,0.17251856,1.14050144,0.00760293,0.22852630
0.63331666,2.96125406,0.50734508,1.51282797,0.00102386,0.03783340,0.17654349,1.16361748,0.00747088,0.23074846
0.63931966,3.00939192,0.51065011,1.53722164,0.00109137,0.03726949,0.18047850,1.18442994,0.00732939,0.23254047
