energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-1.15557779,2.51628166,0.42905728,0.00000000,2.29525736,0.86211644,1.86704021,0.00000000
-1.14957479,2.44574001,0.41679212,0.00000000,2.24282931,0.83575150,1.81535461,0.00000000
-1.14357179,2.38333433,0.40504754,0.00000000,2.19434067,0.81137186,1.77089959,0.00000000
-1.13756878,2.33004078,0.39404691,0.00000000,2.15101243,0.78929901,1.73436603,0.00000000
-1.13156578,2.28679913,0.38400914,0.00000000,2.11402863,0.76986489,1.70639407,0.00000000
-1.12556278,2.25446382,0.37514019,0.00000000,2.08448720,0.75339409,1.68753872,0.00000000
-1.11955978,2.23375175,0.36762416,0.00000000,2.06334832,0.74018495,1.67823282,0.00000000
-1.11355678,2.22518971,0.36161442,0.00000000,2.05138321,0.73049062,1.67874961,0.00000000
-1.10755378,2.22906450,0.35722541,0.00000000,2.04912620,0.72450097,1.68916733,0.00000000
-1.10155078,2.24537895,0.35452540,0.00000000,2.05683282,0.72232644,1.70933806,0.00000000
-1.09554777,2.27381674,0.35353077,0.00000000,2.07444666,0.72398472,1.73886330,0.00000000
-1.08954477,2.31371873,0.35420222,0.00000000,2.10157727,0.72939104,1.77707821,0.00000000
-1.08354177,2.36407270,0.35644307,0.00000000,2.13749097,0.73835284,1.82304618,0.00000000
-1.07753877,2.42351835,0.36010002,0.00000000,2.18111571,0.75056913,1.87556481,0.00000000
-1.07153577,2.49036785,0.36496629,0.00000000,2.23106064,0.76563496,1.93318402,0.00000000
-1.06553277,2.56264232,0.37078721,0.00000000,2.28565005,0.78305078,1.99423605,0.00000000
-1.05952976,2.63812296,0.37726801,0.00000000,2.34297092,0.80223669,2.05687679,0.00000000
-1.05352676,2.71441552,0.38408360,0.00000000,2.40093221,0.82255093,2.11913696,0.00000000
-1.04752376,2.78902545,0.39088990,0.00000000,2.45733378,0.84331203,2.17898128,0.00000000
-1.04152076,2.85944087,0.39733630,0.00000000,2.50994205,0.86382367,2.23437330,0.00000000
-1.03551776,2.92321989,0.40307866,0.00000000,2.55656918,0.88340134,2.28334298,0.00000000
-1.02951476,2.97807847,0.40779242,0.00000000,2.59515228,0.90139967,2.32405420,0.00000000
-1.02351176,3.02197511,0.41118510,0.00000000,2.62382938,0.91723921,2.35486905,0.00000000
-1.01750875,3.05318846,0.41300782,0.00000000,2.64100855,0.93043162,2.37440610,0.00000000
-1.01150575,3.07038467,0.41306521,0.00000000,2.64542740,0.94060220,2.38158989,0.00000000
-1.00550275,3.07267125,0.41122345,0.00000000,2.63620028,0.94750868,2.37568955,0.00000000
-0.99949975,3.05963532,0.40741597,0.00000000,2.61285133,0.95105557,2.35634470,0.00000000
-0.99349675,3.03136459,0.40164686,0.00000000,2.57533209,0.95130338,2.32357777,0.00000000
