energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-4.03701851,1.97440910,-11.50156504,0.90723074,-7.83574971,0.74909838,-3.07845979,0.00450922,-0.02141466,0.04364825,-4.25836568,0.02726067,-0.06471499,0.96919015,-2.95587244
-4.03101551,1.88065676,-11.67809704,0.86674614,-7.69499186,0.71301570,-3.18124156,0.00424292,-0.02181120,0.04277850,-4.35390113,0.02641878,-0.06628573,0.92230143,-2.96694833
-4.02501251,1.78499534,-11.83015393,0.82478566,-7.53732575,0.67617304,-3.28010846,0.00398819,-0.02207959,0.04181409,-4.44555920,0.02552268,-0.06748047,0.87458841,-2.96595893
-4.01900950,1.68855541,-11.95787788,0.78175930,-7.36658755,0.63904324,-3.37443859,0.00374844,-0.02221616,0.04078096,-4.53322081,0.02458442,-0.06828488,0.82659013,-2.95316538
-4.01300650,1.59252523,-12.06161260,0.73810313,-7.18657345,0.60212039,-3.46361226,0.00352714,-0.02222020,0.03971315,-4.61665618,0.02361834,-0.06869344,0.77886797,-2.92908808
-4.00700350,1.49813733,-12.14189028,0.69427384,-7.00094590,0.56591358,-3.54702300,0.00332786,-0.02209396,0.03865289,-4.69552382,0.02264097,-0.06870976,0.73199943,-2.89449799
-4.00100050,1.40665676,-12.19941770,0.65074354,-6.81315139,0.53094150,-3.62408955,0.00315429,-0.02184262,0.03765065,-4.76937608,0.02167091,-0.06834641,0.68657274,-2.85040004
-3.99499750,1.31937076,-12.23506059,0.60799478,-6.62635115,0.49772805,-3.69426769,0.00301027,-0.02147405,0.03676515,-4.83767019,0.02072869,-0.06762457,0.64318202,-2.79800909
-3.98899450,1.23757984,-12.24982533,0.56651572,-6.44336565,0.46679873,-3.75706149,0.00289983,-0.02099858,0.03606331,-4.89978396,0.01983647,-0.06657324,0.60242289,-2.73871900
-3.98299150,1.16258959,-12.24483727,0.52679559,-6.26663302,0.43867769,-3.81203309,0.00282722,-0.02042856,0.03562017,-4.95503476,0.01901785,-0.06522821,0.56488843,-2.67406569
-3.97698849,1.09570327,-12.22131497,0.48932036,-6.09818090,0.41388530,-3.85881038,0.00279690,-0.01977797,0.03551876,-5.00270037,0.01829750,-0.06363078,0.53116530,-2.60568544
-3.97098549,1.03821447,-12.18054027,0.45456862,-5.93961080,0.39293594,-3.89709222,0.00281354,-0.01906188,0.03584981,-5.04204058,0.01770081,-0.06182628,0.50182986,-2.53526987
-3.96498249,0.99139971,-12.12382440,0.42300784,-5.79209392,0.37633603,-3.92665081,0.00288200,-0.01829596,0.03671145,-5.07231813,0.01725356,-0.05986249,0.47744418,-2.46451892
-3.95897949,0.95651046,-12.05247094,0.39509077,-5.65637696,0.36458174,-3.94733127,0.00300731,-0.01749593,0.03820870,-5.09281834,0.01698150,-0.05778799,0.45855173,-2.39509360
-3.95297649,0.93476414,-11.96773694,0.37125211,-5.53279683,0.35815656,-3.95904856,0.00319453,-0.01667706,0.04045280,-5.10286667,0.01690993,-0.05565054,0.44567272,-2.32857016
-3.94697349,0.92733387,-11.87079399,0.35190528,-5.42130273,0.35752809,-3.96178212,0.00344873,-0.01585371,0.04356039,-5.10184389,0.01706328,-0.05349553,0.43929882,-2.26639694
-3.94097049,0.93533636,-11.76269111,0.33743928,-5.32148483,0.36314426,-3.95556885,0.00377484,-0.01503892,0.04765226,-5.08919903,0.01746470,-0.05136468,0.43988731,-2.20985568
-3.93496748,0.95981781,-11.64432195,0.32821539,-5.23260829,0.37542844,-3.94049520,0.00417751,-0.01424410,0.05285198,-5.06446019,0.01813557,-0.04929481,0.44785442,-2.16002812
-3.92896448,1.00173750,-11.51639817,0.32456364,-5.15365189,0.39477360,-3.91668889,0.00466092,-0.01347877,0.05928401,-5.02724373,0.01909513,-0.04731695,0.46356789,-2.11776914
-3.92296148,1.06194891,-11.37943114,0.32677891,-5.08335057,0.42153525,-3.88431135,0.00522866,-0.01275043,0.06707148,-4.97726234,0.02035997,-0.04545573,0.48733872,-2.08368695
-3.91695848,1.14117833,-11.23372342,0.33511652,-5.02024105,0.45602316,-3.84355124,0.00588343,-0.01206451,0.07633360,-4.91433253,0.02194362,-0.04372898,0.51941212,-2.05813086
