energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-4.57728864,0.60110229,0.22010376,0.00447555,0.25521203,0.02931098,0.06690039,0.12478371
-4.57128564,0.58120417,0.21097055,0.00425224,0.25309981,0.02804408,0.06554348,0.12366828
-4.56528264,0.56174702,0.20170555,0.00402559,0.25074905,0.02683734,0.06425375,0.12305139
-4.55927964,0.54289302,0.19243396,0.00379904,0.24817084,0.02569789,0.06301298,0.12291079
-4.55327664,0.52478739,0.18328237,0.00357610,0.24537329,0.02463190,0.06180266,0.12321402
-4.54727364,0.50755434,0.17437512,0.00336028,0.24236101,0.02364448,0.06060464,0.12391850
-4.54127064,0.49129389,0.16583088,0.00315497,0.23913511,0.02273939,0.05940176,0.12497198
-4.53526763,0.47607962,0.15775944,0.00296335,0.23569342,0.02191904,0.05817837,0.12631323
-4.52926463,0.46195760,0.15025895,0.00278831,0.23203112,0.02118428,0.05692087,0.12787314
-4.52326163,0.44894637,0.14341350,0.00263237,0.22814169,0.02053446,0.05561812,0.12957612
-4.51725863,0.43703798,0.13729118,0.00249759,0.22401802,0.01996740,0.05426187,0.13134183
-4.51125563,0.42619994,0.13194267,0.00238557,0.21965375,0.01947945,0.05284702,0.13308720
-4.50525263,0.41637798,0.12740029,0.00229735,0.21504451,0.01906563,0.05137187,0.13472862
-4.49924962,0.40749932,0.12367748,0.00223344,0.21018927,0.01871980,0.04983825,0.13618436
-4.49324662,0.39947640,0.12076878,0.00219375,0.20509130,0.01843479,0.04825157,0.13737695
-4.48724362,0.39221069,0.11865028,0.00217767,0.19975908,0.01820267,0.04662075,0.13823553
-4.48124062,0.38559649,0.11728034,0.00218400,0.19420673,0.01801492,0.04495805,0.13869810
-4.47523762,0.37952455,0.11660081,0.00221105,0.18845415,0.01786273,0.04327880,0.13871339
-4.46923462,0.37388537,0.11653849,0.00225667,0.18252678,0.01773714,0.04160097,0.13824251
-4.46323162,0.36857202,0.11700704,0.00231827,0.17645505,0.01762931,0.03994474,0.13726008
-4.45722861,0.36348256,0.11790905,0.00239292,0.17027340,0.01753069,0.03833193,0.13575493
-4.45122561,0.35852194,0.11913844,0.00247744,0.16401923,0.01743322,0.03678535,0.13373026
-4.44522261,0.35360347,0.12058312,0.00256844,0.15773152,0.01732942,0.03532820,0.13120330
-4.43921961,0.34864978,0.12212775,0.00266243,0.15144954,0.01721260,0.03398335,0.12820440
-4.43321661,0.34359354,0.12365669,0.00275591,0.14521143,0.01707685,0.03277268,0.12477575
-4.42721361,0.33837776,0.12505700,0.00284548,0.13905302,0.01691720,0.03171655,0.12096964
-4.42121061,0.33295601,0.12622134,0.00292790,0.13300670,0.01672963,0.03083316,0.11684638
-4.41520760,0.32729232,0.12705092,0.00300018,0.12710062,0.01651106,0.03013816,0.11247211
-4.40920460,0.32136103,0.12745804,0.00305968,0.12135807,0.01625941,0.02964431,0.10791636
-4.40320160,0.31514665,0.12736851,0.00310415,0.11579725,0.01597354,0.02936121,0.10324971
-4.39719860,0.30864349,0.12672359,0.00313181,0.11043119,0.01565320,0.02929529,0.09854150
-4.39119560,0.30185542,0.12548148,0.00314137,0.10526800,0.01529903,0.02944977,0.09385771
-4.38519260,0.29479546,0.12361829,0.00313206,0.10031135,0.01491246,0.02982489,0.08925920
-4.37918959,0.28748543,0.12112844,0.00310362,0.09556104,0.01449562,0.03041813,0.08480018
-4.37318659,0.27995547,0.11802450,0.00305632,0.09101384,0.01405130,0.03122461,0.08052712
-4.36718359,0.27224351,0.11433644,0.00299091,0.08666420,0.01358281,0.03223747,0.07647803
-4.36118059,0.26439470,0.11011033,0.00290861,0.08250518,0.01309393,0.03344836,0.07268218
-4.35517759,0.25646073,0.10540658,0.00281100,0.07852922,0.01258879,0.03484792,0.06916014
-4.34917459,0.24849903,0.10029785,0.00270001,0.07472890,0.01207176,0.03642614,0.06592417
-4.34317159,0.24057200,0.09486657,0.00257782,0.07109758,0.01154740,0.03817282,0.06297896
-4.33716858,0.23274603,0.08920236,0.00244681,0.06763000,0.01102033,0.04007775,0.06032248
