energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
2.44622311,1.26677585,0.16843672,0.00000000,0.60966699,0.37900205,0.80315779,0.00000000
2.45222611,1.30320189,0.16614521,0.00000000,0.61848537,0.39080909,0.79934844,0.00000000
2.45822911,1.33994870,0.16439606,0.00000000,0.62800549,0.40268537,0.79397554,0.00000000
2.46423212,1.37676079,0.16317094,0.00000000,0.63813842,0.41453844,0.78715897,0.00000000
2.47023512,1.41338914,0.16243841,0.00000000,0.64877777,0.42627366,0.77907767,0.00000000
2.47623812,1.44960036,0.16215709,0.00000000,0.65980585,0.43779724,0.76996787,0.00000000
2.48224112,1.48518514,0.16227901,0.00000000,0.67110014,0.44901917,0.76011946,0.00000000
2.48824412,1.51996531,0.16275322,0.00000000,0.68253934,0.45985585,0.74987049,0.00000000
2.49424712,1.55379901,0.16352923,0.00000000,0.69400901,0.47023227,0.73959965,0.00000000
2.50025013,1.58658340,0.16456022,0.00000000,0.70540598,0.48008352,0.72971719,0.00000000
2.50625313,1.61825466,0.16580573,0.00000000,0.71664168,0.48935563,0.72065404,0.00000000
2.51225613,1.64878494,0.16723379,0.00000000,0.72764378,0.49800553,0.71284972,0.00000000
2.51825913,1.67817647,0.16882225,0.00000000,0.73835635,0.50600021,0.70673912,0.00000000
2.52426213,1.70645282,0.17055931,0.00000000,0.74873834,0.51331517,0.70273850,0.00000000
2.53026513,1.73364789,0.17244322,0.00000000,0.75876063,0.51993218,0.70123110,0.00000000
2.53626813,1.75979314,0.17448114,0.00000000,0.76840184,0.52583648,0.70255284,0.00000000
2.54227114,1.78490385,0.17668728,0.00000000,0.77764317,0.53101386,0.70697837,0.00000000
2.54827414,1.80896526,0.17908043,0.00000000,0.78646282,0.53544750,0.71470816,0.00000000
2.55427714,1.83191964,0.18168097,0.00000000,0.79483028,0.53911519,0.72585687,0.00000000
2.56028014,1.85365512,0.18450765,0.00000000,0.80270109,0.54198689,0.74044371,0.00000000
