energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
2.41020510,6.21513494,0.02465001,0.24159496,0.83536374,3.53354834,0.06918084,0.65932406,1.55175899,2.25827186
2.41620810,6.13126203,0.02388381,0.23369592,0.81540456,3.51141921,0.06795314,0.64513290,1.53160501,2.21547719
2.42221111,6.04902441,0.02325826,0.22589936,0.79498240,3.49105264,0.06678042,0.63040094,1.51154388,2.17157461
2.42821411,5.96914411,0.02277665,0.21826955,0.77431657,3.47261381,0.06566966,0.61533334,1.49175187,2.12698783
2.43421711,5.89209699,0.02243870,0.21085803,0.75359997,3.45611143,0.06462466,0.60012784,1.47234825,2.08208912
2.44022011,5.81812607,0.02224071,0.20370402,0.73299912,3.44140892,0.06364639,0.58497202,1.45339991,2.03719919
2.44622311,5.74726425,0.02217589,0.19683526,0.71265527,3.42824164,0.06273346,0.57004091,1.43492819,1.99258930
2.45222611,5.67936453,0.02223463,0.19026921,0.69268656,3.41623863,0.06188279,0.55549501,1.41691715,1.94848518
2.45822911,5.61413542,0.02240493,0.18401455,0.67319075,3.40494778,0.06109024,0.54147867,1.39932299,1.90507234
2.46423212,5.55117961,0.02267278,0.17807280,0.65424857,3.39386269,0.06035143,0.52811884,1.38208405,1.86250235
2.47023512,5.49003377,0.02302262,0.17244001,0.63592722,3.38244999,0.05966251,0.51552423,1.36513094,1.82089959
2.47623812,5.43020753,0.02343773,0.16710853,0.61828397,3.37017577,0.05902094,0.50378484,1.34839634,1.78036823
2.48224112,5.37122028,0.02390075,0.16206854,0.60136964,3.35653003,0.05842623,0.49297192,1.33182420,1.74099900
2.48824412,5.31263425,0.02439405,0.15730965,0.58523177,3.34104836,0.05788063,0.48313841,1.31537804,1.70287572
2.49424712,5.25408317,0.02490022,0.15282215,0.56991747,3.32333010,0.05738966,0.47431977,1.29904796,1.66608120
2.50025013,5.19529575,0.02540245,0.14859815,0.55547572,3.30305276,0.05696256,0.46653534,1.28285651,1.63070253
