energy_ev,total_up,Pd_p_up,Pd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
2.56028014,2.43932785,3.66411149,0.26609471,0.89016154,0.00890846,0.99191813,0.00000000
2.56628314,2.42804955,3.64818836,0.26206509,0.88907578,0.00890762,0.98780868,0.00000000
2.57228614,2.41329421,3.62719291,0.25765839,0.88670904,0.00889788,0.98341140,0.00000000
2.57828914,2.39485556,3.60083322,0.25288891,0.88295323,0.00887808,0.97844488,0.00000000
2.58429215,2.37256221,3.56880978,0.24777292,0.87769005,0.00884698,0.97265849,0.00000000
2.59029515,2.34628343,3.53082935,0.24232842,0.87079587,0.00880326,0.96583510,0.00000000
2.59629815,2.31593579,3.48662212,0.23657527,0.86214763,0.00874561,0.95779358,0.00000000
2.60230115,2.28149031,3.43596116,0.23053525,0.85162963,0.00867278,0.94839088,0.00000000
2.60830415,2.24297933,3.37868270,0.22423236,0.83914071,0.00858369,0.93752363,0.00000000
2.61430715,2.20050246,3.31470608,0.21769309,0.82460129,0.00847745,0.92512904,0.00000000
2.62031016,2.15423114,3.24405167,0.21094672,0.80796011,0.00835349,0.91118499,0.00000000
2.62631316,2.10441085,3.16685550,0.20402553,0.78919997,0.00821158,0.89570919,0.00000000
2.63231616,2.05136072,3.08337947,0.19696485,0.76834230,0.00805190,0.87875722,0.00000000
2.63831916,1.99547007,2.99401606,0.18980298,0.74545009,0.00787507,0.86041952,0.00000000
2.64432216,1.93719163,2.89928714,0.18258088,0.72062914,0.00768215,0.84081728,0.00000000
