energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-1.64782391,1.26422199,1.02957961,0.10649944,0.01861252,0.24106886,0.37303866,0.06291444,0.38664937,0.00000000
-1.64182091,1.33198766,1.08261425,0.11207302,0.01902835,0.25372981,0.39586620,0.06604026,0.41068028,0.00000000
-1.63581791,1.39606759,1.13142810,0.11744741,0.01942187,0.26532049,0.41787213,0.06895290,0.43457428,0.00000000
-1.62981491,1.45554161,1.17520705,0.12254621,0.01976810,0.27565130,0.43884479,0.07160001,0.45813100,0.00000000
-1.62381191,1.50961455,1.21324650,0.12730328,0.02004514,0.28455602,0.45860216,0.07393621,0.48118178,0.00000000
-1.61780890,1.55763576,1.24497121,0.13166413,0.02023446,0.29189685,0.47699613,0.07592414,0.50359167,0.00000000
-1.61180590,1.59911316,1.26995080,0.13558688,0.02032126,0.29756847,0.49391517,0.07753530,0.52525961,0.00000000
-1.60580290,1.63372081,1.28791003,0.13904259,0.02029461,0.30150092,0.50928514,0.07875062,0.54611657,0.00000000
-1.59979990,1.66129976,1.29873341,0.14201516,0.02014753,0.30366114,0.52306819,0.07956054,0.56612181,0.00000000
-1.59379690,1.68185183,1.30246367,0.14450046,0.01987697,0.30405319,0.53525973,0.07996495,0.58525731,0.00000000
-1.58779390,1.69552686,1.29929430,0.14650512,0.01948366,0.30271699,0.54588377,0.07997257,0.60352074,0.00000000
-1.58179090,1.70260405,1.28955654,0.14804480,0.01897183,0.29972587,0.55498677,0.07960019,0.62091726,0.00000000
-1.57578789,1.70346845,1.27370139,0.14914203,0.01834890,0.29518286,0.56263048,0.07887153,0.63745081,0.00000000
-1.56978489,1.69858404,1.25227776,0.14982403,0.01762503,0.28921606,0.56888426,0.07781591,0.65311531,0.00000000
-1.56378189,1.68846498,1.22590787,0.15012023,0.01681266,0.28197333,0.57381731,0.07646680,0.66788657,0.00000000
-1.55777889,1.67364669,1.19526117,0.15006007,0.01592592,0.27361657,0.57749141,0.07486032,0.68171531,0.00000000
-1.55177589,1.65465842,1.16102824,0.14967084,0.01498013,0.26431582,0.57995472,0.07303369,0.69452205,0.00000000
-1.54577289,1.63199893,1.12389582,0.14897599,0.01399125,0.25424359,0.58123690,0.07102382,0.70619420,0.00000000
-1.53976988,1.60611649,1.08452437,0.14799379,0.01297529,0.24356961,0.58134610,0.06886608,0.71658566,0.00000000
