energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-4.40320160,22.66989737,0.01327232,3.54553440,8.31633560,14.81777732,0.06618673,3.76016192
-4.39719860,22.61186504,0.01289404,3.55164939,8.25706834,14.82741815,0.06528605,3.70923970
-4.39119560,22.46362231,0.01253890,3.54212833,8.16418844,14.77451879,0.06448647,3.64646586
-4.38519260,22.22966361,0.01220973,3.51721740,8.04024952,14.66115543,0.06378624,3.57354774
-4.37918959,21.91610711,0.01190876,3.47741040,7.88842399,14.49049584,0.06318223,3.49246049
-4.37318659,21.53053785,0.01163743,3.42343809,7.71241578,14.26672512,0.06266957,3.40539134
-4.36718359,21.08181301,0.01139639,3.35625150,7.51635910,13.99494516,0.06224134,3.31467832
-4.36118059,20.57983595,0.01118541,3.27699985,7.30470679,13.68105080,0.06188836,3.22274569
-4.35517759,20.03530577,0.01100344,3.18700341,7.08211181,13.33158629,0.06159913,3.13203814
-4.34917459,19.45944982,0.01084859,3.08772227,6.85330560,12.95358604,0.06135984,3.04495589
-4.34317159,18.86374700,0.01071821,2.98072177,6.62297701,12.55440413,0.06115458,2.96379256
-4.33716858,18.25964926,0.01060901,2.86763569,6.39565531,12.14153730,0.06096572,2.89067742
-4.33116558,17.65830888,0.01051720,2.75012815,6.17560036,11.72244630,0.06077429,2.82752339
-4.32516258,17.07031867,0.01043864,2.62985546,5.96670303,11.30438039,0.06056062,2.77598203
-4.31915958,16.50547160,0.01036898,2.50842899,5.77239817,10.89420975,0.06030491,2.73740610
-4.31315658,15.97254602,0.01030392,2.38738014,5.59559236,10.49827049,0.05998799,2.71282061
-4.30715358,15.47912170,0.01023929,2.26812837,5.43860784,10.12222639,0.05959193,2.70290257
-4.30115058,15.03143136,0.01017128,2.15195341,5.30314389,9.77095121,0.05910077,2.70796959
-4.29514757,14.63425106,0.01009656,2.03997212,5.19025611,9.44843488,0.05850105,2.72797759
-4.28914457,14.29083241,0.01001239,1.93312084,5.10035391,9.15771609,0.05778234,2.76252733
-4.28314157,14.00287782,0.00991672,1.83214356,5.03321565,8.90084326,0.05693759,2.81087950
-4.27713857,13.77055940,0.00980820,1.73758610,4.98802073,8.67886482,0.05596339,2.87197809
-4.27113557,13.59258037,0.00968622,1.64979631,4.96339732,8.49184878,0.05486000,2.94448136
-4.26513257,13.46627710,0.00955086,1.56893010,4.95748392,8.33893103,0.05363136,3.02679974
-4.25912956,13.38775796,0.00940285,1.49496285,4.96800281,8.21839007,0.05228480,3.11713971
-4.25312656,13.35207463,0.00924347,1.42770565,4.99234281,8.12774585,0.05083079,3.21355263
-4.24712356,13.35341969,0.00907445,1.36682561,5.02764874,8.06387861,0.04928245,3.31398714
-4.24112056,13.38534396,0.00889787,1.31186933,5.07091468,8.02316368,0.04765503,3.41634381
-4.23511756,13.44098580,0.00871600,1.26228866,5.11907798,8.00161694,0.04596542,3.51853035
-4.22911456,13.51330451,0.00853122,1.21746763,5.16911120,7.99504579,0.04423149,3.61851571
-4.22311156,13.59530965,0.00834592,1.17674972,5.21810889,7.99919985,0.04247153,3.71438150
-4.21710855,13.68027838,0.00816238,1.13946428,5.26336680,8.00991619,0.04070376,3.80436894
-4.21110555,13.76195346,0.00798276,1.10495143,5.30245100,8.02325382,0.03894578,3.88691996
-4.20510255,13.83471566,0.00780901,1.07258445,5.33325522,8.03561302,0.03721422,3.96071104
-4.19909955,13.89372539,0.00764287,1.04178916,5.35404479,8.04383574,0.03552436,4.02467888
-4.19309655,13.93502987,0.00748592,1.01205979,5.36348652,8.04528450,0.03388992,4.07803714
-4.18709355,13.95563393,0.00733957,0.98297088,5.36066413,8.03789784,0.03232291,4.12028409
-4.18109055,13.95353391,0.00720510,0.95418530,5.34507964,8.02022207,0.03083358,4.15120113
-4.17508754,13.92771620,0.00708377,0.92545818,5.31664144,7.99141963,0.02943043,4.17084287
-4.16908454,13.87812292,0.00697686,0.89663715,5.27564047,7.95125566,0.02812028,4.17951942
-4.16308154,13.80558888,0.00688571,0.86765909,5.22271617,7.90006518,0.02690843,4.17777226
-4.15707854,13.71175464,0.00681179,0.83854390,5.15881428,7.83870381,0.02579884,4.16634486
-4.15107554,13.59896124,0.00675677,0.80938579,5.08513856,7.76848545,0.02479431,4.14614962
-4.14507254,13.47013214,0.00672249,0.78034276,5.00309871,7.69111059,0.02389669,4.11823263
