energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-4.74537269,3.38306253,0.01926575,0.62117818,1.94636046,1.26619457,0.03827718,1.31251276,0.10482875,0.03720642
-4.73936968,3.27926458,0.01904248,0.60273011,1.89391745,1.23134387,0.03663692,1.27134614,0.10184100,0.03548432
-4.73336668,3.17466020,0.01892431,0.58400306,1.84041768,1.19587096,0.03503268,1.23009393,0.09891254,0.03379034
-4.72736368,3.07011221,0.01890763,0.56511698,1.78641271,1.16007749,0.03347510,1.18914074,0.09606899,0.03213343
-4.72136068,2.96645876,0.01898642,0.54619310,1.73242639,1.12426899,0.03197333,1.14884749,0.09333320,0.03052200
-4.71535768,2.86449016,0.01915242,0.52735045,1.67893997,1.08874538,0.03053490,1.10954179,0.09072467,0.02896378
-4.70935468,2.76492822,0.01939529,0.50870263,1.62637922,1.05379188,0.02916565,1.07150979,0.08825923,0.02746566
-4.70335168,2.66840908,0.01970293,0.49035494,1.57510403,1.01967110,0.02786969,1.03499002,0.08594888,0.02603367
-4.69734867,2.57547061,0.02006175,0.47240193,1.52540089,0.98661669,0.02664947,1.00016922,0.08380181,0.02467289
-4.69134567,2.48654485,0.02045708,0.45492569,1.47747882,0.95482887,0.02550587,0.96718064,0.08182262,0.02338746
-4.68534267,2.40195593,0.02087357,0.43799475,1.43146854,0.92447215,0.02443834,0.93610461,0.08001269,0.02218062
-4.67933967,2.32192334,0.02129570,0.42166380,1.38742523,0.89567538,0.02344513,0.90697144,0.07837076,0.02105475
-4.67333667,2.24657029,0.02170820,0.40597416,1.34533441,0.86853381,0.02252348,0.87976642,0.07689358,0.02001142
-4.66733367,2.17593638,0.02209659,0.39095487,1.30512071,0.84311321,0.02166993,0.85443647,0.07557663,0.01905153
