energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-5.86793397,0.55651640,0.01139397,0.00039817,0.00491512,0.38097413,0.17224764,0.21887771
-5.86193097,0.53946246,0.01203179,0.00036498,0.00525025,0.36830195,0.16491674,0.21301520
-5.85592796,0.53037696,0.01293787,0.00033608,0.00568676,0.36090526,0.15998855,0.21023961
-5.84992496,0.52994449,0.01414531,0.00031206,0.00622780,0.35920197,0.15767987,0.21078163
-5.84392196,0.53879503,0.01568915,0.00029349,0.00687557,0.36356303,0.15819485,0.21483976
-5.83791896,0.55750206,0.01760648,0.00028098,0.00763106,0.37431011,0.16172510,0.22257747
-5.83191596,0.58658199,0.01993651,0.00027511,0.00849385,0.39171432,0.16845019,0.23412090
-5.82591296,0.62649467,0.02272070,0.00027653,0.00946196,0.41599585,0.17853828,0.24955694
-5.81990995,0.67764482,0.02600276,0.00028589,0.01053166,0.44732438,0.19214677,0.26893175
-5.81390695,0.74038387,0.02982864,0.00030393,0.01169744,0.48582022,0.20942283,0.29224971
-5.80790395,0.81501226,0.03424645,0.00033144,0.01295195,0.53155616,0.23050370,0.31947279
-5.80190095,0.90178170,0.03930622,0.00036929,0.01428612,0.58455976,0.25551652,0.35052047
-5.79589795,1.00089742,0.04505956,0.00041840,0.01568921,0.64481632,0.28457788,0.38527023
-5.78989495,1.11252002,0.05155918,0.00047981,0.01714909,0.71227219,0.31779260,0.42355856
-5.78389195,1.23676685,0.05885817,0.00055459,0.01865250,0.78683859,0.35525213,0.46518282
-5.77788894,1.37371260,0.06700912,0.00064388,0.02018541,0.86839559,0.39703224,0.50990367
-5.77188594,1.52338892,0.07606296,0.00074886,0.02173342,0.95679626,0.44319012,0.55744829
-5.76588294,1.68578271,0.08606762,0.00087072,0.02328220,1.05187071,0.49376090,0.60751429
-5.75987994,1.86083301,0.09706641,0.00101065,0.02481797,1.15342982,0.54875370,0.65977428
-5.75387694,2.04842598,0.10909620,0.00116975,0.02632795,1.26126823,0.60814717,0.71388089
-5.74787394,2.24838797,0.12218535,0.00134906,0.02780076,1.37516645,0.67188465,0.76947224
-5.74187094,2.46047627,0.13635151,0.00154945,0.02922685,1.49489161,0.73986922,0.82617752
-5.73586793,2.68436772,0.15159932,0.00177163,0.03059869,1.62019659,0.81195861,0.88362265
-5.72986493,2.91964496,0.16791802,0.00201604,0.03191108,1.75081730,0.88796014,0.94143557
-5.72386193,3.16578068,0.18527917,0.00228284,0.03316113,1.88646786,0.96762611,0.99925117
-5.71785893,3.42212021,0.20363444,0.00257182,0.03434825,2.02683370,1.05064961,1.05671554
-5.71185593,3.68786295,0.22291368,0.00288239,0.03547397,2.17156254,1.13666104,1.11348935
-5.70585293,3.96204351,0.24302342,0.00321354,0.03654168,2.32025359,1.22522568,1.16925037
-5.69984992,4.24351346,0.26384570,0.00356376,0.03755616,2.47244540,1.31584241,1.22369490
-5.69384692,4.53092489,0.28523763,0.00393105,0.03852313,2.62760278,1.40794388,1.27653831
-5.68784392,4.82271704,0.30703156,0.00431293,0.03944872,2.78510379,1.50089832,1.32751464
-5.68184092,5.11710740,0.32903600,0.00470639,0.04033881,2.94422748,1.59401317,1.37637544
-5.67583792,5.41208866,0.35103740,0.00510793,0.04119852,3.10414356,1.68654068,1.42288811
-5.66983492,5.70543283,0.37280277,0.00551362,0.04203161,3.26390496,1.77768556,1.46683400
-5.66383192,5.99470380,0.39408310,0.00591909,0.04284001,3.42244436,1.86661479,1.50800660
-5.65782891,6.27727923,0.41461764,0.00631967,0.04362346,3.57857579,1.95246953,1.54621004
-5.65182591,6.55038244,0.43413889,0.00671040,0.04437921,3.73100198,2.03437901,1.58125844
-5.64582291,6.81112465,0.45237817,0.00708618,0.04510194,3.87832838,2.11147635,1.61297619
-5.63981991,7.05655721,0.46907174,0.00744186,0.04578380,4.01908401,2.18291605,1.64119961
-5.63381691,7.28373333,0.48396713,0.00777233,0.04641456,4.15174931,2.24789275,1.66578000
-5.62781391,7.48977791,0.49682962,0.00807269,0.04698201,4.27479081,2.30566104,1.68658833
-5.62181091,7.67196385,0.50744857,0.00833835,0.04747241,4.38670182,2.35555572,1.70352142
-5.61580790,7.82779263,0.51564346,0.00856515,0.04787107,4.48604804,2.39701208,1.71650961
