energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
1.74987494,6.03357409,1.28285267,0.00000000,2.76597532,3.93293022,0.02478153,1.27482840
1.75587794,5.80289595,1.24745698,0.00000000,2.72205852,3.78452598,0.02267488,1.21822689
1.76188094,5.56807829,1.20997729,0.00000000,2.67954610,3.63550076,0.02069046,1.16256559
1.76788394,5.33191978,1.17103640,0.00000000,2.63973774,3.48716383,0.01884475,1.10864023
1.77388694,5.09713862,1.13123703,0.00000000,2.60379978,3.34078371,0.01715040,1.05718099
1.77988994,4.86632359,1.09114545,0.00000000,2.57272546,3.19757459,0.01561629,1.00883902
1.78589295,4.64188481,1.05127637,0.00000000,2.54729917,3.05867944,0.01424773,0.96417458
1.79189595,4.42600594,1.01208004,0.00000000,2.52806653,2.92515039,0.01304670,0.92364697
1.79789895,4.22059965,0.97393178,0.00000000,2.51531171,2.79792750,0.01201212,0.88760652
1.80390195,4.02726821,0.93712462,0.00000000,2.50904344,2.67781708,0.01114012,0.85628891
1.80990495,3.84727114,0.90186533,0.00000000,2.50899051,2.56547124,0.01042443,0.82981194
1.81590795,3.68150163,0.86827392,0.00000000,2.51460758,2.46136990,0.00985661,0.80817503
1.82191096,3.53047320,0.83638668,0.00000000,2.52509121,2.36580700,0.00942640,0.79126142
