energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-5.25562781,9.41784817,0.01331075,1.34697448,1.21628417,0.38550942,2.79295360,4.10631628,0.01585971,2.51471599
-5.24962481,9.46498921,0.01402535,1.31379493,1.22976846,0.40313560,2.78168696,4.10854518,0.01621936,2.57177251
-5.24362181,9.51245392,0.01472023,1.28116618,1.24145580,0.42278994,2.77384001,4.10658251,0.01664740,2.63054128
-5.23761881,9.56134303,0.01538991,1.24913311,1.25154259,0.44461061,2.76942645,4.10081977,0.01715847,2.69144038
-5.23161581,9.61274961,0.01602974,1.21771679,1.26025114,0.46871355,2.76843364,4.09169794,0.01776690,2.75487278
-5.22561281,9.66774843,0.01663608,1.18692030,1.26782455,0.49518964,2.77082799,4.07970548,0.01848640,2.82121649
-5.21960980,9.72738268,0.01720646,1.15673469,1.27452046,0.52410230,2.77655776,4.06537440,0.01932974,2.89081416
-5.21360680,9.79264778,0.01773963,1.12714485,1.28060377,0.55548563,2.78555306,4.04927455,0.02030841,2.96396242
-5.20760380,9.86447238,0.01823562,1.09813500,1.28633867,0.58934321,2.79772319,4.03200565,0.02143241,3.04090129
-5.20160080,9.94369694,0.01869580,1.06969342,1.29198001,0.62564755,2.81295178,4.01418739,0.02270996,3.12180390
-5.19559780,10.03105072,0.01912279,1.04181638,1.29776448,0.66434028,2.83109013,3.99644755,0.02414731,3.20676725
-5.18959480,10.12712809,0.01952041,1.01451084,1.30390193,0.70533311,2.85194949,3.97940854,0.02574865,3.29580426
-5.18359180,10.23236571,0.01989362,0.98779616,1.31056733,0.74850961,2.87529318,3.96367275,0.02751597,3.38883796
-5.17758879,10.34702172,0.02024831,0.96170444,1.31789378,0.79372767,2.90082939,3.94980719,0.02944905,3.48569820
-5.17158579,10.47115878,0.02059124,0.93627993,1.32596700,0.84082272,2.92820541,3.93832817,0.03154551,3.58612131
-5.16558279,10.60463194,0.02092978,0.91157723,1.33482179,0.88961152,2.95700435,3.92968649,0.03380093,3.68975319
-5.15957979,10.74708285,0.02127180,0.88765881,1.34444067,0.93989632,2.98674476,3.92425398,0.03620893,3.79615580
