energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
0.45322661,0.48472693,0.20883465,0.08169873,0.00075873,0.20916062,0.07176573,0.02421970,0.15977238
0.45922961,0.47322592,0.20222091,0.07894027,0.00084246,0.20071573,0.06836864,0.02327778,0.16389890
0.46523262,0.46305075,0.19632240,0.07636379,0.00094843,0.19253774,0.06534934,0.02238398,0.16891674
0.47123562,0.45477772,0.19143090,0.07407945,0.00108064,0.18491048,0.06279066,0.02157216,0.17493549
0.47723862,0.44898539,0.18784618,0.07219984,0.00124341,0.17812472,0.06077856,0.02087707,0.18205045
0.48324162,0.44624083,0.18586973,0.07083752,0.00144138,0.17247185,0.05940050,0.02033366,0.19033879
0.48924462,0.44708572,0.18579804,0.07010245,0.00167936,0.16823737,0.05874354,0.01997626,0.19985610
0.49524762,0.45202262,0.18791552,0.07009938,0.00196222,0.16569426,0.05889222,0.01983782,0.21063369
0.50125063,0.46150158,0.19248710,0.07092520,0.00229481,0.16509642,0.05992617,0.01994907,0.22267638
0.50725363,0.47590727,0.19975071,0.07266635,0.00268181,0.16667211,0.06191757,0.02033770,0.23596112
