energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.98399200,1.13743025,0.01767753,0.03859579,0.40499314,0.07915548,0.47994881,0.00000000,0.56497413,0.00356228
1.98999500,1.13785987,0.01842826,0.03728495,0.41410691,0.07701930,0.45182110,0.00000000,0.58670886,0.00338969
1.99599800,1.13736091,0.01919888,0.03626581,0.42196198,0.07496445,0.42551595,0.00000000,0.60598413,0.00323376
2.00200100,1.13589004,0.01998278,0.03554896,0.42842982,0.07300548,0.40146742,0.00000000,0.62249979,0.00309703
2.00800400,1.13347925,0.02077642,0.03514615,0.43342665,0.07115819,0.38008101,0.00000000,0.63603243,0.00298193
2.01400700,1.13023964,0.02157934,0.03507026,0.43691686,0.06943961,0.36172651,0.00000000,0.64644357,0.00289075
2.02001001,1.12636188,0.02239396,0.03533515,0.43891475,0.06786791,0.34673132,0.00000000,0.65368513,0.00282559
2.02601301,1.12211273,0.02322531,0.03595527,0.43948440,0.06646206,0.33537422,0.00000000,0.65780181,0.00278830
2.03201601,1.11782763,0.02408061,0.03694517,0.43873754,0.06524150,0.32787956,0.00000000,0.65893021,0.00278044
2.03801901,1.11389932,0.02496873,0.03831879,0.43682948,0.06422552,0.32441199,0.00000000,0.65729460,0.00280321
2.04402201,1.11076288,0.02589951,0.04008859,0.43395325,0.06343260,0.32507169,0.00000000,0.65319964,0.00285741
2.05002501,1.10887765,0.02688310,0.04226466,0.43033214,0.06287959,0.32989025,0.00000000,0.64702020,0.00294337
2.05602801,1.10870692,0.02792914,0.04485367,0.42621102,0.06258085,0.33882730,0.00000000,0.63918891,0.00306092
2.06203102,1.11069635,0.02904604,0.04785791,0.42184689,0.06254734,0.35176799,0.00000000,0.63018190,0.00320933
2.06803402,1.11525218,0.03024025,0.05127428,0.41749897,0.06278571,0.36852177,0.00000000,0.62050349,0.00338727
2.07403702,1.12272051,0.03151563,0.05509347,0.41341899,0.06329756,0.38882239,0.00000000,0.61067044,0.00359278
2.08004002,1.13336873,0.03287286,0.05929928,0.40984207,0.06407871,0.41232967,0.00000000,0.60119655,0.00382330
2.08604302,1.14737026,0.03430912,0.06386816,0.40697858,0.06511873,0.43863308,0.00000000,0.59257816,0.00407564
2.09204602,1.16479335,0.03581786,0.06876902,0.40500740,0.06640077,0.46725743,0.00000000,0.58528108,0.00434602
2.09804902,1.18559488,0.03738871,0.07396331,0.40407087,0.06790151,0.49767081,0.00000000,0.57972942,0.00463014
2.10405203,1.20961920,0.03900773,0.07940546,0.40427151,0.06959155,0.52929475,0.00000000,0.57629647,0.00492323
2.11005503,1.23660240,0.04065766,0.08504353,0.40567066,0.07143598,0.56151654,0.00000000,0.57529789,0.00522014
2.11605803,1.26618149,0.04231850,0.09082021,0.40828880,0.07339530,0.59370359,0.00000000,0.57698693,0.00551551
2.12206103,1.29790805,0.04396813,0.09667402,0.41210766,0.07542655,0.62521934,0.00000000,0.58155177,0.00580384
2.12806403,1.33126546,0.04558305,0.10254068,0.41707351,0.07748460,0.65544032,0.00000000,0.58911439,0.00607967
2.13406703,1.36568865,0.04713920,0.10835461,0.42310157,0.07952365,0.68377381,0.00000000,0.59973096,0.00633773
2.14007004,1.40058510,0.04861280,0.11405041,0.43008107,0.08149869,0.70967522,0.00000000,0.61339300,0.00657307
2.14607304,1.43535595,0.04998115,0.11956434,0.43788050,0.08336696,0.73266470,0.00000000,0.63002927,0.00678126
2.15207604,1.46941592,0.05122334,0.12483564,0.44635289,0.08508936,0.75234198,0.00000000,0.64950790,0.00695844
2.15807904,1.50221088,0.05232086,0.12980770,0.45534055,0.08663162,0.76839884,0.00000000,0.67163851,0.00710152
2.16408204,1.53323235,0.05325808,0.13442898,0.46467930,0.08796524,0.78062849,0.00000000,0.69617439,0.00720822
2.17008504,1.56202807,0.05402261,0.13865360,0.47420181,0.08906819,0.78893134,0.00000000,0.72281451,0.00727713
2.17608804,1.58820853,0.05460536,0.14244174,0.48374012,0.08992522,0.79331680,0.00000000,0.75120566,0.00730776
2.18209105,1.61144922,0.05500061,0.14575974,0.49312734,0.09052793,0.79390082,0.00000000,0.78094490,0.00730051
2.18809405,1.63148903,0.05520579,0.14857990,0.50219861,0.09087447,0.79089938,0.00000000,0.81158254,0.00725664
2.19409705,1.64812530,0.05522124,0.15088020,0.51079153,0.09096897,0.78461793,0.00000000,0.84262614,0.00717820
