energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
0.25512756,3.81483136,0.00148969,0.10716646,0.46148385,1.64223596,1.11064168,2.06743921,0.02842796,0.23812075
0.26113057,3.76961555,0.00146078,0.10692040,0.44830653,1.62795455,1.07813542,2.03917691,0.02777026,0.23996899
0.26713357,3.70594849,0.00142439,0.10611128,0.43346994,1.60481908,1.04135932,2.00138166,0.02695834,0.24044018
0.27313657,3.62460641,0.00138107,0.10474577,0.41714712,1.57310197,1.00084328,1.95455533,0.02600585,0.23952396
0.27913957,3.52667583,0.00133146,0.10284049,0.39952982,1.53323320,0.95717920,1.89936297,0.02492887,0.23723604
0.28514257,3.41353225,0.00127631,0.10042183,0.38082473,1.48578909,0.91101038,1.83662112,0.02374557,0.23361808
0.29114557,3.28681130,0.00121646,0.09752544,0.36124949,1.43147670,0.86302015,1.76728274,0.02247560,0.22873702
0.29714857,3.14837358,0.00115277,0.09419549,0.34102848,1.37111454,0.81392036,1.69241941,0.02113963,0.22268352
0.30315158,3.00026416,0.00108619,0.09048366,0.32038858,1.30561034,0.76443978,1.61320119,0.01975879,0.21556994
0.30915458,2.84466832,0.00101763,0.08644793,0.29955502,1.23593669,0.71531299,1.53087496,0.01835415,0.20752770
0.31515758,2.68386499,0.00094804,0.08215123,0.27874742,1.16310557,0.66726985,1.44674185,0.01694616,0.19870413
0.32116058,2.52017948,0.00087832,0.07765996,0.25817606,1.08814278,0.62102593,1.36213430,0.01555428,0.18925907
0.32716358,2.35593686,0.00080934,0.07304245,0.23803859,1.01206309,0.57727384,1.27839337,0.01419653,0.17936109
0.33316658,2.19341741,0.00074193,0.06836750,0.21851718,0.93584705,0.53667558,1.19684686,0.01288919,0.16918373
0.33916958,2.03481531,0.00067686,0.06370283,0.19977613,0.86042022,0.49985585,1.11878847,0.01164655,0.15890166
0.34517259,1.88220140,0.00061483,0.05911376,0.18196008,0.78663535,0.46739618,1.04545827,0.01048078,0.14868692
0.35117559,1.73749072,0.00055648,0.05466193,0.16519269,0.71525799,0.43982961,0.97802476,0.00940179,0.13870548
