energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
0.59729865,3.10116144,0.01081278,0.50623434,0.77371932,1.12451651,0.35904877,1.35824189,0.00000000
0.60330165,3.07728766,0.01137440,0.51074384,0.76288796,1.10573561,0.36072604,1.34757290,0.00000000
0.60930465,3.04581018,0.01195104,0.51481492,0.75063823,1.08413986,0.36045552,1.33423153,0.00000000
0.61530765,3.00661237,0.01254768,0.51823050,0.73697653,1.05980063,0.35826982,1.31821968,0.00000000
0.62131066,2.95986875,0.01317193,0.52080258,0.72198625,1.03290221,0.35425530,1.29963683,0.00000000
0.62731366,2.90602920,0.01383438,0.52237475,0.70582085,1.00373115,0.34855103,1.27867167,0.00000000
0.63331666,2.84579541,0.01454891,0.52282411,0.68869500,0.97266263,0.34134584,1.25559142,0.00000000
0.63931966,2.78009110,0.01533288,0.52206275,0.67087452,0.94014494,0.33287357,1.23072921,0.00000000
0.64532266,2.71002714,0.01620727,0.52003857,0.65266524,0.90668259,0.32340671,1.20447024,0.00000000
0.65132566,2.63686343,0.01719671,0.51673550,0.63440163,0.87281899,0.31324866,1.17723705,0.00000000
0.65732866,2.56196852,0.01832939,0.51217316,0.61643530,0.83911914,0.30272486,1.14947442,0.00000000
0.66333167,2.48677842,0.01963686,0.50640565,0.59912391,0.80615309,0.29217326,1.12163435,0.00000000
0.66933467,2.41275572,0.02115363,0.49951973,0.58282077,0.77448050,0.28193427,1.09416126,0.00000000
0.67533767,2.34134996,0.02291669,0.49163215,0.56786534,0.74463669,0.27234076,1.06747792,0.00000000
0.68134067,2.27396028,0.02496486,0.48288630,0.55457495,0.71712041,0.26370834,1.04197219,0.00000000
0.68734367,2.21190113,0.02733799,0.47344812,0.54323781,0.69238369,0.25632627,1.01798501,0.00000000
0.69334667,2.15637185,0.03007606,0.46350160,0.53410762,0.67082360,0.25044932,0.99579967,0.00000000
0.69934967,2.10843083,0.03321824,0.45324384,0.52739974,0.65277628,0.24629080,0.97563293,0.00000000
0.70535268,2.06897496,0.03680181,0.44288001,0.52328914,0.63851317,0.24401699,0.95762804,0.00000000
0.71135568,2.03872492,0.04086115,0.43261848,0.52191009,0.62823935,0.24374314,0.94185006,0.00000000
0.71735868,2.01821685,0.04542674,0.42266629,0.52335775,0.62209411,0.24553110,0.92828377,0.00000000
0.72336168,2.00780069,0.05052425,0.41322529,0.52769145,0.62015370,0.24938868,0.91683424,0.00000000
0.72936468,2.00764541,0.05617373,0.40448924,0.53493964,0.62243591,0.25527070,0.90733050,0.00000000
0.73536768,2.01775099,0.06238901,0.39664178,0.54510637,0.62890671,0.26308169,0.89953203,0.00000000
0.74137069,2.03796682,0.06917726,0.38985574,0.55817888,0.63948830,0.27268012,0.89313824,0.00000000
0.74737369,2.06801571,0.07653880,0.38429346,0.57413606,0.65406865,0.28388404,0.88780068,0.00000000
0.75337669,2.10752261,0.08446704,0.38010825,0.59295722,0.67251180,0.29647783,0.88313749,0.00000000
0.75937969,2.15604648,0.09294877,0.37744665,0.61463066,0.69466870,0.31021995,0.87874979,0.00000000
0.76538269,2.21311374,0.10196443,0.37645133,0.63916142,0.72038790,0.32485123,0.87423917,0.00000000
0.77138569,2.27825130,0.11148865,0.37726422,0.66657753,0.74952550,0.34010360,0.86922566,0.00000000
0.77738869,2.35101720,0.12149078,0.38002943,0.69693422,0.78195374,0.35570871,0.86336538,0.00000000
0.78339170,2.43102669,0.13193537,0.38489553,0.73031534,0.81756759,0.37140616,0.85636688,0.00000000
0.78939470,2.51797175,0.14278264,0.39201685,0.76683171,0.85628881,0.38695118,0.84800564,0.00000000
0.79539770,2.61163254,0.15398874,0.40155326,0.80661588,0.89806686,0.40212111,0.83813567,0.00000000
0.80140070,2.71187920,0.16550582,0.41366826,0.84981319,0.94287643,0.41672071,0.82669792,0.00000000
0.80740370,2.81866342,0.17728185,0.42852506,0.89656937,0.99071143,0.43058596,0.81372482,0.00000000
0.81340670,2.93199951,0.18926016,0.44628068,0.94701467,1.04157537,0.44358606,0.79934088,0.00000000
0.81940970,3.05193562,0.20137877,0.46707804,1.00124550,1.09546861,0.45562393,0.78375910,0.00000000
0.82541271,3.17851619,0.21356949,0.49103639,1.05930404,1.15237285,0.46663480,0.76727356,0.00000000
0.83141571,3.31173777,0.22575691,0.51824041,1.12115712,1.21223368,0.47658336,0.75024834,0.00000000
0.83741871,3.45150059,0.23785744,0.54872854,1.18667546,1.27494230,0.48545947,0.73310342,0.00000000
0.84342171,3.59755902,0.24977842,0.58248120,1.25561463,1.34031729,0.49327289,0.71629814,0.00000000
0.84942471,3.74947410,0.26141748,0.61940966,1.32759912,1.40808794,0.50004719,0.70031300,0.00000000
0.85542771,3.90657180,0.27266245,0.65934639,1.40211072,1.47788018,0.50581349,0.68563064,0.00000000
0.86143072,4.06791007,0.28339164,0.70203753,1.47848253,1.54920645,0.51060429,0.67271668,0.00000000
