energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.43321661,0.62501549,0.00031199,0.04208252,0.06063702,0.51543100,0.08711116,0.00000000
-4.42721361,0.65429666,0.00031294,0.04524877,0.06384140,0.53465508,0.09532039,0.00000000
-4.42121061,0.68741624,0.00032858,0.04842328,0.06790629,0.55600880,0.10499835,0.00000000
-4.41520760,0.72469505,0.00035914,0.05158933,0.07290439,0.57976459,0.11620401,0.00000000
-4.40920460,0.76644960,0.00040511,0.05473438,0.07891509,0.60616753,0.12901201,0.00000000
-4.40320160,0.81297273,0.00046727,0.05785095,0.08602149,0.63541754,0.14351054,0.00000000
-4.39719860,0.86451368,0.00054664,0.06093721,0.09430713,0.66765239,0.15979845,0.00000000
-4.39119560,0.92125850,0.00064445,0.06399742,0.10385220,0.70293224,0.17798133,0.00000000
-4.38519260,0.98331171,0.00076215,0.06704192,0.11472972,0.74122667,0.19816692,0.00000000
-4.37918959,1.05068008,0.00090131,0.07008692,0.12700136,0.78240493,0.22045967,0.00000000
-4.37318659,1.12325923,0.00106361,0.07315388,0.14071348,0.82623010,0.24495480,0.00000000
-4.36718359,1.20082394,0.00125077,0.07626854,0.15589308,0.87235762,0.27173195,0.00000000
-4.36118059,1.28302255,0.00146451,0.07945968,0.17254424,0.92033848,0.30084860,0.00000000
-4.35517759,1.36937606,0.00170644,0.08275757,0.19064474,0.96962721,0.33233371,0.00000000
-4.34917459,1.45928208,0.00197804,0.08619230,0.21014347,1.01959440,0.36618171,0.00000000
-4.34317159,1.55202367,0.00228058,0.08979193,0.23095837,1.06954351,0.40234720,0.00000000
-4.33716858,1.64678299,0.00261504,0.09358071,0.25297529,1.11873124,0.44074073,0.00000000
-4.33116558,1.74265937,0.00298205,0.09757732,0.27604785,1.16639066,0.48122596,0.00000000
