energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.18959480,6.95974443,0.00567099,0.99361987,0.24699813,3.45719169,2.23625994,0.07843440,3.12541898
-5.18359180,6.94907614,0.00574830,0.99566107,0.23949880,3.46509096,2.21742998,0.07930608,3.12464174
-5.17758879,6.91683730,0.00582064,0.99475332,0.23139971,3.45995748,2.19297735,0.08001533,3.11308265
-5.17158579,6.86374208,0.00588596,0.99103062,0.22285154,3.44180398,2.16347625,0.08057164,3.09079481
-5.16558279,6.79084529,0.00594303,0.98468195,0.21400498,3.41081078,2.12959051,0.08098975,3.05799282
-5.15957979,6.69955384,0.00599133,0.97595324,0.20500733,3.36733679,2.09206941,0.08128986,3.01506431
-5.15357679,6.59163263,0.00603111,0.96514817,0.19599941,3.31192779,2.05174202,0.08149766,2.96257898
-5.14757379,6.46920287,0.00606331,0.95262782,0.18711291,3.24532080,2.00950982,0.08164430,2.90129424
-5.14157079,6.33473118,0.00608961,0.93880866,0.17846829,3.16844368,1.96633700,0.08176603,2.83215641
-5.13556778,6.19100814,0.00611236,0.92415880,0.17017298,3.08240921,1.92323855,0.08190374,2.75629674
-5.12956478,6.04111566,0.00613461,0.90919249,0.16232011,2.98850304,1.88126581,0.08210226,2.67502177
-5.12356178,5.88838267,0.00616005,0.89446255,0.15498764,2.88816549,1.84148975,0.08240951,2.58979758
-5.11755878,5.73632980,0.00619295,0.88055114,0.14823789,2.78296722,1.80498214,0.08287542,2.50222798
-5.11155578,5.58860386,0.00623810,0.86805872,0.14211737,2.67457932,1.77279507,0.08355071,2.41402697
-5.10555278,5.44890379,0.00630073,0.85759162,0.13665696,2.56473873,1.74593930,0.08448560,2.32698595
-5.09954977,5.32090002,0.00638635,0.84974846,0.13187246,2.45520995,1.72536223,0.08572839,2.24293650
-5.09354677,5.20814975,0.00650068,0.84510571,0.12776529,2.34774449,1.71192593,0.08732401,2.16370981
-5.08754377,5.11401051,0.00664942,0.84420288,0.12432361,2.24403943,1.70638618,0.08931260,2.09109377
-5.08154077,5.04155481,0.00683814,0.84752762,0.12152355,2.14569662,1.70937301,0.09172807,2.02678913
-5.07553777,4.99348824,0.00707202,0.85550124,0.11933080,2.05418393,1.72137336,0.09459683,1.97236580
-5.06953477,4.97207350,0.00735573,0.86846487,0.11770224,1.97079984,1.74271633,0.09793652,1.92922080
-5.06353177,4.97906243,0.00769315,0.88666680,0.11658790,1.89664267,1.77356145,0.10175503,1.89853874
-5.05752876,5.01563776,0.00808722,0.91025120,0.11593294,1.83258517,1.81389000,0.10604952,1.88125623
-5.05152576,5.08236614,0.00853972,0.93924855,0.11567965,1.77925522,1.86349987,0.11080579,1.87803101
-5.04552276,5.17916370,0.00905109,0.97356809,0.11576958,1.73702315,1.92200357,0.11599774,1.88921688
-5.03951976,5.30527489,0.00962026,1.01299260,0.11614544,1.70599574,1.98882977,0.12158714,1.91484503
-5.03351676,5.45926561,0.01024457,1.05717568,0.11675288,1.68601686,2.06322807,0.12752364,1.95461263
-5.02751376,5.63903104,0.01091962,1.10564182,0.11754209,1.67667468,2.14427713,0.13374496,2.00787912
-5.02151076,5.84181862,0.01163929,1.15778957,0.11846899,1.67731494,2.23089600,0.14017748,2.07367074
