energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-3.03451726,4.57007586,0.10082209,0.21053294,0.02242414,1.52593620,2.91598304,0.01436330,1.27629728
-3.02851426,4.74039320,0.10088480,0.22005988,0.02379284,1.58883126,3.04211271,0.01607705,1.30739566
-3.02251126,4.92162166,0.10049158,0.23165701,0.02525163,1.65878457,3.17260715,0.01801821,1.34160848
-3.01650825,5.11400944,0.09964005,0.24530574,0.02680618,1.73576475,3.30772182,0.02019067,1.37893701
-3.01050525,5.31763414,0.09833901,0.26095156,0.02846046,1.81961979,3.44764585,0.02259376,1.41934370
-3.00450225,5.53234131,0.09660807,0.27850065,0.03021618,1.91005350,3.59245853,0.02522185,1.46273952
-2.99849925,5.75768340,0.09447668,0.29781726,0.03207219,2.00660318,3.74208544,0.02806390,1.50897062
-2.99249625,5.99286354,0.09198292,0.31872189,0.03402404,2.10862014,3.89625729,0.03110321,1.55780570
-2.98649325,6.23668911,0.08917190,0.34099069,0.03606352,2.21525495,4.05447473,0.03431740,1.60892494
-2.98049025,6.48753964,0.08609398,0.36435625,0.03817842,2.32544942,4.21598214,0.03767849,1.66191195
-2.97448724,6.74335333,0.08280288,0.38851007,0.04035240,2.43793651,4.37975340,0.04115325,1.71624956
-2.96848424,7.00163536,0.07935365,0.41310675,0.04256504,2.55124972,4.54449161,0.04470367,1.77132060
-2.96248124,7.25949018,0.07580085,0.43776993,0.04479210,2.66374248,4.70864456,0.04828781,1.82641406
-2.95647824,7.51367852,0.07219676,0.46210003,0.04700593,2.77361783,4.87043627,0.05186066,1.88073707
-2.95047524,7.76069814,0.06858983,0.48568349,0.04917613,2.87896787,5.02791418,0.05537530,1.93343253
-2.94447224,7.99688594,0.06502345,0.50810340,0.05127030,2.97782204,5.17901062,0.05878413,1.98360193
-2.93846923,8.21853736,0.06153502,0.52895091,0.05325501,3.06820242,5.32161581,0.06204027,2.03033246
-2.93246623,8.42203759,0.05815529,0.54783729,0.05509678,3.14818397,5.45365911,0.06509889,2.07272720
-2.92646323,8.60399833,0.05490815,0.56440581,0.05676320,3.21595706,5.57319441,0.06791861,2.10993689
-2.92046023,8.76139284,0.05181068,0.57834319,0.05822402,3.26988939,5.67848498,0.07046275,2.14119165
-2.91445723,8.89168199,0.04887347,0.58938986,0.05945212,3.30858441,5.76808326,0.07270051,2.16583078
-2.90845423,8.99292438,0.04610124,0.59734869,0.06042452,3.33093322,5.84090085,0.07460788,2.18332909
-2.90245123,9.06386400,0.04349364,0.60209169,0.06112316,3.33615750,5.89626475,0.07616830,2.19331816
-2.89644822,9.10399051,0.04104612,0.60356429,0.06153544,3.32384104,5.93395645,0.07737312,2.19560114
-2.89044522,9.11356833,0.03875095,0.60178706,0.06165468,3.29394843,5.95423146,0.07822165,2.19016040
-2.88444222,9.09363280,0.03659824,0.59685473,0.06148023,3.24682983,5.95781811,0.07872092,2.17715728
-2.87843922,9.04595331,0.03457686,0.58893252,0.06101743,3.18321159,5.94589555,0.07888519,2.15692409
-2.87243622,8.97296549,0.03267535,0.57825001,0.06027723,3.10417312,5.92005203,0.07873511,2.12994867
-2.86643322,8.87767592,0.03088267,0.56509271,0.05927572,3.01111136,5.88222597,0.07829665,2.09685242
-2.86043022,8.76354464,0.02918883,0.54979198,0.05803340,2.90569436,5.83463275,0.07759988,2.05836291
-2.85442721,8.63435170,0.02758535,0.53271345,0.05657435,2.78980648,5.77968151,0.07667758,2.01528278
-2.84842421,8.49405480,0.02606557,0.51424473,0.05492529,2.66548769,5.71988603,0.07556379,1.96845640
